Data Import Template,,,,
Table:,Fiscal Year,,,
,,,,
,,,,
Notes:,,,,
Please do not change the template headings.,,,,
First data column must be blank.,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,
"For updating, you can update only selective columns.",,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,
,,,,
DocType:,Fiscal Year,,,
Column Labels:,ID,Year Name,Year Start Date,Year Closed
Column Name:,name,year,year_start_date,year_end_date,is_fiscal_year_closed
Mandatory:,Yes,Yes,Yes,Yes,No
Type:,Data (text),Data,Date,Date,Select
Info:,,,,,"One of: No, Yes"
Start entering data below this line,,,,
,,2009,01-01-2009,31-12-2009,No
,,2010,01-01-2010,31-12-2010,No
,,2011,01-01-2011,31-12-2011,No
,,2012,01-01-2012,31-12-2012,No
