Data Import Template,,,,,,,,,,,
Table:,Price List,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Notes:,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,
,,,,,,,,,,,
DocType:,Price List,,,,~,For Territory,valid_for_territories,~,Item Price,item_prices,
Column Labels:,ID,Price List Name,Currency,Valid for Buying or Selling?,,ID,Territory,,ID,Item Code,Rate
Column Name:,name,price_list_name,currency,buying_or_selling,~,name,territory,~,name,item_code,ref_rate
Mandatory:,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes
Type:,Data (text),Data,Link,Select,,Data,Link,,Data,Link,Currency
Info:,,,Valid Currency,"One of: Buying, Selling",,Leave blank for new records,Valid Territory,,Leave blank for new records,Valid Item,
Start entering data below this line,,,,,,,,,,,
,Standard Buying,Standard Buying,USD,Buying,,,United States,,,Base Bearing Plate,15
,,,,,,,,,,Base Plate,20
,,,,,,,,,,Bearing Block,10
,,,,,,,,,,Bearing Collar,20
,,,,,,,,,,Bearing Pipe,15
,,,,,,,,,,Blade Rib,10
,,,,,,,,,,Disc Collars,74
,,,,,,,,,,External Disc,45
,,,,,,,,,,Internal Disc,33
,,,,,,,,,,Shaft,30
,,,,,,,,,,Stand,40
,,,,,,,,,,Upper Bearing Plate,50
,,,,,,,,,,Wing Sheet,22
,Standard Selling,Standard Selling,USD,Selling,,,United States,,,Wind Turbine,21
,,,,,,,,,,Wind Mill A Series,28
,,,,,,,,,,Wind MIll C Series,14
,,,,,,,,,,Base Bearing Plate,28
,,,,,,,,,,Base Plate,21
,,,,,,,,,,Bearing Block,14
,,,,,,,,,,Bearing Collar,103.6
,,,,,,,,,,Bearing Pipe,63
,,,,,,,,,,Blade Rib,46.2
,,,,,,,,,,Disc Collars,42
,,,,,,,,,,External Disc,56
,,,,,,,,,,Internal Disc,70
,,,,,,,,,,Shaft,340
,,,,,,,,,,Stand,400
,,,,,,,,,,Upper Bearing Plate,300
,,,,,,,,,,Wing Sheet,30.8
