Data Import Template,,,,,,,,,
Table:,Supplier,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
Column Labels,ID,Supplier Name,Supplier Type,Company,Series,Default Currency,Supplier Details,Credit Days,Website
Column Name:,name,supplier_name,supplier_type,company,naming_series,default_currency,supplier_details,credit_days,website
Mandatory:,Yes,Yes,Yes,Yes,No,No,No,No,No
Type:,Data (text),Data,Link,Link,Select,Link,Text,Int,Data
Info:,,,Valid Supplier Type,Valid Company,"One of: SUPP, SUPP/10-11/",Valid Currency,,Integer,
Start entering data below this line,,,,,,,,,
,Helios Air,Helios Air,Raw Material,Wind Power LLC,,,,,
,Ks Merchandise,Ks Merchandise,Electrical,Wind Power LLC,,,,,
,HomeBase,HomeBase,Raw Material,Wind Power LLC,,,,,
,Scott Ties,Scott Ties,Raw Material,Wind Power LLC,,,,,
,Reliable Investments,Reliable Investments,Services,Wind Power LLC,,,,,
,Nan Duskin,Nan Duskin,Services,Wind Power LLC,,,,,
,Rainbow Records,Rainbow Records,Services,Wind Power LLC,,,,,
,New World Realty,New World Realty,Services,Wind Power LLC,,,,,
,Asiatic Solutions,Asiatic Solutions,Raw Material,Wind Power LLC,,,,,
,Eagle Hardware,Eagle Hardware,Raw Material,Wind Power LLC,,,,,
