Data Import Template,,,,,
Table:,Item Price,,,,
Parent Table:,Item,,,,
,,,,,
Notes:,,,,,
Please do not change the template headings.,,,,,
First data column must be blank.,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,
"For updating, you can update only selective columns.",,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,
"""Parent"" signifies the parent table in which this row must be added",,,,,
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.",,,,,
,,,,,
Column Labels,ID,Price List Name,Valid for Buying or Selling?,Ref Rate,Currency
Column Name:,parent,price_list,buying_or_selling,ref_rate,ref_currency
Mandatory:,Yes,Yes,Yes,No,No
Type:,Data (text),Link,Select,Currency,Link
Info:,,Valid Price List,"One of: Buying, Selling",,Valid Currency
Start entering data below this line,,,,,
,Base Bearing Plate,Standard Buying,Buying,15,USD
,Base Plate,Standard Buying,Buying,20,USD
,Bearing Block,Standard Buying,Buying,10,USD
,Bearing Collar,Standard Buying,Buying,20,USD
,Bearing Pipe,Standard Buying,Buying,15,USD
,Blade Rib,Standard Buying,Buying,10,USD
,Disc Collars,Standard Buying,Buying,74,USD
,External Disc,Standard Buying,Buying,45,USD
,Internal Disc,Standard Buying,Buying,33,USD
,Shaft,Standard Buying,Buying,30,USD
,Stand,Standard Buying,Buying,40,USD
,Upper Bearing Plate,Standard Buying,Buying,50,USD
,Wing Sheet,Standard Buying,Buying,22,USD
,Wind Turbine,Standard Selling,Selling,300,USD
,Wind Mill A Series,Standard Selling,Selling,340,USD
,Wind MIll C Series,Standard Selling,Selling,400,USD
,Base Bearing Plate,Standard Selling,Selling,21,USD
,Base Plate,Standard Selling,Selling,28,USD
,Bearing Block,Standard Selling,Selling,14,USD
,Bearing Collar,Standard Selling,Selling,28,USD
,Bearing Pipe,Standard Selling,Selling,21,USD
,Blade Rib,Standard Selling,Selling,14,USD
,Disc Collars,Standard Selling,Selling,103.6,USD
,External Disc,Standard Selling,Selling,63,USD
,Internal Disc,Standard Selling,Selling,46.2,USD
,Shaft,Standard Selling,Selling,42,USD
,Stand,Standard Selling,Selling,56,USD
,Upper Bearing Plate,Standard Selling,Selling,70,USD
,Wing Sheet,Standard Selling,Selling,30.8,USD
