 (Half Day),(نصف يوم)
 against sales order,ضد النظام مبيعات
 against same operation,ضد نفس العملية
 already marked,شهدت بالفعل
 and year: ,والسنة:
 as it is stock Item or packing item,كما هو المخزون البند أو العنصر التعبئة
 at warehouse: ,في المستودع:
 by Role ,بالتخصص
 can not be made.,لا يمكن أن يتم.
 can not be marked as a ledger as it has existing child,لا يمكن أن تكون علامة ليدجر كما فعلت الأطفال الحالية
 cannot be 0,لا يمكن أن يكون 0
 cannot be deleted.,لا يمكن حذف.
 does not belong to the company,لا تنتمي إلى الشركة
 has already been submitted.,وقد تم بالفعل قدمت.
 has been freezed. ,وقد جمدت.
 has been freezed. \				Only Accounts Manager can do transaction against this account,وقد جمدت. \ يمكن فقط إدارة حسابات القيام المعاملة ضد هذا الحساب
" is less than equals to zero in the system, \						valuation rate is mandatory for this item",أقل من يساوي الصفر في النظام، ومعدل \ تقييم إلزامي لهذا البند
 is mandatory,إلزامي
 is mandatory for GL Entry,إلزامي لدخول GL
 is not a ledger,ليس دفتر الأستاذ
 is not active,غير نشط
 is not set,لم يتم تعيين
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,الآن السنة المالية الافتراضية. \ يرجى تحديث المتصفح الخاص بك لالتغيير نافذ المفعول.
 is present in one or many Active BOMs,موجود في BOMs واحد أو العديد من بالموقع
 not active or does not exists in the system,غير نشطة أو لا موجود في نظام
 not submitted,لم تقدم
 or the BOM is cancelled or inactive,أو يتم إلغاء BOM أو غير نشطة
 should be 'Yes'. As Item: ,يجب أن يكون &quot;نعم&quot;. كما السلعة:
 should be same as that in ,يجب أن تكون نفسها التي في
 was on leave on ,كان في إجازة في
 will be ,وسوف يكون
 will be over-billed against mentioned ,وسوف يكون أكثر المنقار ضد المذكورة
 will become ,سوف تصبح
"""Company History""",&quot;نبذة عن تاريخ الشركة&quot;
"""Team Members"" or ""Management""",&quot;أعضاء الفريق&quot; أو &quot;إدارة&quot;
%  Delivered,ألقيت٪
% Amount Billed,المبلغ٪ صفت
% Billed,وصفت٪
% Completed,٪ مكتمل
% Installed,٪ المثبتة
% Received,حصل على٪
% of materials billed against this Purchase Order.,٪ من المواد توصف ضد هذا أمر الشراء.
% of materials billed against this Sales Order,٪ من المواد توصف ضد هذا أمر المبيعات
% of materials delivered against this Delivery Note,٪ من المواد الموردة ضد هذا التسليم ملاحظة
% of materials delivered against this Sales Order,٪ من المواد الموردة ضد هذا أمر المبيعات
% of materials ordered against this Material Request,٪ من المواد المطلوبة ضد هذه المادة طلب
% of materials received against this Purchase Order,تلقى٪ من المواد ضد هذا أمر الشراء
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.",لا يمكن &quot;أن تدار باستخدام المصالحة سوق الأسهم. \ يمكنك إضافة / حذف المسلسل مباشرة لا، \ لتعديل رصيد هذا البند.
' in Company: ,&quot;في الشركة:
'To Case No.' cannot be less than 'From Case No.',&#39;بالقضية رقم&#39; لا يمكن أن يكون أقل من &#39;من القضية رقم&#39;
* Will be calculated in the transaction.,وسيتم احتساب * في المعاملة.
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**",توزيع الميزانية ** ** يساعدك توزيع الميزانية الخاصة بك عبر أشهر إذا كان لديك موسمية في business.To الخاص توزيع الميزانية باستخدام هذا التوزيع، على هذا التوزيع الميزانية ** ** في مركز التكلفة ** **
**Currency** Master,العملة ** ** ماجستير
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ** السنة المالية يمثل السنة المالية. يتم تعقب جميع القيود المحاسبية والمعاملات الرئيسية الأخرى ضد السنة المالية **. **
. Outstanding cannot be less than zero. \				 	Please match exact outstanding.,. المعلقة لا يمكن أن يكون أقل من الصفر. \ الرجاء تطابق تام المعلقة.
. Please set status of the employee as 'Left',. يرجى تغيير الحالة للموظف ب &quot;الزمن&quot;
. You can not mark his attendance as 'Present',. لا يمكنك وضع علامة حضوره ك &#39;هدية&#39;
"000 is black, fff is white",000 سوداء، بيضاء FFF
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 العملة = [؟] FractionFor مثل 1 USD = 100 سنت
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. للحفاظ على العملاء رمز البند الحكيمة والبحث فيها لجعلها تقوم على التعليمات البرمجية الخاصة بهم استخدام هذا الخيار
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2 days ago,2 منذ أيام
: Duplicate row from same ,: تكرار صف من نفسه
: It is linked to other active BOM(s),: انها مرتبطة بالموقع BOM الأخرى (ق)
: Mandatory for a Recurring Invoice.,: إلزامية لفاتورة متكرر.
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group"">لإدارة مجموعات العملاء، انقر هنا</a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group"">إدارة مجموعات الإغلاق</a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory"">لإدارة الإقليم، انقر هنا</a>"
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","<a href=""#Sales Browser/Customer Group"">إدارة مجموعات العملاء</a>"
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group"">لإدارة الإقليم، انقر هنا</a>"
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#Sales Browser/Item Group"">إدارة مجموعات السلعة</a>"
"<a href=""#Sales Browser/Territory"">Territory</a>","<a href=""#Sales Browser/Territory"">إقليم</a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory"">لإدارة الإقليم، انقر هنا</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">خيارات التسمية</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>إلغاء</b> يسمح لك بتغيير الوثائق المقدمة من إلغائها وتعديلها.
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager"">إلى إعداد، يرجى الدخول إلى الإعداد&gt; سلسلة تسمية</span>"
A Customer exists with same name,العملاء من وجود نفس الاسم مع
A Lead with this email id should exist,وينبغي أن يكون هذا المعرف الرصاص مع البريد الإلكتروني موجود
"A Product or a Service that is bought, sold or kept in stock.",منتج أو الخدمة التي يتم شراؤها أو بيعها أو حملها في سوق الأسهم.
A Supplier exists with same name,وهناك مورد موجود مع نفس الاسم
A condition for a Shipping Rule,وهناك شرط للشحن قاعدة
A logical Warehouse against which stock entries are made.,مستودع المنطقية التي تتم ضد مقالات الأسهم.
A new popup will open that will ask you to select further conditions.,وهناك المنبثق الجديدة التي فتح سوف يطلب منك تحديد شروط أخرى.
A symbol for this currency. For e.g. $,رمزا لهذه العملة. على سبيل المثال ل$
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,A الموزع طرف ثالث / تاجر / عمولة الوكيل / التابعة / بائع التجزئة الذي يبيع منتجات شركات مقابل عمولة.
A user can have multiple values for a property.,يمكن للمستخدم تحتوي على قيم متعددة لخاصية.
A+,A +
A-,A-
AB+,AB +
AB-,AB-
AMC Expiry Date,AMC تاريخ انتهاء الاشتراك
ATT,ATT
Abbr,ابر
About,حول
About Us Settings,حول بنا إعدادات
About Us Team Member,حول عضو فريق بنا
Above Value,فوق القيمة
Absent,غائب
Acceptance Criteria,معايير القبول
Accepted,مقبول
Accepted Quantity,قبلت الكمية
Accepted Warehouse,قبلت مستودع
Account,حساب
Account Balance,رصيد حسابك
Account Details,تفاصيل الحساب
Account Head,رئيس حساب
Account Id,رقم الحساب
Account Name,اسم الحساب
Account Type,نوع الحساب
Account for this ,حساب لهذا
Accounting,المحاسبة
Accounting Year.,السنة المحاسبية.
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",قيد محاسبي المجمدة تصل إلى هذا التاريخ، لا أحد يمكن أن تفعل / تعديل إدخال باستثناء دور المحددة أدناه.
Accounting journal entries.,المحاسبة إدخالات دفتر اليومية.
Accounts,حسابات
Accounts Frozen Upto,حسابات مجمدة لغاية
Accounts Payable,ذمم دائنة
Accounts Receivable,حسابات القبض
Accounts Settings,إعدادات الحسابات
Action,عمل
Active,نشط
Active: Will extract emails from ,نشط: سيتم استخراج رسائل البريد الإلكتروني من
Activity,نشاط
Activity Log,سجل النشاط
Activity Type,النشاط نوع
Actual,فعلي
Actual Budget,الميزانية الفعلية
Actual Completion Date,تاريخ الانتهاء الفعلي
Actual Date,تاريخ الفعلية
Actual End Date,تاريخ الإنتهاء الفعلي
Actual Invoice Date,الفعلي تاريخ الفاتورة
Actual Posting Date,تاريخ النشر الفعلي
Actual Qty,الكمية الفعلية
Actual Qty (at source/target),الكمية الفعلية (في المصدر / الهدف)
Actual Qty After Transaction,الكمية الفعلية بعد العملية
Actual Quantity,الكمية الفعلية
Actual Start Date,تاريخ البدء الفعلي
Add,إضافة
Add / Edit Taxes and Charges,إضافة / تعديل الضرائب والرسوم
Add A New Rule,إضافة قاعدة جديدة
Add A Property,إضافة خاصية
Add Attachments,إضافة مرفقات
Add Bookmark,إضافة علامة
Add CSS,إضافة CSS
Add Column,إضافة عمود
Add Comment,إضافة تعليق
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,إضافة خدمة Google Analytics ID: على سبيل المثال. UA-89XXX57-1. الرجاء بحث المساعدة على تحليلات جوجل لمزيد من المعلومات.
Add Message,إضافة رسالة
Add New Permission Rule,إضافة قاعدة جديدة إذن
Add Reply,إضافة رد
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,إضافة بنود وشروط لطلب المواد. يمكنك أيضا إعداد الشروط والأحكام الماجستير واستخدام القالب
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,إضافة بنود وشروط لتلقي شراء. يمكنك أيضا بإعداد الشروط والأحكام وماجستير استخدام القالب.
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template",إضافة بنود وشروط لمثل اقتباس شروط الدفع، وصحة وما إلى ذلك يمكنك عرض أيضا بإعداد الشروط والأحكام وماجستير استخدام القالب
Add Total Row,إضافة صف الإجمالي
Add a banner to the site. (small banners are usually good),إضافة لافتة إلى الموقع. (لافتات صغيرة عادة ما تكون جيدة)
Add attachment,إضافة المرفقات
Add code as &lt;script&gt;,إضافة التعليمات البرمجية كما &lt;script&gt;
Add new row,إضافة صف جديد
Add or Deduct,إضافة أو خصم
Add rows to set annual budgets on Accounts.,إضافة صفوف لوضع الميزانيات السنوية على الحسابات.
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","إضافة اسم <a href=""http://google.com/webfonts"" target=""_blank"">جوجل خط ويب</a> على سبيل المثال &quot;بلا فتح&quot;"
Add to To Do,إضافة إلى المهام
Add to To Do List of,إضافة إلى قائمة المهام من
Add/Remove Recipients,إضافة / إزالة المستلمين
Additional Info,معلومات إضافية
Address,عنوان
Address & Contact,معالجة والاتصال
Address & Contacts,عنوان واتصالات
Address Desc,معالجة التفاصيل
Address Details,تفاصيل العنوان
Address HTML,معالجة HTML
Address Line 1,العنوان سطر 1
Address Line 2,العنوان سطر 2
Address Title,عنوان عنوان
Address Type,عنوان نوع
