 (Half Day),(Poludnevni)
 against sales order,protiv prodajnog naloga
 against same operation,protiv istog radu
 already marked,Već obilježena
 and year: ,i godina:
 as it is stock Item or packing item,kao što je dionica artikla ili pakiranje stavku
 at warehouse: ,na skladištu:
 by Role ,prema ulozi
 can not be made.,ne može biti.
 can not be marked as a ledger as it has existing child,"Ne može biti označena kao knjigu, kao da ima postojeće dijete"
 cannot be 0,ne može biti 0
 cannot be deleted.,nije moguće izbrisati.
 does not belong to the company,ne pripadaju tvrtki
 has already been submitted.,je već poslan.
 has been freezed. ,je freezed.
 has been freezed. \				Only Accounts Manager can do transaction against this account,je freezed. \ Samo računi vlasnici mogu učiniti transakciju protiv tog računa
" is less than equals to zero in the system, \						valuation rate is mandatory for this item","je manje nego jednaka nuli u sustavu, \ stopa za vrednovanje je obvezna za tu stavku"
 is mandatory,je obavezno
 is mandatory for GL Entry,je obvezna za upis GL
 is not a ledger,nije knjiga
 is not active,nije aktivan
 is not set,nije postavljen
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,Sada je zadana Fiskalna godina. \ Osvježite svoj preglednik za promjene stupiti na snagu.
 is present in one or many Active BOMs,prisutan je u jednom ili više aktivnih sastavnicama
 not active or does not exists in the system,Nije aktivan ili ne postoji u sustavu
 not submitted,nije podnesen
 or the BOM is cancelled or inactive,ili BOM je otkazan ili neaktivne
 should be 'Yes'. As Item: ,trebao biti &#39;Da&#39;. Kao točke:
 should be same as that in ,bi trebao biti isti kao u
 was on leave on ,bio na dopustu na
 will be ,biti
 will be over-billed against mentioned ,će biti više-naplaćeno protiv spomenuto
 will become ,će postati
"""Company History""",&quot;Povijest tvrtke&quot;
"""Team Members"" or ""Management""",&quot;Članovi tima&quot; ili &quot;upravljanje&quot;
%  Delivered,Isporučena%
% Amount Billed,% Iznos Naplaćeno
% Billed,Naplaćeno%
% Completed,Završen%
% Installed,Instalirani%
% Received,% Pozicija
% of materials billed against this Purchase Order.,% Materijala naplaćeno protiv ove narudžbenice.
% of materials billed against this Sales Order,% Materijala naplaćeno protiv ovog prodajnog naloga
% of materials delivered against this Delivery Note,% Materijala dostavljenih protiv ove otpremnici
% of materials delivered against this Sales Order,% Materijala dostavljenih od ovog prodajnog naloga
% of materials ordered against this Material Request,% Materijala naredio protiv ovog materijala Zahtjeva
% of materials received against this Purchase Order,% Materijala dobio protiv ove narudžbenice
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.","&#39;Ne može se upravljati pomoću Stock pomirenja. \ Možete dodati / izbrisati Serijski Ne izravno, \ mijenjati dionice ove stavke."
' in Company: ,&#39;U tvrtki:
'To Case No.' cannot be less than 'From Case No.',&#39;Za Predmet br&#39; ne može biti manja od &#39;Od Predmet br&#39;
* Will be calculated in the transaction.,* Hoće li biti izračunata u transakciji.
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**","Proračun ** Distribucija ** vam pomaže distribuirati svoj proračun preko mjeseca, ako imate sezonalnost u vašem business.To distribuirati proračun koristeći ovu distribuciju, postavite ovu ** Budget Distribution ** u ** troška **"
**Currency** Master,Valuta ** ** Master
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,Fiskalna godina ** ** predstavlja financijsku godinu. Svi računovodstvene unose i druge glavne transakcije su praćeni od ** fiskalnu godinu **.
. Outstanding cannot be less than zero. \				 	Please match exact outstanding.,. Izvanredna ne može biti manji od nule. \ Molimo odgovaraju točno izvanredan.
. Please set status of the employee as 'Left',. Molimo postavite status zaposlenika kao &#39;lijevi&#39;
. You can not mark his attendance as 'Present',. Ne možete označiti svoj dolazak kao &quot;sadašnjost&quot;
"000 is black, fff is white","000 je crno, FFF je bijela"
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 valuta = [?] FractionFor npr. 1 USD = 100 centi
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. Za održavanje kupaca mudar Šifra i kako bi ih pretraživati ​​na temelju svog koda koristiti ovu opciju
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2 days ago,Prije 2 dana
: Duplicate row from same ,: Dvostruki red od istog
: It is linked to other active BOM(s),: To je povezano s drugom aktivnom BOM (e)
: Mandatory for a Recurring Invoice.,: Obvezni za Ponavljajući fakture.
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group"">Za upravljati skupine kupaca, kliknite ovdje</a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group"">Upravljanje Stavka Grupe</a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory"">Za upravljanje Territory, kliknite ovdje</a>"
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","<a href=""#Sales Browser/Customer Group"">Upravljanje skupine kupaca</a>"
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group"">Za upravljanje Territory, kliknite ovdje</a>"
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#Sales Browser/Item Group"">Upravljanje Stavka grupe</a>"
"<a href=""#Sales Browser/Territory"">Territory</a>","<a href=""#Sales Browser/Territory"">Teritorija</a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory"">Za upravljanje Territory, kliknite ovdje</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Imenovanje Opcije</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>Odustani</b> vam promijeniti Poslao dokumente tako da ih otkazivanjem i njihovih izmjena i dopuna.
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager"">Za postavljanje, molimo idite na Postavke&gt; Naming serije</span>"
A Customer exists with same name,Kupac postoji s istim imenom
A Lead with this email id should exist,Olovo s ovom e-mail id trebala postojati
"A Product or a Service that is bought, sold or kept in stock.","Proizvod ili usluga koji je kupio, prodao ili čuva u skladištu."
A Supplier exists with same name,Dobavljač postoji s istim imenom
A condition for a Shipping Rule,Uvjet za otprema pravilu
A logical Warehouse against which stock entries are made.,Logično Skladište protiv kojih dionica unosi su napravili.
A new popup will open that will ask you to select further conditions.,Novi popup će se otvoriti koji će od vas tražiti da odaberete dodatne uvjete.
A symbol for this currency. For e.g. $,Simbol za ovu valutu. Za npr. $
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Treća strana distributer / prodavač / komisionar / suradnik / prodavač koji prodaje tvrtke proizvode za proviziju.
A user can have multiple values for a property.,Korisnik može imati više vrijednosti za imovinu.
A+,+
A-,-
AB+,AB +
AB-,AB-
AMC Expiry Date,AMC Datum isteka
ATT,ATT
Abbr,Abbr
About,Oko
About Us Settings,O nama Postavke
About Us Team Member,O nama reprezentativka
Above Value,Iznad Vrijednost
Absent,Odsutan
Acceptance Criteria,Kriterij prihvaćanja
Accepted,Primljen
Accepted Quantity,Prihvaćeno Količina
Accepted Warehouse,Prihvaćeno galerija
Account,Račun
Account Balance,Stanje računa
Account Details,Account Details
Account Head,Račun voditelj
Account Id,ID računa
Account Name,Naziv računa
Account Type,Vrsta računa
Account for this ,Račun za to
Accounting,Računovodstvo
Accounting Year.,Računovodstvo godina.
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Knjiženje zamrznuta do tog datuma, nitko ne može učiniti / mijenjati ulazak, osim uloge naveden u nastavku."
Accounting journal entries.,Računovodstvo unosi u dnevnik.
Accounts,Računi
Accounts Frozen Upto,Računi Frozen Upto
Accounts Payable,Računi naplativo
Accounts Receivable,Potraživanja
Accounts Settings,Računi Postavke
Action,Akcija
Active,Aktivan
Active: Will extract emails from ,Aktivno: Hoće li izdvojiti e-pošte iz
Activity,Djelatnost
Activity Log,Aktivnost Prijava
Activity Type,Aktivnost Tip
Actual,Stvaran
Actual Budget,Stvarni proračun
Actual Completion Date,Stvarni datum dovršenja
Actual Date,Stvarni datum
Actual End Date,Stvarni Datum završetka
Actual Invoice Date,Stvarni Datum fakture
Actual Posting Date,Stvarni datum knjiženja
Actual Qty,Stvarni Kol
Actual Qty (at source/target),Stvarni Kol (na izvoru / ciljne)
Actual Qty After Transaction,Stvarni Kol Nakon transakcije
Actual Quantity,Stvarni Količina
Actual Start Date,Stvarni datum početka
Add,Dodati
Add / Edit Taxes and Charges,Dodaj / Uredi poreza i pristojbi
Add A New Rule,Dodaj novo pravilo
Add A Property,Dodaj nekretninu
Add Attachments,Dodaj privitke
Add Bookmark,Dodaj Bookmark
Add CSS,Dodaj CSS
Add Column,Dodaj stupac
Add Comment,Dodaj komentar
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Dodaj Google Analytics ID: npr.. UA-89XXX57-1. Molimo potražiti pomoć na Google Analytics za više informacija.
Add Message,Dodaj poruku
Add New Permission Rule,Dodati novo pravilo dozvolu
Add Reply,Dodaj Odgovor
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,Dodaj Uvjete za materijal zahtjev. Također možete pripremiti Uvjeti i odredbe svladati i koristiti predložak
