 (Half Day),(Halve dag)
 against sales order,tegen verkooporder
 against same operation,tegen dezelfde handeling
 already marked,al gemarkeerd
 and year: ,en jaar:
 as it is stock Item or packing item,zoals het is voorraad Punt of verpakkingsitem
 at warehouse: ,in het magazijn:
 by Role ,per rol
 can not be made.,kan niet worden gemaakt.
 can not be marked as a ledger as it has existing child,kan niet worden gemarkeerd als een grootboek als het heeft bestaande kind
 cannot be 0,mag niet 0
 cannot be deleted.,kunnen niet worden verwijderd.
 does not belong to the company,behoort niet tot de onderneming
 has already been submitted.,al is ingediend.
 has been freezed. ,is bevroren.
 has been freezed. \				Only Accounts Manager can do transaction against this account,is bevroren. \ Accounts Manager kan doen transactie tegen deze account
" is less than equals to zero in the system, \						valuation rate is mandatory for this item","is minder dan gelijk aan nul in het systeem, \ taxatie tarief is verplicht voor dit item"
 is mandatory,is verplicht
 is mandatory for GL Entry,is verplicht voor GL Entry
 is not a ledger,is niet een grootboek
 is not active,niet actief
 is not set,is niet ingesteld
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,is nu de standaard boekjaar. \ Vernieuw uw browser om de wijziging door te voeren.
 is present in one or many Active BOMs,aanwezig is in een of vele Actieve stuklijsten
 not active or does not exists in the system,niet actief of niet bestaat in het systeem
 not submitted,niet ingediend
 or the BOM is cancelled or inactive,of de BOM wordt geannuleerd of inactief
 should be 'Yes'. As Item: ,zou moeten zijn &#39;Yes&#39;. Als Item:
 should be same as that in ,dezelfde als die moeten worden in
 was on leave on ,was op verlof op
 will be ,zal
 will be over-billed against mentioned ,wordt over-gefactureerd tegen genoemde
 will become ,zal worden
"""Company History""",&quot;Geschiedenis&quot;
"""Team Members"" or ""Management""",&quot;Team Members&quot; of &quot;Management&quot;
%  Delivered,Geleverd%
% Amount Billed,Gefactureerd% Bedrag
% Billed,% Gefactureerd
% Completed,% Voltooid
% Installed,% Geïnstalleerd
% Received,% Ontvangen
% of materials billed against this Purchase Order.,% Van de materialen in rekening gebracht tegen deze Purchase Order.
% of materials billed against this Sales Order,% Van de materialen in rekening gebracht tegen deze verkooporder
% of materials delivered against this Delivery Note,% Van de geleverde materialen tegen deze Delivery Note
% of materials delivered against this Sales Order,% Van de geleverde materialen tegen deze verkooporder
