(Half Day),(Halber Tag)
against same operation,gegen dieselbe Operation
by Role,von Role
cannot be 0,nicht 0 sein kann
does not belong to the company:,nicht dem Unternehmen gehören:
 has been freezed. \				Only Accounts Manager can do transaction against this account,Wurde eingefroren. \ Nur Accounts Manager kann Transaktion gegen dieses Konto zu tun
" is less than equals to zero in the system, \						valuation rate is mandatory for this item",Kleiner als gleich im System Null ist \ Bewertungskurs obligatorische zu diesem Artikel
is mandatory,zwingend
is mandatory for GL Entry,ist für GL Eintrag zwingend
is not a ledger,ist nicht ein Ledger
is not active,nicht aktiv
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,"Ist nun der Standard Geschäftsjahr. \ Bitte Ihren Browser aktualisieren, damit die Änderungen wirksam werden."
or the BOM is cancelled or inactive,oder das BOM wird abgebrochen oder inaktiv
should be same as that in,sollte dieselbe wie die in
will become,werden
"""Company History""",Firmengeschichte
"""Team Members"" or ""Management""","Teammitglieder oder ""Management"""
"#,###","#,###"
"#,###.##","#,###.##"
"#,###.###","#,###.###"
"#,##,###.##","#,##,###.##"
"#.###,##","#.###,##"
%  Delivered,% Lieferung
% Amount Billed,% Rechnungsbetrag
% Billed,% Billed
% Installed,% Installierte
% Ordered,% Geordnete
% Received,% Erhaltene
% of materials billed against this Delivery Note,% Der Materialien gegen diese Lieferschein abgerechnet
% of materials billed against this Purchase Order.,% Der Materialien gegen diese Bestellung in Rechnung gestellt.
% of materials billed against this Purchase Receipt,% Der Materialien gegen diese Kaufbeleg abgerechnet
% of materials billed against this Sales Order,% Der Materialien gegen diesen Kundenauftrag abgerechnet
% of materials delivered against this Delivery Note,% Der Materialien gegen diese Lieferschein
% of materials delivered against this Sales Order,% Der Materialien gegen diesen Kundenauftrag geliefert
% of materials ordered against this Purchase Requisition,% Der bestellten Materialien gegen diese Bestellanforderung
% of materials received against this Purchase Order,% Der Materialien erhalten gegen diese Bestellung
" can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.",Kann nicht verwaltet mit Lager Versöhnung werden. \ Sie können zum Hinzufügen / Löschen Serial No direkt \ to stock dieses Artikels zu ändern.
 does not exists in, existiert nicht in
* Will be calculated in the transaction.,* Wird in der Transaktion berechnet werden.
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**","** Budget Verteilung ** hilft Ihnen verteilen Sie Ihr Budget über Monate, wenn Sie Saisonalität in Ihrem business.To vertreiben ein Budget Verwendung dieser Verteilung, setzen Sie diesen ** Budget Verteilung ** in der ** Cost Center ** haben"
**Currency** Master,** Währung ** Meister
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Geschäftsjahr ** ein Geschäftsjahr. Alle Buchungen und anderen wichtigen Transaktionen gegen ** Geschäftsjahr ** verfolgt.
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
1,1
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 Währung = [?] FractionFor beispielsweise 1 USD = 100 Cent
1. To maintain the customer wise item code and to make them searchable based on their code use this option,Ein. Um den Kunden kluge Artikel Code zu pflegen und um sie durchsuchbar basierend auf ihren Code um diese Option
10,10
100,100
11,11
12,12
12px,12px
13px,13px
14px,14px
15,15
15px,15px
16px,16px
2,2
2 days ago,Vor 2 Tagen
20,20
25,25
3,3
30,30
35,35
4,4
40,40
45,45
5,5
50,50
55,55
6,6
60,60
65,65
70,70
75,75
80,80
85,85
90,90
95,95
: It is linked to other active BOM(s),: Es wird mit anderen aktiven BOM (s) verbunden
: Mandatory for a Recurring Invoice.,: Obligatorisch für ein Recurring Invoice.
<,<
<=,<=
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group""> Kundengruppen zu verwalten, klicken Sie hier </ a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group""> Artikel Gruppen verwalten </ a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory""> Um Territory zu verwalten, klicken Sie hier </ a>"
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group""> Um Territory zu verwalten, klicken Sie hier </ a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory""> Um Territory zu verwalten, klicken Sie hier </ a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<A onclick = ""msgprint ('<ol> \ <li> <b> Feld: [Feldname] </ b> - Durch Feld \ <li> <b> naming_series: </ b> - durch die Benennung Series (Feld namens naming_series muss vorhanden sein \ <li> <b> eval: [Ausdruck] </ b> - Bewerten Sie einen Ausdruck in python (Selbst ist doc) \ <li> <b> Prompt </ b> - Benutzer nach einem Namen \ <li> <b> [Serie] </ b> - Series by Prefix (getrennt durch einen Punkt);. zum Beispiel PRE # # # # # \ </ ol> ') ""> Naming Optionen </ a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b> Abbrechen </ b> können Sie ändern eingereichten Unterlagen durch Vernichtung von ihnen und zur Änderung ihnen.
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager""> Um einzurichten, gehen Sie bitte auf Setup> Naming Series </ span>"
#ERROR!:parse,# ERROR!
>,>
>=,> =
A,A
A Customer exists with same name,Ein Kunde gibt mit dem gleichen Namen
A Lead with this email id should exist,Ein Lead mit dieser E-Mail-ID sollte vorhanden sein
A Product is shown on the website and is linked to an item.,Ein Produkt wird auf der Website gezeigt und wird zu einem Element verbunden.
"A Product or a Service that is bought, sold or kept in stock.","Ein Produkt oder eine Dienstleistung, die gekauft, verkauft oder gehalten auf Lager."
A Supplier exists with same name,Ein Lieferant existiert mit dem gleichen Namen
A logical Warehouse against which stock entries are made.,Eine logische Warehouse gegen die Lager-Einträge vorgenommen werden.
A new popup will open that will ask you to select further conditions.,"Ein neues Pop-up öffnet das wird Sie bitten, weitere Bedingungen zu wählen."
A symbol for this currency. For e.g. $,Ein Symbol für diese Währung. Für z.B. $
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Ein Dritter Vertrieb / Händler / Kommissionär / affiliate / Vertragshändler verkauft die Unternehmen Produkte für eine Provision.
A user can have multiple values for a property.,Ein Benutzer kann mehrere Werte für eine Eigenschaft.
A+,A +
A-,A-
AB+,AB +
AB-,AB-
AMC Expiry Date,AMC Ablaufdatum
ATT,ATT
Abbr,Abk.
About,Über
About Us Settings,Über uns Settings
About Us Team Member,Über uns Team Member
Above Value,Vor Wert
Absent,Abwesend
Acceptance Criteria,Akzeptanzkriterien
Accepted,Akzeptiert
Accepted Quantity,Akzeptiert Menge
Accepted Warehouse,Akzeptiert Warehouse
Account,Konto
Account Balance,Kontostand
Account Details,Kontodetails
Account Head,Konto Leiter
Account Id,Konto-ID
Account Info,Kundendaten
Account Name,Account Name
Account Type,Kontotyp
Account:,Konto:
"Accounting entry frozen up to this date, nobody can do / modify entry except authorized person","Buchhaltungseingaben bis zu diesem Zeitpunkt eingefroren, kann niemand / nicht ändern Eintrag außer autorisierten Person"
Accounting journal entries.,Accounting Journaleinträge.
Accounts,Konten
Accounts Browser,Konten Browser
Accounts Frozen Upto,Konten Bis gefroren
Accounts Home,Accounts Startseite
Accounts Payable,Kreditorenbuchhaltung
Accounts Receivable,Debitorenbuchhaltung
Action,Aktion
Action Detail,Aktion Details
Action html,Aktion html
Active,Aktiv
Active: Will extract emails from,Aktive: Wird E-Mails zu extrahieren
Activity,Aktivität
Activity Log,Activity Log
Activity Name,Aktivität Name
Activity Type,Art der Tätigkeit
Actual,Tatsächlich
Actual Amount,Istmenge
Actual Budget,Tatsächliche Budget
Actual Completion Date,Tatsächliche Datum der Fertigstellung
Actual Date,Aktuelles Datum
Actual End Date,Actual End Datum
Actual End Time,Tatsächliche Endzeit
Actual Qty,Tatsächliche Menge
