 (Half Day),(ครึ่งวัน)
 against sales order,กับคำสั่งขาย
 against same operation,กับการดำเนินงานเดียวกัน
 already marked,ทำเครื่องหมายแล้ว
 and year: ,และปี:
 as it is stock Item or packing item,มันเป็นรายการหุ้นหรือรายการบรรจุ
 at warehouse: ,ที่คลังสินค้า:
 by Role ,โดยบทบาท
 can not be made.,ไม่สามารถทำ
 can not be marked as a ledger as it has existing child,ไม่สามารถทำเครื่องหมายเป็นบัญ​​ชีแยกประเภทตามที่มีเด็กที่มีอยู่
 cannot be 0,ไม่สามารถเป็น 0
 cannot be deleted.,ไม่สามารถลบได้
 does not belong to the company,ไม่ได้เป็นของ บริษัท ฯ
 has already been submitted.,ได้ถูกส่งมา
 has been freezed. ,ได้รับการ freezed
 has been freezed. \				Only Accounts Manager can do transaction against this account,ได้รับการ freezed \ เฉพาะผู้จัดการบัญชีผู้ใช้สามารถทำธุรกรรมกับบัญชีนี้
" is less than equals to zero in the system, \						valuation rate is mandatory for this item",คือน้อยกว่าเท่ากับศูนย์ในระบบอัตราการประเมินมูลค่า \ มีผลบังคับใช้สำหรับรายการนี​​้
 is mandatory,มีผลบังคับใช้
 is mandatory for GL Entry,มีผลบังคับใช้สำหรับรายการ GL
 is not a ledger,ไม่ได้เป็นบัญ​​ชีแยกประเภท
 is not active,ไม่ได้ใช้งาน
 is not set,ไม่ได้ตั้งค่า
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,คือตอนนี้เริ่มต้นปีงบประมาณ \ โปรดรีเฟรชเบราว์เซอร์ของคุณสำหรับการเปลี่ยนแปลงที่จะมีผล
 is present in one or many Active BOMs,ในปัจจุบันคือ BOMs ใช้งานเดียวหรือหลายคน
 not active or does not exists in the system,ใช้งานไม่ได้หรือไม่ได้อยู่ในระบบ
 not submitted,ไม่ได้ส่ง
 or the BOM is cancelled or inactive,หรือ BOM ถูกยกเลิกหรือไม่ได้ใช้งาน
 should be 'Yes'. As Item: ,ควรจะเป็น &#39;ใช่&#39; เป็นรายการ:
 should be same as that in ,ควรจะเป็นเช่นเดียวกับที่อยู่ใน
 was on leave on ,ได้พักเมื่อ
 will be ,จะ
 will be over-billed against mentioned ,จะถูกกว่าเรียกเก็บเงินกับที่กล่าวถึง
 will become ,จะกลายเป็น
"""Company History""",&quot;ประวัติ บริษัท &quot;
"""Team Members"" or ""Management""",&quot;สมาชิกทีม&quot; หรือ &quot;จัดการ&quot;
%  Delivered,ส่ง%
% Amount Billed,จำนวนเงิน% จำนวน
% Billed,จำนวน%
% Completed,% เสร็จสมบูรณ์
% Installed,% Installed
% Received,ได้รับ%
% of materials billed against this Purchase Order.,% ของวัสดุที่เรียกเก็บเงินกับการสั่งซื้อนี้
% of materials billed against this Sales Order,% ของวัสดุที่เรียกเก็บเงินกับการสั่งซื้อนี้ขาย
% of materials delivered against this Delivery Note,% ของวัสดุที่ส่งกับส่งหมายเหตุนี้
% of materials delivered against this Sales Order,% ของวัสดุที่ส่งต่อนี้สั่งซื้อขาย
% of materials ordered against this Material Request,% ของวัสดุสั่งกับวัสดุนี้ขอ
% of materials received against this Purchase Order,% ของวัสดุที่ได้รับกับการสั่งซื้อนี้
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.",&#39;ไม่สามารถจัดการได้โดยใช้การกระทบยอดสต็อก. \ คุณสามารถเพิ่ม / ลบอนุกรมไม่มีโดยตรง \ การปรับเปลี่ยนหุ้นของรายการนี​​้
' in Company: ,ใน บริษัท :
'To Case No.' cannot be less than 'From Case No.',&#39;to คดีหมายเลข&#39; ไม่สามารถจะน้อยกว่า &#39;จากคดีหมายเลข&#39;
* Will be calculated in the transaction.,* จะได้รับการคำนวณในการทำธุรกรรม
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**",การแพร่กระจายงบประมาณ ** ** ช่วยให้คุณกระจายงบประมาณของคุณทั่วเดือนถ้าคุณมีฤดูกาลใน business.To กระจายงบประมาณของคุณโดยใช้การกระจายนี้ชุดนี้กระจายงบประมาณ ** ** ** ในศูนย์ต้นทุน **
**Currency** Master,สกุลเงิน ** ** โท
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ** ปีงบประมาณแสดงรอบปีบัญชี ทุกรายการบัญชีและการทำธุรกรรมที่สำคัญอื่น ๆ จะมีการติดตามกับปีงบประมาณ ** **
. Outstanding cannot be less than zero. \				 	Please match exact outstanding.,. ที่โดดเด่นไม่สามารถน้อยกว่าศูนย์ \ กรุณาตรงกับที่แน่นอนที่โดดเด่น
. Please set status of the employee as 'Left',. กรุณาตั้งสถานะของพนักงานเป็น &#39;ซ้าย&#39;
. You can not mark his attendance as 'Present',. คุณไม่สามารถทำเครื่องหมายร่วมของเขาในฐานะ &#39;ปัจจุบัน&#39;
"000 is black, fff is white",000 เป็นสีดำเป็นสีขาว fff
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 สกุลเงิน = [?] FractionFor เช่น 1 USD = 100 Cent
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1 เพื่อรักษารหัสรายการลูกค้าที่ฉลาดและจะทำให้พวกเขาค้นหาตามรหัสของพวกเขาใช้ตัวเลือกนี้
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2 days ago,2 วันที่ผ่านมา
: Duplicate row from same ,: ซ้ำแถวจากเดียวกัน
: It is linked to other active BOM(s),: มันจะเชื่อมโยงกับ BOM ใช้งานอื่น ๆ (s)
: Mandatory for a Recurring Invoice.,: บังคับสำหรับใบแจ้งหนี้ที่เกิดขึ้นประจำ
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group"">ในการจัดการกลุ่มลูกค้าคลิกที่นี่</a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group"">จัดการกลุ่มสินค้า</a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory"">การจัดการดินแดนคลิกที่นี่</a>"
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","<a href=""#Sales Browser/Customer Group"">จัดการกลุ่มลูกค้า</a>"
