 (Half Day),(Demi-journée)
 against sales order,contre l&#39;ordre de vente
 against same operation,contre une même opération
 already marked,déjà marqué
 and year: ,et l&#39;année:
 as it is stock Item or packing item,comme il est stock Article ou article d&#39;emballage
 at warehouse: ,à l&#39;entrepôt:
 by Role ,par rôle
 can not be made.,ne peuvent pas être réalisés.
 can not be marked as a ledger as it has existing child,ne peut pas être marqué comme un grand livre comme elle a un enfant existant
 cannot be 0,ne peut pas être égal à 0
 cannot be deleted.,ne peut pas être supprimé.
 does not belong to the company,n&#39;appartient pas à l&#39;entreprise
 has already been submitted.,a déjà été soumis.
 has been freezed. ,a été gelé.
 has been freezed. \				Only Accounts Manager can do transaction against this account,a été gelé. \ Seul Accounts Manager peut faire contre cette transaction compte
" is less than equals to zero in the system, \						valuation rate is mandatory for this item","est moins égale à zéro dans le système, \ taux d&#39;évaluation est obligatoire pour ce produit"
 is mandatory,est obligatoire
 is mandatory for GL Entry,est obligatoire pour l&#39;entrée GL
 is not a ledger,n&#39;est pas un livre
 is not active,n&#39;est pas actif
 is not set,n&#39;est pas réglé
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,est maintenant l&#39;année fiscale défaut. \ S&#39;il vous plaît rafraîchir votre navigateur pour que le changement prenne effet.
 is present in one or many Active BOMs,est présent dans une ou plusieurs nomenclatures actifs
 not active or does not exists in the system,pas actif ou n&#39;existe pas dans le système
 not submitted,pas soumis
 or the BOM is cancelled or inactive,ou la nomenclature est annulé ou inactif
 should be 'Yes'. As Item: ,devrait être «oui». Comme objet:
 should be same as that in ,doit être le même que celui de l&#39;
 was on leave on ,était en congé
 will be ,sera
 will be over-billed against mentioned ,sera terminée à bec contre mentionné
 will become ,deviendra
"""Company History""",&quot;Histoire de la société&quot;
"""Team Members"" or ""Management""",&quot;Membres de l&#39;équipe&quot; ou &quot;gestion&quot;
%  Delivered,Livré%
% Amount Billed,Montant Facturé%
% Billed,Facturé%
% Completed,% Terminé
% Installed,Installé%
% Received,Reçus%
% of materials billed against this Purchase Order.,% De matières facturées contre ce bon de commande.
% of materials billed against this Sales Order,% De matières facturées contre cette ordonnance ventes
% of materials delivered against this Delivery Note,% Des matériaux livrés contre ce bon de livraison
% of materials delivered against this Sales Order,% Des matériaux livrés contre cette ordonnance ventes
% of materials ordered against this Material Request,% De matériaux ordonnée contre cette Demande de Matériel
% of materials received against this Purchase Order,% Des documents reçus contre ce bon de commande
