 (Half Day),（半天）
 .You can not assign / modify / remove Master Name,你不能指派/修改/刪除主名稱
 Quantity should be greater than 0.,量應大於0。
 View,視圖
 after this transaction.,本次交易後。
 against sales order,對銷售訂單
 against same operation,針對相同的操作
 already marked,已標記
 and year: ,和年份：
 as it is stock Item or packing item,因為它是現貨產品或包裝物品
 at warehouse: ,在倉庫：
 budget ,預算
 by Role ,按角色
 can not be created/modified against stopped Sales Order ,不能創建/修改對停止銷售訂單
 can not be made.,不能進行。
 can not be marked as a ledger as it has existing child,不能被標記為總賬，因為它已經存在的子
 can not be received twice,不能被接受兩次
 can only be debited/credited through Stock transactions,只能借記/貸記通過股票的交易
 does not belong to ,不屬於
 does not belong to Warehouse,不屬於倉庫
 does not belong to the company,不屬於該公司
 for account ,帳戶
 has already been submitted.,已經提交。
 is a frozen account. ,是冷凍的帳戶。
 is a frozen account. \				Either make the account active or assign role in Accounts Settings \				who can create / modify entries against this account,是冷凍的帳戶。 \要么使該帳戶活動或在指定賬戶設置角色\誰可以創建/修改詞條對這個帳號
" is less than equals to zero in the system, \						valuation rate is mandatory for this item",小於等於零時在系統中，\估值比率是強制性的資料
 is mandatory,是強制性的
 is mandatory for GL Entry,是強制性的GL報名
 is mandatory. Maybe Currency Exchange record is not created for ,是強制性的。也許外幣兌換記錄沒有建立
 is not set,沒有設置
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,現在是默認的財政年度。 \請刷新您的瀏覽器，以使更改生效。
 is present in one or many Active BOMs,存在於一個或多個活躍的BOM
 not active or does not exists in the system,不活躍或不存在於系統中
 not submitted,未提交
 or the BOM is cancelled or inactive,或物料清單被取消或不活動
 should be 'Yes'. As Item: ,應該是&#39;是&#39;。作為項目：
 to ,至
 will be ,將
 will be over-billed against mentioned ,將過嘴對著提到的
 will exceed by ,將超過
"""Company History""",“公司歷史”
"""Team Members"" or ""Management""",“團隊成員”或“管理”
%  Delivered,％交付
% Amount Billed,（％）金額帳單
% Billed,％帳單
% Completed,％已完成
% Delivered,％交付
% Installed,％安裝
% Received,收到％
% of materials billed against this Purchase Order.,％的材料嘴對這種採購訂單。
% of materials billed against this Sales Order,％的嘴對這種銷售訂單物料
% of materials delivered against this Delivery Note,％的交付對本送貨單材料
% of materials delivered against this Sales Order,％的交付對這個銷售訂單物料
% of materials ordered against this Material Request,％的下令對這種材料申請材料
% of materials received against this Purchase Order,％的材料收到反對這個採購訂單
