 (Half Day),（半天）
 .You can not assign / modify / remove Master Name,你不能指派/修改/删除主名称
 Quantity should be greater than 0.,量应大于0。
 View,视图
 after this transaction.,本次交易后。
 against sales order,对销售订单
 against same operation,针对相同的操作
 already marked,已标记
 and year: ,和年份：
 as it is stock Item or packing item,因为它是现货产品或包装物品
 at warehouse: ,在仓库：
 budget ,预算
 by Role ,按角色
 can not be created/modified against stopped Sales Order ,不能创建/修改对停止销售订单
 can not be made.,不能进行。
 can not be marked as a ledger as it has existing child,不能被标记为总账，因为它已经存在的子
 can not be received twice,不能被接受两次
 can only be debited/credited through Stock transactions,只能借记/贷记通过股票的交易
 does not belong to ,不属于
 does not belong to Warehouse,不属于仓库
 does not belong to the company,不属于该公司
 for account ,帐户
 has already been submitted.,已经提交。
 is a frozen account. ,是冷冻的帐户。
 is a frozen account. \				Either make the account active or assign role in Accounts Settings \				who can create / modify entries against this account,是冷冻的帐户。 \要么使该帐户活动或在指定账户设置角色\谁可以创建/修改词条对这个帐号
" is less than equals to zero in the system, \						valuation rate is mandatory for this item",小于等于零时在系统中，\估值比率是强制性的资料
 is mandatory,是强制性的
 is mandatory for GL Entry,是强制性的GL报名
 is mandatory. Maybe Currency Exchange record is not created for ,是强制性的。也许外币兑换记录没有建立
 is not set,没有设置
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,现在是默认的财政年度。 \请刷新您的浏览器，以使更改生效。
 is present in one or many Active BOMs,存在于一个或多个活跃的BOM
 not active or does not exists in the system,不活跃或不存在于系统中
 not submitted,未提交
 or the BOM is cancelled or inactive,或物料清单被取消或不活动
 should be 'Yes'. As Item: ,应该是&#39;是&#39;。作为项目：
 to ,至
 will be ,将
 will be over-billed against mentioned ,将过嘴对着提到的
 will exceed by ,将超过
"""Company History""",“公司历史”
"""Team Members"" or ""Management""",“团队成员”或“管理”
%  Delivered,％交付
% Amount Billed,（％）金额帐单
% Billed,％帐单
% Completed,％已完成
% Delivered,％交付
% Installed,％安装
% Received,收到％
% of materials billed against this Purchase Order.,％的材料嘴对这种采购订单。
% of materials billed against this Sales Order,％的嘴对这种销售订单物料
% of materials delivered against this Delivery Note,％的交付对本送货单材料
% of materials delivered against this Sales Order,％的交付对这个销售订单物料
% of materials ordered against this Material Request,％的下令对这种材料申请材料
% of materials received against this Purchase Order,％的材料收到反对这个采购订单
%(conversion_rate_label)s is mandatory. Maybe Currency Exchange \			record is not created for %(from_currency)s to %(to_currency)s,％（conversion_rate_label）s是强制性的。也许外币兑换\记录没有创建％（from_currency）s到％（to_currency）■
' in Company: ,“在公司名称：
'To Case No.' cannot be less than 'From Case No.',“要案件编号”不能少于&#39;从案号“
(Total) Net Weight value. Make sure that Net Weight of each item is,（总）净重值。确保每个项目的净重是
* Will be calculated in the transaction.,*将被计算在该交易。
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**",**预算分配**可以帮助你发布你的预算横跨个月，如果你有季节性你business.To使用这种分配分配预算，设置这个**预算分配**的**成本中心**
**Currency** Master,*货币**大师
