 (Half Day),(आधे दिन)
 against sales order,बिक्री के आदेश के खिलाफ
 against same operation,एक ही आपरेशन के खिलाफ
 already marked,पहले से ही चिह्नित
 and year: ,और वर्ष:
 as it is stock Item or packing item,यह स्टॉक आइटम या पैकिंग आइटम के रूप में है
 at warehouse: ,गोदाम में:
 by Role ,रोल से
 can not be made.,नहीं बनाया जा सकता.
 can not be marked as a ledger as it has existing child,यह मौजूदा बच्चे के रूप में एक खाता के रूप में चिह्नित नहीं किया जा सकता
 cannot be 0,0 नहीं हो सकते हैं
 cannot be deleted.,हटाया नहीं जा सकता.
 does not belong to the company,कंपनी का नहीं है
 has already been submitted.,पहले से ही प्रस्तुत किया गया है.
 has been freezed. ,freezed किया गया है.
 has been freezed. \				Only Accounts Manager can do transaction against this account,freezed किया गया है. केवल \ लेखा प्रबंधक इस खाते के खिलाफ लेन - देन कर सकते हैं
" is less than equals to zero in the system, \						valuation rate is mandatory for this item","प्रणाली में शून्य के बराबर होती है कम से कम, \ मूल्यांकन दर इस मद के लिए अनिवार्य है"
 is mandatory,अनिवार्य है
 is mandatory for GL Entry,जीएल एंट्री करने के लिए अनिवार्य है
 is not a ledger,एक खाता नहीं है
 is not active,सक्रिय नहीं है
 is not set,सेट नहीं है
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,अब डिफ़ॉल्ट वित्त वर्ष है. \ कृपया को प्रभावी करने के बदलाव के लिए अपने ब्राउज़र को ताज़ा.
 is present in one or many Active BOMs,एक या कई सक्रिय BOMs में मौजूद है
 not active or does not exists in the system,सक्रिय नहीं या सिस्टम में मौजूद नहीं है
 not submitted,प्रस्तुत नहीं
 or the BOM is cancelled or inactive,या BOM रद्द कर दिया है या निष्क्रिय
 should be 'Yes'. As Item: ,&#39;हाँ&#39; होना चाहिए. आइटम के रूप में:
 should be same as that in ,में उस के रूप में ही किया जाना चाहिए
 was on leave on ,था पर छोड़ पर
 will be ,हो जाएगा
 will be over-billed against mentioned ,उल्लेख के खिलाफ ज्यादा बिल भेजा जाएगा
 will become ,हो जाएगा
"""Company History""",&quot;कंपनी इतिहास&quot;
"""Team Members"" or ""Management""",&quot;टीम के सदस्यों&quot; या &quot;प्रबंधन&quot;
%  Delivered,% वितरित
% Amount Billed,% बिल की राशि
% Billed,% बिल
% Completed,% पूर्ण
% Installed,% Installed
% Received,% प्राप्त
% of materials billed against this Purchase Order.,सामग्री का% इस खरीद के आदेश के खिलाफ बिल.
% of materials billed against this Sales Order,% सामग्री की बिक्री के इस आदेश के खिलाफ बिल
% of materials delivered against this Delivery Note,इस डिलिवरी नोट के खिलाफ दिया सामग्री का%
% of materials delivered against this Sales Order,इस बिक्री आदेश के खिलाफ दिया सामग्री का%
% of materials ordered against this Material Request,सामग्री का% इस सामग्री अनुरोध के खिलाफ आदेश दिया
% of materials received against this Purchase Order,इस खरीद के आदेश के खिलाफ प्राप्त सामग्री की%
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.","&#39;स्टॉक सुलह का उपयोग करने में कामयाब नहीं कर सकते हैं. \ आप जोड़ सकते हैं / सीरियल हटाने के कोई सीधे, से \ इस मद के स्टॉक को संशोधित करने के लिए कर सकते हैं."
' in Company: ,&#39;कंपनी में:
'To Case No.' cannot be less than 'From Case No.',&#39;प्रकरण नहीं करने के लिए&#39; &#39;केस नंबर से&#39; से कम नहीं हो सकता
* Will be calculated in the transaction.,* लेनदेन में गणना की जाएगी.
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**","** बजट वितरण ** मदद करता है और आप महीने भर में आपका बजट वितरित अगर आप अपने business.To में इस वितरण का उपयोग कर बजट है, इस बजट ** वितरण सेट ** ** ** लागत केंद्र में वितरित मौसम है"
**Currency** Master,** मुद्रा ** मास्टर
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** वित्त वर्ष ** एक वित्तीय वर्ष का प्रतिनिधित्व करता है. सभी लेखा प्रविष्टियों और अन्य प्रमुख लेनदेन ** वित्त वर्ष के खिलाफ ट्रैक कर रहे हैं.
. Outstanding cannot be less than zero. \				 	Please match exact outstanding.,. बकाया शून्य से कम नहीं हो सकता. \ बकाया सटीक मैच करें.
. Please set status of the employee as 'Left',. &#39;वाम&#39; के रूप में कर्मचारी की स्थिति सेट करें
. You can not mark his attendance as 'Present',. आप &#39;वर्तमान&#39; के रूप में अपनी उपस्थिति को चिह्नित नहीं कर सकते
"000 is black, fff is white","000 काला है, fff सफेद है"
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,मुद्रा 1 = FractionFor उदा 1 अमरीकी डालर [?] = 100 प्रतिशत
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. इस विकल्प का उपयोग ग्राहक बुद्धिमान आइटम कोड को बनाए रखने और अपने कोड के आधार पर बनाने के लिए उन्हें खोजा
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2 days ago,2 दिन पहले
: Duplicate row from same ,: उसी से पंक्ति डुप्लिकेट
: It is linked to other active BOM(s),: यह अन्य सक्रिय बीओएम (ओं) से जुड़ा हुआ है
: Mandatory for a Recurring Invoice.,: एक आवर्ती चालान के लिए अनिवार्य है.
