 (Half Day),(Полудневни)
 against sales order,против продаје поретка
 against same operation,против исте операције
 already marked,је већ обележен
 and year: ,и година:
 as it is stock Item or packing item,као што је лагеру предмета или паковање артикал
 at warehouse: ,у складишту:
 by Role ,по улози
 can not be made.,не може бити.
 can not be marked as a ledger as it has existing child,не може да буде означена као књигу јер има постојећи дете
 cannot be 0,не може да буде 0
 cannot be deleted.,не може да се избрише.
 does not belong to the company,не припада се на компанији
 has already been submitted.,је већ послат.
 has been freezed. ,се замрзава.
 has been freezed. \				Only Accounts Manager can do transaction against this account,се замрзава. \ Само налози Менаџер може да уради трансакцију против овог рачуна
" is less than equals to zero in the system, \						valuation rate is mandatory for this item","је мање него једнака нули у систему, \ вредновање стопа је обавезна за ову ставку"
 is mandatory,је обавезна
 is mandatory for GL Entry,је обавезан за ГЛ Ентри
 is not a ledger,није главна књига
 is not active,није активан
 is not set,није одређена
 is now the default Fiscal Year. \			Please refresh your browser for the change to take effect.,је сада подразумевани фискалне године. \ Освежите прегледач за промена ступила на снагу.
 is present in one or many Active BOMs,је присутан у једном или више активних БОМс
 not active or does not exists in the system,није активна или не постоји у систему
 not submitted,не подноси
 or the BOM is cancelled or inactive,или БОМ је отказано или неактиван
 should be 'Yes'. As Item: ,би требало да буде &#39;Да&#39;. Као тачке:
 should be same as that in ,треба да буде исти као онај који у
 was on leave on ,био на одсуству на
 will be ,ће бити
 will be over-billed against mentioned ,ће бити превише наплаћено против помиње
 will become ,ће постати
"""Company History""",&quot;Историја компаније&quot;
"""Team Members"" or ""Management""",&quot;Чланови тима&quot; или &quot;Манагемент&quot;
%  Delivered,Испоручено%
% Amount Billed,Износ% Фактурисана
% Billed,Изграђена%
% Completed,Завршен%
% Installed,Инсталирана%
% Received,% Примљене
% of materials billed against this Purchase Order.,% Материјала наплаћени против ове нарудзбенице.
% of materials billed against this Sales Order,% Материјала наплаћени против овог налога за продају
% of materials delivered against this Delivery Note,% Материјала испоручених против ове испоруке Обавештење
% of materials delivered against this Sales Order,% Материјала испоручених против овог налога за продају
% of materials ordered against this Material Request,% Материјала изрећи овај материјал захтеву
% of materials received against this Purchase Order,% Материјала добио против ове нарудзбенице
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.","Не може &#39;се управља помоћу Берза помирење \ Можете додати / обрисати Серијски број директно, \ модификовати залихе ове ставке.."
' in Company: ,&#39;У компанији:
'To Case No.' cannot be less than 'From Case No.',&#39;Да Предмет бр&#39; не може бити мањи од &#39;Од Предмет бр&#39;
* Will be calculated in the transaction.,* Хоће ли бити обрачуната у трансакцији.
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**","Буџет ** ** Дистрибуција помаже да распоредите свој буџет преко месеци, ако имате сезонски у вашем бусинесс.То дистрибуирати буџет користећи ову дистрибуцију, подесите ову ** буџета Дистрибуција ** у ** трошкова Центра **"
**Currency** Master,** ** Мајстор валута
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ** Фискална година представља финансијску годину. Све рачуноводствених уноса и других великих трансакције прате против ** фискалну **.
. Outstanding cannot be less than zero. \				 	Please match exact outstanding.,. Изванредна не може бити мањи од нуле. \ Молимо подударање изузетан.
. Please set status of the employee as 'Left',. Молимо да подесите статус запосленог као &quot;Лефт&quot;
. You can not mark his attendance as 'Present',. Не можете означити његово присуство као &#39;садашњости&#39;
"000 is black, fff is white","000 је црно, бело је ффф"
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1 Валута = ФрацтионФор нпр. 1 ЕУР = 100 [?] Цент
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. Да бисте задржали купца мудрог код ставке и да их претраживати на основу њиховог кода користили ову опцију
12px,12пк
13px,13пк
14px,14пк
15px,15пк
16px,16пк
2 days ago,Пре 2 дана
: Duplicate row from same ,: Дуплицате ред из исте
: It is linked to other active BOM(s),: Повезан је са другом активном БОМ (с)
: Mandatory for a Recurring Invoice.,: Обавезно за периодичну фактуре.
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","<a href=""#!Sales Browser/Customer Group"">Да бисте управљали групе корисника, кликните овде</a>"
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#!Sales Browser/Item Group"">Управљање групама Итем</a>"
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#!Sales Browser/Territory"">За управљање територијом, кликните овде</a>"
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","<a href=""#Sales Browser/Customer Group"">Управљање групама корисника</a>"
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","<a href=""#Sales Browser/Customer Group"">За управљање територијом, кликните овде</a>"
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","<a href=""#Sales Browser/Item Group"">Управљање групама артиклу</a>"
"<a href=""#Sales Browser/Territory"">Territory</a>","<a href=""#Sales Browser/Territory"">Територија</a>"
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","<a href=""#Sales Browser/Territory"">За управљање територијом, кликните овде</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Именовање Опције</a>"
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>Откази</b> вам променити поднетих докумената их укидање и измену их.
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","<span class=""sys_manager"">За подешавање, идите на Подешавања&gt; Наминг Сериес</span>"
A Customer exists with same name,Кориснички постоји са истим именом
A Lead with this email id should exist,Олово са овом е ид треба да постоје
"A Product or a Service that is bought, sold or kept in stock.","Производ или услуга који се купују, продају или чувају на лагеру."
A Supplier exists with same name,Добављач постоји са истим именом
A condition for a Shipping Rule,Услов за отпрему правила
A logical Warehouse against which stock entries are made.,Логичан Магацин против којих се праве залихе ставке.
A new popup will open that will ask you to select further conditions.,Нови попуп ће отворити који ће вас питати да изаберете додатне услове.
A symbol for this currency. For e.g. $,Симбол за ову валуту. За пример $
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Трећа странка дистрибутер / дилер / заступник / аффилиате / продавац који продаје компаније производе за провизију.
A user can have multiple values for a property.,Корисник може да има више вредности за имовину.
A+,+
A-,-
AB+,АБ +
AB-,АБ-
AMC Expiry Date,АМЦ Датум истека
ATT,АТТ
Abbr,Аббр
About,Око
About Us Settings,О нама Подешавања
About Us Team Member,О нама члан тима
Above Value,Изнад Вредност
Absent,Одсутан
Acceptance Criteria,Критеријуми за пријем
Accepted,Примљен
Accepted Quantity,Прихваћено Количина
Accepted Warehouse,Прихваћено Магацин
Account,Рачун
Account Balance,Рачун Биланс
Account Details,Детаљи рачуна
Account Head,Рачун шеф
Account Id,Рачун Ид
Account Name,Име налога
Account Type,Тип налога
Account for this ,Рачун за ово
Accounting,Рачуноводство
Accounting Year.,Обрачунској години.
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Рачуноводствени унос замрзнуте до овог датума, нико не може / изменити унос осим улоге доле наведеном."
Accounting journal entries.,Рачуноводствене ставке дневника.
Accounts,Рачуни
Accounts Frozen Upto,Рачуни Фрозен Упто
Accounts Payable,Обавезе према добављачима
Accounts Receivable,Потраживања
Accounts Settings,Рачуни Подешавања
Action,Акција
Active,Активан
Active: Will extract emails from ,Активно: издвојити из пошту
Activity,Активност
Activity Log,Активност Пријава
Activity Type,Активност Тип
Actual,Стваран
Actual Budget,Стварна буџета
Actual Completion Date,Стварни датум завршетка
Actual Date,Стварни датум
Actual End Date,Сунце Датум завршетка
Actual Invoice Date,Стварни рачун Датум
Actual Posting Date,Стварна Постања Датум
Actual Qty,Стварна Кол
Actual Qty (at source/target),Стварни Кол (на извору / циљне)
Actual Qty After Transaction,Стварна Кол Након трансакције
Actual Quantity,Стварна Количина
Actual Start Date,Сунце Датум почетка
Add,Додати
Add / Edit Taxes and Charges,Адд / Едит порези и таксе
Add A New Rule,Додај ново правило
Add A Property,Додај некретнину
Add Attachments,Додај Прилози
Add Bookmark,Адд Боокмарк
Add CSS,Додајте ЦСС
Add Column,Додај колону
Add Comment,Додај коментар
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Додајте Гоогле Аналитицс ИД: нпр. УА-89КСКСКС57-1. Молимо вас тражи помоћ за Гоогле Аналитицс за више информација.
Add Message,Додај поруку
Add New Permission Rule,Додај нови правило Дозвола
Add Reply,Адд Репли
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,Додајте Услови за материјал захтеву. Такође можете припремити Услови пословања мајстор и коришћење шаблона
