Pension Funds,Pensionifondid
Rounding Adjustment (Company Currency,Ümardamise korrigeerimine (ettevõtte valuuta
Course is mandatory in row {0},Kursus on kohustuslik reas {0}
Credit Account,Krediidi konto
Submission Date,Esitamise kuupäev
Change Template Code,Muuda malli koodi
Total Sanctioned Amount,Sanktsioonide summa kokku
New Expenses,Uued kulud
Healthcare Practitioner not available on {0},Tervishoiutöötaja ei ole saadaval {0}
Transport Receipt No,Transpordikviitung nr
Administrative Officer,Haldusspetsialist
Probability (%),Tõenäosus (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce tooted
Account Pay Only,Konto ainult
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Määra vaikeväärtused nagu ettevõte, valuuta, jooksev eelarveaasta jne"
Time Tracking,Aja jälgimine
Under Graduate,Lõpetanud
Supplier Part No,Tarnija osa nr
Party Balance,Partei tasakaal
Source of Funds (Liabilities),Fondide allikas (kohustused)
Taxable Salary Slabs,Maksustatavad palga plaadid
Support Settings,Toetusseaded
Please enter Production Item first,Sisestage esmalt tootmisüksus
Grading Basis,Hindamise alus
Basic Amount,Põhisumma
Pay To / Recd From,Maksmine / tagasikutsumine
Scrap Material Cost,Vanametalli maksumus
Received Quantity,Saadud kogus
Sales Person-wise Transaction Summary,Müük Isikliku tehingu kokkuvõte
Actual Operating Cost,Tegelik tegevuskulud
Mode of Payments,Makseviis
Send to Subcontractor,Saada alltöövõtjale
Select Shipping Address,Valige postiaadress
AB-,AB-
Project Summary for {0},{0} projekti kokkuvõte
"{0} is mandatory for generating remittance payments, set the field and try again","{0} on kohustuslik rahaülekannete tegemiseks, määrake väli ja proovige uuesti"
Some emails are invalid,Mõned e-kirjad on kehtetud
Calculate Depreciation,Arvuta amortisatsioon
Term Name,Terminimi
Question,Küsimus
Exemption Sub Category,Vabastuse alamkategooria
More Details,Rohkem detaile
Earning,Teenimine
Click Enter To Add,Klõpsake nuppu Enter To Add
Employee Group,Töötajate rühm
Specify Exchange Rate to convert one currency into another,"Määrake vahetuskurss, et konverteerida üks valuuta teiseks"
Ageing Range 4,Vananemise vahemik 4
Warehouse required for stock Item {0},Laoseisu {0} jaoks vajalik ladu
Could not solve criteria score function for {0}. Make sure the formula is valid.,"{0} kriteeriumide skoorifunktsiooni ei õnnestunud lahendada. Veenduge, et valem on kehtiv."
Include Reconciled Entries,Kaasa ühildatud kirjed
Allow Zero Valuation Rate,Lubage nullväärtuse määr
Nothing more to show.,Miski pole veel nähtav.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Maksukategooria on muudetud &quot;Kokku&quot;, sest kõik elemendid on mittekogumatud"
Tax on flexible benefit,Paindliku kasu maks
This is based on the Time Sheets created against this project,See põhineb selle projekti kohta koostatud ajakavadel
Buying Rate,Ostumäär
Type of Sample,Proovi tüüp
Budget Accounts,Eelarve kontod
Serial No {0} quantity {1} cannot be a fraction,Seerianumber {0} kogus {1} ei saa olla murdosa
Stock In Hand,Laos käes
Wages,Palgad
No leave record found for employee {0} for {1},Töötajal {0} {1} ei leitud ühtegi puhkeprotokolli
Accounts Receivable Unpaid Account,Tasumata kontod
SGST Account,SGST konto
Half Day Date should be in between Work From Date and Work End Date,Poolpäevane kuupäev peaks olema töö ja kuupäeva vahel
Applicable in the case of Employee Onboarding,Kohaldatakse töötajate pardaloleku korral
Specified BOM {0} does not exist for Item {1},Määratud BOM {0} ei ole kirje {1} jaoks
Company (not Customer or Supplier) master.,Ettevõtte (mitte kliendi või tarnija) kapten.
Sales Invoice Series,Müügiarve seeria
Asset Movement record {0} created,Loodud vara liikumise kirje {0}
Test Created,Test on loodud
Term Start Date,Tähtaja alguskuupäev
Appointment {0} and Sales Invoice {1} cancelled,Kohtumine {0} ja müügiarve {1} tühistati
Vehicle Number,Sõiduki number
Your email address...,Sinu emaili aadress...
Include Default Book Entries,Lisage vaikimisi kirjed
Activity Type,Aktiivsuse tüüp
Get Advances Paid,Saada ettemaksed
Gain/Loss Account on Asset Disposal,Kasumi / kahjumi konto vara käsutuses
Voucher No,Kupongi nr
Reorder level based on Warehouse,Ümberkorraldamine ladude alusel
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Peatatud töökorraldust ei saa tühistada, katkestage see kõigepealt"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Punkti {1} jaoks nõutavad seerianumbrid. Olete andnud {2}.
Customer Primary Contact,Kliendi esmane kontakt
BOM Detail No,BOM Detail Nr
Cash In Hand,Sularaha
The holiday on {0} is not between From Date and To Date,{0} puhkus ei ole kuupäeva ja kuupäeva vahel
Lead must be set if Opportunity is made from Lead,"Plii tuleb seadistada, kui Võimalus on valmistatud pliist"
Account with existing transaction can not be converted to group.,Olemasoleva tehinguga kontot ei saa muuta grupiks.
Timesheet {0} is already completed or cancelled,Töögraafik {0} on juba lõpetatud või tühistatud
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Standardtingimused, mida saab lisada müügile ja ostudele. Näited: 1. Pakkumise kehtivus. 1. Maksetingimused (eelnevalt, krediitkaardil, osaline ettemakse jne). 1. Mis on ekstra (või maksab klient). 1. Ohutus / hoiatus. 1. Garantii, kui see on olemas. 1. Tagastab poliitika. 1. Kohaletoimetamise tingimused. 1. Vaidluste, hüvitiste, vastutuse jne lahendamise viisid. 1. Teie ettevõtte aadress ja kontakt."
Leave Status Notification,Jäta olekuteade välja
Designation Skill,Nimetus Oskus
Quantity required for Item {0} in row {1},Kogus {0} vajalik kogus {1}
"To filter based on Party, select Party Type first",Pidu alusel filtreerimiseks valige esmalt Party Type
No Salary Structure assigned for Employee {0} on given date {1},Töötajale {0} määratud kuupäeval ei ole määratud töötasu antud kuupäeval {1}
Number,Number
Separate course based Group for every Batch,Eraldi kursusel põhinev rühm iga partii jaoks
Require Lab Test Approval,Nõuda laboratoorse testimise kinnitamist
Update Clearance Date,Uuenda kliiringkuupäeva
Import Chart of Accounts from a csv file,Importige kontode kaart csv-failist
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Avaliku rakenduse tugi on aegunud. Palun häälestage privaatset rakendust, et saada lisateavet kasutusjuhendist"
Signed,Allkirjastatud
Terms and Conditions1,Tingimused1
Please select Employee Record first.,Valige kõigepealt Töötajate kirje.
Password policy for Salary Slips is not set,Palga skeemide paroolipoliitikat ei ole määratud
Result HTML,Tulemuse HTML
Ignore holidays,Ignoreeri pühad
Linked Soil Texture,Seotud mulla tekstuur
This is based on logs against this Vehicle. See timeline below for details,See põhineb logidel selle sõiduki vastu. Täpsemat teavet vt allpool toodud ajastusest
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Hädaabi kontaktinfo
Authorization URL,Autoriseerimise URL
On Leave,Lahkumisel
Show a slideshow at the top of the page,Näita slaidiesitust lehe ülaosas
Payer Settings,Maksja seaded
Set Tax Rule for shopping cart,Määra ostukorvi maksueeskiri
In Production,Tootmises
Payment References,Makse viited
Valid Till,Kehtiv kuni
{0}: From {0} of type {1},{0}: {0} tüübist {1}
Project Name,Projekti nimi
Stock Qty,Lao kogus
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Lapse üksus ei tohiks olla tootepakett. Palun eemaldage kirje &quot;{0}&quot; ja salvestage
Response Result Key Path,Vastuse tulemuse võtme tee
Fully Sponsored,Täielikult sponsoreeritud
Not permitted. Please disable the Service Unit Type,Ei ole lubatud. Palun blokeerige hooldusüksuse tüüp
Offline POS Settings,Offline POS seaded
Calculations,Arvutused
Material Requested,Vajalik materjal
Reference Row,Viite rida
Annual Allocation,Iga-aastane eraldamine
Subcontract,Allhankeleping
Valuation type charges can not marked as Inclusive,Hindamisliigi tasusid ei saa tähistada lisaväärtusega
Account {0}: Parent account {1} does not belong to company: {2},Konto {0}: ema konto {1} ei kuulu ettevõttesse: {2}
Failed to login,Sisselogimine ebaõnnestus
Items and Pricing,Üksused ja hinnakujundus
Payment Terms Template,Maksetingimuste mall
Previous Work Experience,Eelmine töökogemus
Program,Programmi
Healthcare,Tervishoid
Complaint,Kaebus
Restrict to Countries,Piirake ainult riikidega
Item Manager,Üksuse haldur
Currency of the Closing Account must be {0},Lõpetamiskonto valuuta peab olema {0}
Opening Invoice Item,Arve kirje avamine
Plan material for sub-assemblies,Plaanige alakoostude materjal
Hardware,Riistvara
Action if Annual Budget Exceeded on MR,"Tegevus, kui aastaeelarve ületab MR-i"
Advance Amount,Ettemakse summa
Against Sales Invoice Item,Müügiarve kirje vastu
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Kaasa toote tootmine
Check in (group),Registreerimine (grupp)
Do not show any symbol like $ etc next to currencies.,Ära näita valuutade kõrval ühtegi sümbolit nagu $ jne.
Salary Component Type,Palga komponentide tüüp
The shareholder does not belong to this company,Aktsionär ei kuulu sellele ettevõttele
Day(s) after the end of the invoice month,Päev (ad) pärast arve kuu lõppu
Vehicle Type,Sõiduki tüüp
Healthcare Administrator,Tervishoiuteenuste administraator
Single Transaction Threshold,Ühekordne tehingukünnis
Broadcasting,Ringhääling
Post Title Key,Postituse pealkirja võti
Customer Primary Address,Kliendi esmane aadress
Please select batches for batched item ,Palun valige partiide jaoks partiid
Min Qty,Min. Kogus
Payment Deductions or Loss,Makse mahaarvamine või kahjum
On Item Quantity,Punkti kogus
Replace BOM and update latest price in all BOMs,Asendage BOM ja värskendage uusim hind kõigis BOMides
Both Trial Period Start Date and Trial Period End Date must be set,Nii prooviperioodi alguskuupäev kui ka prooviperioodi lõppkuupäev peavad olema määratud
No time sheets,Ajakirju pole
Statement Header Mapping,Aruande päise kaardistamine
Mark Half Day,Märkige poolpäev
Material Transfer for Manufacture,Materjali ülekanne valmistamiseks
Block Supplier,Blokeeri tarnija
Please enter Woocommerce Server URL,Sisestage Woocommerce Serveri URL
From Place,Asukohast
No contacts with email IDs found.,Ei leitud ühtegi kontakti e-posti ID-ga.
Consumption Invoiced,Tarbimise arved
Requested Quantity,Taotletud kogus
Exit,Välju
Dispatch Information,Teabe saatmine
Basic Amount (Company Currency),Põhisumma (ettevõtte valuuta)
Selling Settings,Müügi seaded
A question must have more than one options,Küsimusel peab olema mitu valikut
Please set the Date Of Joining for employee {0},Palun määrake töötaja liitumise kuupäev {0}
About your company,Teie ettevõtte kohta
Fiscal Year {0} does not exist,Eelarveaasta {0} ei ole olemas
Leave Application,Jäta rakendus välja
Maintenance Log,Hoolduslogi
Invalid Posting Time,Kehtetu postitusaeg
Discount,Soodus
Redeem Loyalty Points,Lojaalsuspunktide lunastamine
Quotation Series,Tsitaatide seeria
Occupation,Amet
Opening Stock,Avanev varu
Supplier Score,Tarnija skoor
Only show Items from these Item Groups,Näita ainult nende üksuste rühmade elemente
Time In Mins,Aeg min
Item {0} does not exist in the system or has expired,Üksus {0} ei ole süsteemis olemas või on aegunud
Price Discount Scheme,Hinnaalanduskava
Hyper,Hyper
What does it do?,Mida see teeb?
Sales Invoice Trends,Müügiarve trendid
Payment Entries,Makse kirjed
Class / Percentage,Klass / protsent
Electronic Invoice Register,Elektroonilise arve register
Is Return (Credit Note),Kas tagastamine (krediidi märkus)
Lab Test Sample,Lab-testi proov
status html,olek html
"For e.g. 2012, 2012-13","Näiteks 2012, 2012-13"
disabled user,puudega kasutaja
ES,ES
Warehouse Type,Lao tüüp
Quick Journal Entry,Kiire ajakiri
Consumed Amount,Tarbitud kogus
Already completed,Juba lõpetatud
Pending Amount,Ootel olev summa
Warn RFQs,Hoiatage RFQsid
Lab Prescription,Lab retsept
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Amortisatsioonirida {0}: Järgmine amortisatsioonipäev ei saa olla enne kasutuses olevat kuupäeva
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}","Varasid {0} ei saa lammutada, sest see on juba {1}"
Departure Time,Väljumisaeg
Donor Type,Doonori tüüp
Monthly Sales Target,Igakuine müügieesmärk
Redemption Date,Lunastamiskuupäev
Approving User cannot be same as user the rule is Applicable To,"Nõustaja ei saa olla sama, mis kasutaja, reegel on rakendatav"
Fee Schedule Student Group,Tasu ajakava Student Group
 From Date can not be greater than To Date,Alates Kuupäev ei tohi olla suurem kui Kuupäev
Please specify a {0},Palun täpsustage {0}
To GSTIN,GSTINile
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Tähtaja lõppkuupäev ei tohi olla varem kui tähtaeg. Palun parandage kuupäevad ja proovige uuesti.
No Employee Found,Töötajaid ei leitud
Exemption Category,Erandi kategooria
Create Disbursement Entry,Loo väljamakse kanne
Purpose must be one of {0},Eesmärk peab olema üks {0}
Last Activity ,Viimane tegevus
A link to all the Locations in which the Crop is growing,"Viide kõikidele asukohtadele, kus põllukultuur kasvab"
Course Enrollment {0} does not exists,Kursuse registreerimine {0} ei eksisteeri
Maximum leave allowed in the leave type {0} is {1},Puhkusetüübi {0} lubatud maksimaalne puhkus on {1}
Qty to Transfer,Kogus ülekandmiseks
Please identify/create Account (Group) for type - {0},Palun identifitseeri / loo konto tüüp (rühm) - {0}
Please set default customer group and territory in Selling Settings,Määrake kliendigrupi ja territooriumi vaikeseaded müügi seadetes
There isn't any item variant for the selected item,Valitud elemendi üksuste varianti pole
Contract Details,Lepingu üksikasjad
"Select, to make the customer searchable with these fields","Valige, et klient nende väljadega otsida"
Total Actual,Tegelik kokku
Change Code,Muuda koodi
Planting Area,Istutusala
Employee Grade (optional),Töötajate hinne (valikuline)
Cost Center For Item with Item Code ',Üksuse koodiga kulu keskus
Default Stock UOM,Vaikimisi varude UOM
Rent Cost,Rendikulud
Training Result,Koolituse tulemus
Work Order not created,Töökorraldust ei loodud
Meter,Arvesti
Hero Image,Kangelane pilt
No Items to pack,Ei pakendamiseks üksusi
Delivery warehouse required for stock item {0},Laovarude {0} jaoks on vajalik tarne laos
Reserved Warehouse is mandatory for Item {0} in Raw Materials supplied,Reserveeritud ladu on kohustuslik tootele {0}
Target Location is required for the asset {0},Sihtkoha asukoht on vajalik {0} vara jaoks
SGST Amount,SGST summa
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Konto saldo juba krediitkaardiga, teil ei ole lubatud seada „Balance Must Be” „deebetiks”"
GSTR 3B Report,GSTR 3B aruanne
Rate & Amount,Hind ja summa
Debit To is required,Debiteerimine on vajalik
Item Name,Asja nimi
Cost of New Purchase,Uue ostu maksumus
Additional information regarding the customer.,Lisateave kliendi kohta.
Wrong,Vale
Batch Inventory,Partii inventuur
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Töötajale saadetav palgatõend on kaitstud parooliga, parool luuakse paroolipoliitika alusel."
Received Amount,Saadud summa
Is Sales Item,Kas müügipunkt
Generate Text File,Tekstiteksti loomine
Variants,Variandid
