DocType: Accounting Period,Period Name,期间名称
DocType: Employee,Salary Mode,工资发放方式
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,寄存器
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,部分收到
DocType: Patient,Divorced,离异
DocType: Support Settings,Post Route Key,邮政路线密钥
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,允许一个交易中存在相同物料
DocType: Content Question,Content Question,内容问题
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,取消此保修要求之前请先取消物料访问{0}
DocType: Customer Feedback Table,Qualitative Feedback,定性反馈
apps/erpnext/erpnext/config/education.py,Assessment Reports,评估报表
DocType: Invoice Discounting,Accounts Receivable Discounted Account,应收帐款折扣帐户
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,取消
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,消费类产品
DocType: Supplier Scorecard,Notify Supplier,通知供应商
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,请先选择往来单位
DocType: Item,Customer Items,客户物料
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,负债
DocType: Project,Costing and Billing,成本核算和计费
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},预付科目货币应与公司货币{0}相同
DocType: QuickBooks Migrator,Token Endpoint,令牌端点
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,科目{0}的上级科目{1}不能是分类账
DocType: Item,Publish Item to hub.erpnext.com,发布项目到hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,找不到有效的休假期间
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,评估
DocType: Item,Default Unit of Measure,默认计量单位
DocType: SMS Center,All Sales Partner Contact,所有的销售合作伙伴联系人
DocType: Department,Leave Approvers,休假审批人
DocType: Employee,Bio / Cover Letter,履历/求职信
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,搜索项目......
DocType: Patient Encounter,Investigations,调查
DocType: Restaurant Order Entry,Click Enter To Add,点击输入以添加
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL",缺少密码，API密钥或Shopify网址的值
DocType: Employee,Rented,租
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,所有科目
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,状态为已离职的员工不能进行调动
DocType: Vehicle Service,Mileage,里程
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,难道你真的想放弃这项资产？
DocType: Drug Prescription,Update Schedule,更新时间排程
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,选择默认供应商
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,显示员工
DocType: Payroll Period,Standard Tax Exemption Amount,标准免税额
DocType: Exchange Rate Revaluation Account,New Exchange Rate,新汇率
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},价格清单{0}需要设定货币
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,*将被计算在该交易内。
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,客户联系
DocType: Shift Type,Enable Auto Attendance,启用自动出勤
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,请输入仓库和日期
DocType: Lost Reason Detail,Opportunity Lost Reason,机会失去理智
DocType: Patient Appointment,Check availability,检查可用性
DocType: Retention Bonus,Bonus Payment Date,奖金支付日期
DocType: Employee,Job Applicant,求职者
DocType: Job Card,Total Time in Mins,分钟总时间
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,本统计基于该供应商的过往交易。详情请参阅表单下方的时间线记录
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,工作订单的超订单生产量的百分比
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,法律
DocType: Sales Invoice,Transport Receipt Date,运输收货日期
DocType: Shopify Settings,Sales Order Series,销售订单系列
DocType: Vital Signs,Tongue,舌
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},实际类型税不能被包含在连续的物料等级中{0}
DocType: Allowed To Transact With,Allowed To Transact With,允许与。。。交易
DocType: Bank Guarantee,Customer,客户
DocType: Purchase Receipt Item,Required By,必选
DocType: Delivery Note,Return Against Delivery Note,基于销售出货单退货
DocType: Asset Category,Finance Book Detail,账簿信息
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,所有折旧已被预订
DocType: Purchase Order,% Billed,% 已记账
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,工资号码
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),汇率必须一致{0} {1}（{2}）
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA豁免
DocType: Sales Invoice,Customer Name,客户名称
DocType: Vehicle,Natural Gas,天然气
DocType: Project,Message will sent to users to get their status on the project,将向用户发送消息以获取其在项目上的状态
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},银行账户不能命名为{0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA根据薪资结构
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,标题（或者组），以此会计分录建立和余额保存的
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),未付{0}不能小于零（ {1} ）
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,服务停止日期不能早于服务开始日期
DocType: Manufacturing Settings,Default 10 mins,默认为10分钟
DocType: Leave Type,Leave Type Name,休假类型名称
apps/erpnext/erpnext/templates/pages/projects.js,Show open,公开显示
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,系列已成功更新
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,退出
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{1}行中的{0}
DocType: Asset Finance Book,Depreciation Start Date,折旧开始日期
DocType: Pricing Rule,Apply On,应用于
DocType: Item Price,Multiple Item prices.,多个物料的价格。
,Purchase Order Items To Be Received,待收货采购订单项
DocType: SMS Center,All Supplier Contact,所有供应商联系人
DocType: Support Settings,Support Settings,支持设置
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},子公司{1}中添加了帐户{0}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,无效证件
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC可用（无论是全部操作部分）
DocType: Amazon MWS Settings,Amazon MWS Settings,亚马逊MWS设置
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,处理优惠券
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,行＃{0}：速率必须与{1}：{2}（{3} / {4}）
,Batch Item Expiry Status,物料批号到期状态
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,银行汇票
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,总迟到条目
DocType: Mode of Payment Account,Mode of Payment Account,付款方式默认科目
apps/erpnext/erpnext/config/healthcare.py,Consultation,会诊
DocType: Accounts Settings,Show Payment Schedule in Print,在打印中显示付款工时单
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,项目变体已更新
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,销售和退货
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,显示变体
DocType: Academic Term,Academic Term,学期
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,员工免税子类别
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',请在公司&#39;％s&#39;上设置地址
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,材料
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",员工{0}的福利已超过{1}，按有效天数折算的可用福利扣减已申报金额的总和{2}
DocType: Opening Invoice Creation Tool Item,Quantity,数量
,Customers Without Any Sales Transactions,没有任何销售交易的客户
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,账表不能为空。
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,使用Google Maps Direction API计算预计到达时间
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),借款（负债）
DocType: Patient Encounter,Encounter Time,遇到时间
DocType: Staffing Plan Detail,Total Estimated Cost,预计总成本
DocType: Employee Education,Year of Passing,年份
DocType: Routing,Routing Name,路由名称
DocType: Item,Country of Origin,原产地
DocType: Soil Texture,Soil Texture Criteria,土壤质地标准
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,库存
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,主要联系方式
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,待处理问题
DocType: Production Plan Item,Production Plan Item,生产计划项
DocType: Leave Ledger Entry,Leave Ledger Entry,留下Ledger Entry
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},用户{0}已经被分配给员工{1}
DocType: Lab Test Groups,Add new line,添加新行
apps/erpnext/erpnext/utilities/activation.py,Create Lead,创造领导力
DocType: Production Plan,Projected Qty Formula,预计数量公式
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,医疗保健
