DocType: Accounting Period,Period Name,Nom de période
DocType: Employee,Salary Mode,Mode de Rémunération
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Registre
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Partiellement reçu
DocType: Patient,Divorced,Divorcé
DocType: Support Settings,Post Route Key,Clé du lien du message
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Autoriser un article à être ajouté plusieurs fois dans une transaction
DocType: Content Question,Content Question,Question de contenu
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Annuler la Visite Matérielle {0} avant d'annuler cette Réclamation de Garantie
DocType: Customer Feedback Table,Qualitative Feedback,Commentaires qualitatifs
apps/erpnext/erpnext/config/education.py,Assessment Reports,Rapports d&#39;évaluation
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Compte escompté des comptes débiteurs
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Annulé
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Produits de Consommation
DocType: Supplier Scorecard,Notify Supplier,Notifier Fournisseur
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Veuillez d’abord sélectionner le Type de Tiers
DocType: Item,Customer Items,Articles du clients
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Passifs
DocType: Project,Costing and Billing,Coûts et Facturation
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},La devise du compte d'avance doit être la même que la devise de la société {0}
DocType: QuickBooks Migrator,Token Endpoint,Point de terminaison de jeton
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Compte {0}: Le Compte parent {1} ne peut pas être un grand livre
DocType: Item,Publish Item to hub.erpnext.com,Publier un Artice sur hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Impossible de trouver une période de congés active
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Évaluation
DocType: Item,Default Unit of Measure,Unité de Mesure par Défaut
DocType: SMS Center,All Sales Partner Contact,Tous les Contacts de Partenaires Commerciaux
DocType: Department,Leave Approvers,Approbateurs de Congés
DocType: Employee,Bio / Cover Letter,Bio / Lettre de motivation
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Rechercher des articles ...
DocType: Patient Encounter,Investigations,Enquêtes
DocType: Restaurant Order Entry,Click Enter To Add,Cliquez sur Entrée pour Ajouter
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Valeur manquante pour le mot de passe, la clé API ou l&#39;URL Shopify"
DocType: Employee,Rented,Loué
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Tous les comptes
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,"Impossible de transférer un employé avec le statut ""Parti"""
DocType: Vehicle Service,Mileage,Kilométrage
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Voulez-vous vraiment mettre cet actif au rebut ?
DocType: Drug Prescription,Update Schedule,Mettre à Jour le Calendrier
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Sélectionner le Fournisseur par Défaut
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Afficher l&#39;employé
DocType: Payroll Period,Standard Tax Exemption Amount,Montant de l&#39;exemption fiscale standard
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nouveau taux de change
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Devise est nécessaire pour la liste de prix {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Sera calculé lors de la transaction.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Contact Client
DocType: Shift Type,Enable Auto Attendance,Activer la présence automatique
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Veuillez entrer entrepôt et date
DocType: Lost Reason Detail,Opportunity Lost Reason,Raison perdue
DocType: Patient Appointment,Check availability,Voir les Disponibilités
DocType: Retention Bonus,Bonus Payment Date,Date de paiement du bonus
DocType: Employee,Job Applicant,Demandeur d'Emploi
DocType: Job Card,Total Time in Mins,Temps total en minutes
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Basé sur les transactions avec ce fournisseur. Voir la chronologie ci-dessous pour plus de détails
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Pourcentage de surproduction pour les ordres de travail
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Juridique
DocType: Sales Invoice,Transport Receipt Date,Date de réception du transport
DocType: Shopify Settings,Sales Order Series,Série des commandes client
DocType: Vital Signs,Tongue,Langue
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Le type de taxe réel ne peut pas être inclus dans le prix de l'Article à la ligne {0}
DocType: Allowed To Transact With,Allowed To Transact With,Autorisé à faire affaire avec
DocType: Bank Guarantee,Customer,Client
DocType: Purchase Receipt Item,Required By,Requis Par
DocType: Delivery Note,Return Against Delivery Note,Retour contre Bon de Livraison
DocType: Asset Category,Finance Book Detail,Détails du livre comptable
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Toutes les amortissements ont été comptabilisés
DocType: Purchase Order,% Billed,% Facturé
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Numéro de paie
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Taux de Change doit être le même que {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Exemption pour l'allocation logement (HRA)
DocType: Sales Invoice,Customer Name,Nom du Client
DocType: Vehicle,Natural Gas,Gaz Naturel
DocType: Project,Message will sent to users to get their status on the project,Un message sera envoyé aux utilisateurs pour connaître leur statut sur le projet.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Compte Bancaire ne peut pas être nommé {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,Allocation logement (HRA) basé sur la structure salariale
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Titres (ou groupes) sur lequel les entrées comptables sont faites et les soldes sont maintenus.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Solde pour {0} ne peut pas être inférieur à zéro ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,La date d&#39;arrêt du service ne peut pas être antérieure à la date de début du service
DocType: Manufacturing Settings,Default 10 mins,10 minutes Par Défaut
DocType: Leave Type,Leave Type Name,Nom du Type de Congé
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Afficher ouverte
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Mise à jour des Séries Réussie
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Règlement
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} dans la ligne {1}
DocType: Asset Finance Book,Depreciation Start Date,Date de début de l&#39;amortissement
DocType: Pricing Rule,Apply On,Appliquer Sur
DocType: Item Price,Multiple Item prices.,Plusieurs Prix d'Articles.
,Purchase Order Items To Be Received,Articles à Recevoir du Bon de Commande
DocType: SMS Center,All Supplier Contact,Tous les Contacts Fournisseurs
DocType: Support Settings,Support Settings,Paramètres du Support
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Le compte {0} est ajouté dans la société enfant {1}.
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,les informations d&#39;identification invalides
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),CIT Disponible (que ce soit en partie op)
DocType: Amazon MWS Settings,Amazon MWS Settings,Paramètres Amazon MWS
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Traitement des bons
