DocType: Accounting Period,Period Name,ชื่อช่วงเวลา
DocType: Employee,Salary Mode,โหมดเงินเดือน
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,สมัครสมาชิก
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,ได้รับบางส่วน
DocType: Patient,Divorced,หย่าร้าง
DocType: Support Settings,Post Route Key,รหัสเส้นทางการโพสต์
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,อนุญาตให้รายการที่จะเพิ่มหลายครั้งในการทำธุรกรรม
DocType: Content Question,Content Question,คำถามประจำบท
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,ยกเลิกวัสดุเยี่ยมชม {0} ก่อนที่จะยกเลิกการรับประกันเรียกร้องนี้
DocType: Customer Feedback Table,Qualitative Feedback,ข้อเสนอแนะเชิงคุณภาพ
apps/erpnext/erpnext/config/education.py,Assessment Reports,รายงานการประเมินผล
DocType: Invoice Discounting,Accounts Receivable Discounted Account,บัญชีลูกหนี้ลดราคา
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,ยกเลิก
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,สินค้าอุปโภคบริโภค
DocType: Supplier Scorecard,Notify Supplier,แจ้งผู้จัดจำหน่าย
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,กรุณาเลือกประเภทพรรคแรก
DocType: Item,Customer Items,รายการลูกค้า
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,หนี้สิน
DocType: Project,Costing and Billing,ต้นทุนและการเรียกเก็บเงิน
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},สกุลเงินของบัญชี Advance ควรเหมือนกับสกุลเงินของ บริษัท {0}
DocType: QuickBooks Migrator,Token Endpoint,Token Endpoint
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,บัญชี {0}: บัญชีผู้ปกครอง {1} ไม่สามารถแยกประเภท
DocType: Item,Publish Item to hub.erpnext.com,เผยแพร่รายการที่จะ hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,ไม่สามารถหาช่วงเวลาที่ใช้งานได้
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,การประเมินผล
DocType: Item,Default Unit of Measure,หน่วยเริ่มต้นของวัด
DocType: SMS Center,All Sales Partner Contact,ทั้งหมดติดต่อพันธมิตรการขาย
