DocType: Accounting Period,Period Name,Име периода
DocType: Employee,Salary Mode,Плата режим
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Регистровати
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Делимично примљено
DocType: Patient,Divorced,Разведен
DocType: Support Settings,Post Route Key,Пост Роуте Кеи
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Дозволите тачка треба додати више пута у трансакцији
DocType: Content Question,Content Question,Садржајно питање
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Одбацити Материјал Посетите {0} пре отказивања ове гаранцији
DocType: Customer Feedback Table,Qualitative Feedback,Квалитативне повратне информације
apps/erpnext/erpnext/config/education.py,Assessment Reports,Извештаји о процени
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Рачун с дисконтованим потраживањима
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Отказано
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Производи широке потрошње
DocType: Supplier Scorecard,Notify Supplier,Обавестите добављача
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Молимо Вас да одаберете Парти Типе први
DocType: Item,Customer Items,Предмети Цустомер
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,"Пасива, дугови"
DocType: Project,Costing and Billing,Коштају и обрачуна
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Адванце валута валуте треба да буде иста као валута компаније {0}
DocType: QuickBooks Migrator,Token Endpoint,Крајња тачка жетона
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Рачун {0}: {1 Родитељ рачун} не може бити књига
DocType: Item,Publish Item to hub.erpnext.com,Објављивање ставку да хуб.ерпнект.цом
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Не могу пронаћи активни период отпуста
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,процена
DocType: Item,Default Unit of Measure,Уобичајено Јединица мере
DocType: SMS Center,All Sales Partner Contact,Све продаје партнер Контакт
DocType: Department,Leave Approvers,Оставите Аппроверс
DocType: Employee,Bio / Cover Letter,Био / Цовер Леттер
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Ставке претраге ...
DocType: Patient Encounter,Investigations,Истраге
DocType: Restaurant Order Entry,Click Enter To Add,Кликните Ентер за додавање
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Недостајућа вриједност за лозинку, АПИ кључ или Схопифи УРЛ"
DocType: Employee,Rented,Изнајмљени
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Сви рачуни
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Не можете пренети запослене са статусом Лево
DocType: Vehicle Service,Mileage,километража
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Да ли заиста желите да укине ову имовину?
DocType: Drug Prescription,Update Schedule,Упдате Сцхедуле
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Изаберите Примарни добављач
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Схов Емплоиее
DocType: Payroll Period,Standard Tax Exemption Amount,Стандардни износ ослобођења од пореза
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Нова девизна стопа
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Валута је потребан за ценовнику {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Биће обрачунато у овој трансакцији.
DocType: Delivery Trip,MAT-DT-.YYYY.-,МАТ-ДТ-ИИИИ.-
DocType: Purchase Order,Customer Contact,Кориснички Контакт
DocType: Shift Type,Enable Auto Attendance,Омогући аутоматско присуство
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Унесите складиште и датум
DocType: Lost Reason Detail,Opportunity Lost Reason,Прилика изгубљен разлог
DocType: Patient Appointment,Check availability,Провери доступност
DocType: Retention Bonus,Bonus Payment Date,Датум исплате бонуса
DocType: Employee,Job Applicant,Посао захтева
DocType: Job Card,Total Time in Mins,Укупно време у минима
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Ово је засновано на трансакције против тог добављача. Погледајте рок доле за детаље
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Процент прекомерне производње за радни налог
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,МАТ-ЛЦВ-ИИИИ.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,правни
DocType: Sales Invoice,Transport Receipt Date,Датум пријема превоза
DocType: Shopify Settings,Sales Order Series,Наруџбе серије продаје
DocType: Vital Signs,Tongue,Језик
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Актуелне тип порез не може бити укључен у стопу тачка у низу {0}
DocType: Allowed To Transact With,Allowed To Transact With,Дозвољено за трансакцију
DocType: Bank Guarantee,Customer,Купац
DocType: Purchase Receipt Item,Required By,Обавезно Би
DocType: Delivery Note,Return Against Delivery Note,Повратак против отпремница
DocType: Asset Category,Finance Book Detail,Књига финансија
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Све амортизације су књижене
DocType: Purchase Order,% Billed,Фактурисано %
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Платни број
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Курс курс мора да буде исти као {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,ХРА изузеће
DocType: Sales Invoice,Customer Name,Име клијента
DocType: Vehicle,Natural Gas,Природни гас
DocType: Project,Message will sent to users to get their status on the project,Корисницима ће бити послата порука да добију статус на пројекту
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Жиро рачун не може бити именован као {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,ХРА по плати структури
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Хеадс (или групе) против које рачуноводствене уноси се праве и биланси се одржавају.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Выдающийся для {0} не может быть меньше нуля ( {1} )
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Датум заустављања услуге не може бити пре почетка услуге
DocType: Manufacturing Settings,Default 10 mins,Уобичајено 10 минс
DocType: Leave Type,Leave Type Name,Оставите Име Вид
apps/erpnext/erpnext/templates/pages/projects.js,Show open,схов отворен
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Серия Обновлено Успешно
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Провери
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} у реду {1}
DocType: Asset Finance Book,Depreciation Start Date,Датум почетка амортизације
DocType: Pricing Rule,Apply On,Нанесите на
DocType: Item Price,Multiple Item prices.,Више цене аукцији .
,Purchase Order Items To Be Received,Налог за куповину ставке које се примају
DocType: SMS Center,All Supplier Contact,Све Снабдевач Контакт
DocType: Support Settings,Support Settings,Подршка подешавања
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Рачун {0} се додаје у дечијем предузећу {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Неважећи акредитив
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),Доступан ИТЦ (било у целокупном делу)
DocType: Amazon MWS Settings,Amazon MWS Settings,Амазон МВС подешавања
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Обрада ваучера
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Ред # {0}: курс мора да буде исти као {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Батцх артикла истека статус
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Банка Нацрт
