Pension Funds,Fons de pensions
Rounding Adjustment (Company Currency,Ajust d’arrodoniment (moneda d’empresa)
Course is mandatory in row {0},El curs és obligatori a la fila {0}
Credit Account,Compte de crèdit
Submission Date,Data de presentació
Change Template Code,Canvia el codi de plantilla
Total Sanctioned Amount,Import total sancionat
New Expenses,Noves despeses
Healthcare Practitioner not available on {0},El professional de la salut no està disponible a {0}
Transport Receipt No,Rebut de transport no
Administrative Officer,treballador administratiu
Probability (%),Probabilitat (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,Productes de WooCommerce
Account Pay Only,Només paga el compte
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Estableix valors predeterminats com a empresa, moneda, any fiscal actual, etc."
Time Tracking,Seguiment del temps
Under Graduate,Under Graduate
Supplier Part No,Núm. Del proveïdor
Party Balance,Balanç de festes
Source of Funds (Liabilities),Font dels fons (passius)
Taxable Salary Slabs,Taules de retribució imposables
Support Settings,Configuració de suport
Please enter Production Item first,Introduïu primer l’element de producció
Grading Basis,Base de qualificacions
Basic Amount,Import bàsic
Pay To / Recd From,Paga a / Recd des de
Scrap Material Cost,Cost del material de ferralla
Received Quantity,Quantitat rebuda
Sales Person-wise Transaction Summary,Resum de transaccions per persona amb vendes
Actual Operating Cost,Cost operatiu real
Mode of Payments,Mode de pagament
Send to Subcontractor,Envia al subcontractista
Select Shipping Address,Seleccioneu l’adreça d’enviament
AB-,AB-
Project Summary for {0},Resum del projecte per a {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} és obligatori per generar pagaments de remeses, establiu el camp i torneu-ho a provar"
Some emails are invalid,Alguns correus electrònics no són vàlids
Calculate Depreciation,Calcula l&#39;amortització
Term Name,Nom del terme
Question,Pregunta
Exemption Sub Category,Sub-categoria d&#39;exempció
More Details,Més detalls
Earning,Guanyar
Click Enter To Add,Feu clic a Inicia per afegir
Employee Group,Grup d’empleats
Specify Exchange Rate to convert one currency into another,Especifiqueu el tipus de canvi per convertir una moneda en una altra
Ageing Range 4,Gamma de envelliment 4
Warehouse required for stock Item {0},Cal un magatzem per a l’article de stock {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,No s’ha pogut resoldre la funció de puntuació dels criteris per a {0}. Assegureu-vos que la fórmula és vàlida.
Include Reconciled Entries,Inclou entrades conciliades
Allow Zero Valuation Rate,Permet la taxa de valoració zero
Nothing more to show.,Res més que mostrar.
