b'DocType: Production Plan Item',b'Ordered Qty',b'Quantit\xc3\xa9 command\xc3\xa9e'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +111',b'{0} {1}: Cost Center {2} does not belong to Company {3}',b'{0} {1}: Le Centre de Co\xc3\xbbts {2} ne fait pas partie de la Soci\xc3\xa9t\xc3\xa9 {3}'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +61',b'{0} {1}: Either debit or credit amount is required for {2}',b'{0} {1}: Soit un montant au d\xc3\xa9bit ou cr\xc3\xa9dit est n\xc3\xa9cessaire pour {2}'
b'DocType: Purchase Invoice Item',b'Price List Rate (Company Currency)',b'Taux de la Liste de Prix (Devise de la Compagnie)'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +53',b'{0} {1}: Customer is required against Receivable account {2}',b'{0} {1}: Client est requis envers un compte \xc3\xa0 recevoir {2}'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +125',b'{0} {1}: Accounting Entry for {2} can only be made in currency: {3}',"b""{0} {1}: L'entr\xc3\xa9e comptable pour {2} ne peut \xc3\xaatre faite qu'en devise: {3}"""
b'DocType: Purchase Invoice Item',b'Price List Rate',b'Taux de la Liste de Prix'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +56',b'{0} {1}: Supplier is required against Payable account {2}',b'{0} {1}: Fournisseur est requis envers un compte \xc3\xa0 payer {2}'
b'DocType: Stock Settings',b'Auto insert Price List rate if missing',b'Insertion automatique du taux \xc3\xa0 la Liste de Prix si manquant'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +96',b'{0} {1}: Account {2} does not belong to Company {3}',b'{0} {1}: Le compte {2} ne fait pas partie de la Soci\xc3\xa9t\xc3\xa9 {3}'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +78',"b""{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry""","b""{0} {1}: Le compte {2} de type 'Profit et Perte' n'est pas admis dans une Entr\xc3\xa9e d'Ouverture"""
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +92',b'{0} {1}: Account {2} is inactive',b'{0} {1}: Le compte {2} est inactif'
b'DocType: Journal Entry',b'Difference (Dr - Cr)',b'Diff\xc3\xa9rence (Dt - Ct )'
b'apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +88',b'{0} {1}: Account {2} cannot be a Group',b'{0} {1}: Le compte {2} ne peut pas \xc3\xaatre un Groupe'
