Pension Funds,Pensiju fondi
Rounding Adjustment (Company Currency,Noapaļošanas korekcija (uzņēmuma valūta
Course is mandatory in row {0},Kursi ir obligāti {0} rindā
Credit Account,Kredīta konts
Submission Date,Iesniegšanas datums
Change Template Code,Mainīt veidnes kodu
Total Sanctioned Amount,Kopējā sankciju summa
New Expenses,Jauni izdevumi
Healthcare Practitioner not available on {0},Veselības aprūpes speciālists nav pieejams {0}
Transport Receipt No,Transporta kvīts Nr
Administrative Officer,Administratīvā amatpersona
Probability (%),Varbūtība (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce produkti
Account Pay Only,Konta apmaksa
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Iestatiet noklusējuma vērtības, piemēram, uzņēmumu, valūtu, kārtējo fiskālo gadu utt."
Time Tracking,Laika uzskaite
Under Graduate,Absolvents
Supplier Part No,Piegādātāja Nr
Party Balance,Partijas bilance
Source of Funds (Liabilities),Fonda avots (pasīvi)
Taxable Salary Slabs,Nodokļu algu plāksnes
Support Settings,Atbalsta iestatījumi
Please enter Production Item first,"Lūdzu, vispirms ievadiet ražošanas vienumu"
Grading Basis,Novērtēšanas bāze
Basic Amount,Pamata summa
Pay To / Recd From,Maksāt uz / atpakaļ no
Scrap Material Cost,Metāllūžņu izmaksas
Received Quantity,Saņemtais daudzums
Sales Person-wise Transaction Summary,Pārdošanas personīgo darījumu kopsavilkums
Actual Operating Cost,Faktiskās ekspluatācijas izmaksas
Mode of Payments,Maksājumu veids
Send to Subcontractor,Sūtīt apakšuzņēmējam
Select Shipping Address,Izvēlieties piegādes adresi
AB-,AB-
Project Summary for {0},Projekta kopsavilkums par {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} ir obligāts naudas pārvedumu veikšanai, iestatiet lauku un mēģiniet vēlreiz"
Some emails are invalid,Daži e-pasta ziņojumi nav derīgi
Calculate Depreciation,Aprēķiniet nolietojumu
Term Name,Termiņa nosaukums
Question,Jautājums
Exemption Sub Category,Atbrīvojuma apakškategorija
More Details,Skatīt vairāk
Earning,Nopelnīt
Click Enter To Add,Noklikšķiniet uz Enter To Add
Employee Group,Darbinieku grupa
Specify Exchange Rate to convert one currency into another,"Norādiet valūtas kursu, lai pārvērstu vienu valūtu citā"
Ageing Range 4,Novecošanas diapazons 4
Could not solve criteria score function for {0}. Make sure the formula is valid.,"{0} nevarēja atrisināt kritēriju rezultātu funkciju. Pārliecinieties, vai formula ir derīga."
Include Reconciled Entries,Iekļaujiet saskaņotus ierakstus
Allow Zero Valuation Rate,Atļaut nulles vērtēšanas likmi
Nothing more to show.,Nekas vairāk parādīt.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Nodokļu kategorija ir mainīta uz &quot;Kopā&quot;, jo visi vienumi ir krājumi, kas nav krājumi"
Tax on flexible benefit,Nodoklis par elastīgu pabalstu
This is based on the Time Sheets created against this project,"Tas ir balstīts uz laika lapām, kas izveidotas pret šo projektu"
Buying Rate,Pirkšanas likme
Type of Sample,Parauga veids
Budget Accounts,Budžeta konti
Serial No {0} quantity {1} cannot be a fraction,Sērijas Nr. {0} daudzums {1} nevar būt daļa
Stock In Hand,Krājumi rokā
Wages,Algas
No leave record found for employee {0} for {1},Nav {{}} darbiniekam {1} atrasts neviens ieraksts par {1}
Accounts Receivable Unpaid Account,Debitoru parādu nesamaksātais konts
SGST Account,SGST konts
Half Day Date should be in between Work From Date and Work End Date,Pusdienas datumam jābūt starp darba datumu un darba beigu datumu
Applicable in the case of Employee Onboarding,Piemērojams attiecībā uz darbiniekiem uz kuģa
Specified BOM {0} does not exist for Item {1},{1} vienumam {1} nav norādīts norādītais BOM
Company (not Customer or Supplier) master.,Uzņēmuma (nevis klienta vai piegādātāja) kapteinis.
Sales Invoice Series,Pārdošanas rēķinu sērija
Asset Movement record {0} created,Izveidots aktīva kustības ieraksts {0}
Test Created,Tests izveidots
Term Start Date,Termiņa sākuma datums
Appointment {0} and Sales Invoice {1} cancelled,Tikšanās {0} un pārdošanas rēķins {1} tika atcelts
Vehicle Number,Transportlīdzekļa numurs
Your email address...,Tava epasta adrese...
Include Default Book Entries,Iekļaut noklusētos grāmatu ierakstus
Activity Type,Darbības veids
Get Advances Paid,Saņemiet avansa maksājumus
Gain/Loss Account on Asset Disposal,Guvuma / zaudējumu konts aktīvu atsavināšanā
Voucher No,Kupona Nr
Reorder level based on Warehouse,"Pārkārtot līmeni, pamatojoties uz noliktavu"
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Apturēto darba uzdevumu nevar atcelt, vispirms atcelt to, lai atceltu"
{0} Serial Numbers required for Item {1}. You have provided {2}.,"{0} Sērijas numuri, kas nepieciešami vienumam {1}. Jūs esat sniedzis {2}."
Customer Primary Contact,Klienta primārais kontakts
BOM Detail No,BOM Detalizēta informācija Nr
Cash In Hand,Naudas kase
The holiday on {0} is not between From Date and To Date,Atvaļinājums {0} nav no datuma līdz datumam
Lead must be set if Opportunity is made from Lead,"Svins jāiestata, ja opcija Opportunity ir izgatavota no Svina"
Account with existing transaction can not be converted to group.,Kontu ar esošo darījumu nevar konvertēt uz grupu.
Timesheet {0} is already completed or cancelled,Laika kontrolsaraksts {0} jau ir pabeigts vai atcelts
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Standarta noteikumi un nosacījumi, kas var tikt pievienoti pārdošanai un pirkumiem. Piemēri: 1. Piedāvājuma derīgums. 1. Maksājuma noteikumi (iepriekš, kredītā, daļēja avansa maksājumi utt.). 1. Kas ir papildus (vai jāmaksā Klientam). 1. Drošības / lietošanas brīdinājums. 1. Garantija, ja tāda ir. 1. Atgriež politiku. 1. Piegādes noteikumi, ja tādi ir. 1. Strīdu, atlīdzības, atbildības utt. Risināšanas veidi. 1. Jūsu uzņēmuma adrese un kontaktinformācija."
Leave Status Notification,Atstājiet statusa paziņojumu
Designation Skill,Apzīmējums Prasme
Quantity required for Item {0} in row {1},{0} pozīcijā {1} rindā pieprasītais daudzums
"To filter based on Party, select Party Type first","Lai filtrētu, pamatojoties uz partiju, vispirms izvēlieties Party Type"
No Salary Structure assigned for Employee {0} on given date {1},Darbiniekam {0} noteiktā datumā nav piešķirta algas struktūra {1}
Number,Numurs
Separate course based Group for every Batch,Atsevišķa kursa grupa katrai partijai
Require Lab Test Approval,Nepieciešama laboratorijas testa apstiprināšana
Update Clearance Date,Atjaunināšanas datums
Import Chart of Accounts from a csv file,Importēt kontu diagrammu no csv faila
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Atbalsts publiskai lietotnei ir novecojis. Lūdzu, iestatiet privāto lietotni, lai iegūtu sīkāku informāciju, skatiet lietotāja rokasgrāmatu"
Signed,Parakstīts
Terms and Conditions1,Noteikumi un nosacījumi1
Please select Employee Record first.,"Lūdzu, vispirms atlasiet Darbinieku ieraksts."
Password policy for Salary Slips is not set,Nav noteikta atalgojuma saīsinājumu paroles politika
Result HTML,Rezultātu HTML
Ignore holidays,Ignorēt brīvdienas
Linked Soil Texture,Saistīta augsnes struktūra
This is based on logs against this Vehicle. See timeline below for details,Tas pamatojas uz žurnāliem pret šo transportlīdzekli. Sīkāku informāciju skatīt zemāk
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Ārkārtas kontakts
Authorization URL,Autorizācijas URL
On Leave,Atvaļinājumā
Show a slideshow at the top of the page,Rādīt slīdrādi lapas augšdaļā
Payer Settings,Maksātāja iestatījumi
Set Tax Rule for shopping cart,Iepirkumu grozam iestatiet nodokļu noteikumus
In Production,Ražošanā
Payment References,Maksājumu atsauces
Valid Till,Derīgs līdz
{0}: From {0} of type {1},{0}: no {0} {1} tipa
Project Name,Projekta nosaukums
Stock Qty,Krājuma daudzums
Child Item should not be a Product Bundle. Please remove item `{0}` and save,"Bērnu vienībai nevajadzētu būt Product Bundle. Lūdzu, noņemiet vienumu &quot;{0}&quot; un saglabājiet"
Response Result Key Path,Atbildes rezultātu galvenais ceļš
Fully Sponsored,Pilnībā sponsorēts
Not permitted. Please disable the Service Unit Type,"Nav atļauts. Lūdzu, atspējojiet servisa vienības veidu"
Offline POS Settings,Bezsaistes POS iestatījumi
Calculations,Aprēķini
Material Requested,Pieprasītais materiāls
Reference Row,Atsauces rinda
Annual Allocation,Ikgadējais piešķīrums
Subcontract,Apakšuzņēmuma līgums
Valuation type charges can not marked as Inclusive,Vērtēšanas veida maksas nevar atzīmēt kā iekļautas
Account {0}: Parent account {1} does not belong to company: {2},Konts {0}: vecāku konts {1} nepieder uzņēmumam: {2}
Failed to login,Neizdevās pieteikties
Items and Pricing,Preces un cenas
Payment Terms Template,Maksājumu noteikumu veidne
Previous Work Experience,Iepriekšējā darba pieredze
Program,Programma
Healthcare,Veselības aprūpe
Complaint,Sūdzība
Restrict to Countries,Ierobežot uz valstīm
Item Manager,Vienumu pārvaldnieks
Currency of the Closing Account must be {0},Noslēguma konta valūtai jābūt {0}
Opening Invoice Item,Rēķina vienības atvēršana
Plan material for sub-assemblies,Plānot materiālus apakškomplektiem
Hardware,Aparatūra
Action if Annual Budget Exceeded on MR,"Rīcība, ja gada budžets pārsniedz MR"
Advance Amount,Iepriekšēja summa
Against Sales Invoice Item,Pret pārdošanas rēķina posteni
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Iekļaut preci ražošanā
Check in (group),Reģistrējieties (grupa)
Do not show any symbol like $ etc next to currencies.,"Nerādīt nevienu simbolu, piemēram, $ etc, blakus valūtām."
Salary Component Type,Algas komponentu tips
The shareholder does not belong to this company,Akcionārs nepieder šim uzņēmumam
Day(s) after the end of the invoice month,Diena (-as) pēc rēķina mēneša beigām
Vehicle Type,Transportlīdzekļa tips
Healthcare Administrator,Veselības aprūpes administrators
Single Transaction Threshold,Viena darījumu slieksnis
Broadcasting,Apraide
Post Title Key,Post nosaukuma atslēga
Customer Primary Address,Klienta primārā adrese
Please select batches for batched item ,"Lūdzu, atlasiet sērijveida partijas"
Min Qty,Min. Kv
Payment Deductions or Loss,Maksājumu atskaitījumi vai zaudējumi
On Item Quantity,Preču daudzums
Replace BOM and update latest price in all BOMs,Nomainiet BOM un atjauniniet jaunāko cenu visās BOM
Both Trial Period Start Date and Trial Period End Date must be set,"Jāiestata gan izmēģinājuma perioda sākuma datums, gan izmēģinājuma perioda beigu datums"
No time sheets,Nav laika lapu
Statement Header Mapping,Paziņojuma galvenes kartēšana
Mark Half Day,Atzīmējiet pusi dienu
Material Transfer for Manufacture,Materiālu nodošana ražošanai
Block Supplier,Bloķēt piegādātāju
Please enter Woocommerce Server URL,"Lūdzu, ievadiet Woocommerce Server URL"
From Place,No vietas
No contacts with email IDs found.,Nav atrasts neviens kontakts ar e-pasta ID.
Consumption Invoiced,Patēriņš rēķinā
Requested Quantity,Pieprasītais daudzums
Exit,Izeja
Dispatch Information,Nosūtīšanas informācija
Basic Amount (Company Currency),Pamata summa (uzņēmuma valūta)
Selling Settings,Pārdošanas iestatījumi
A question must have more than one options,Jautājumam ir jābūt vairākām iespējām
Please set the Date Of Joining for employee {0},"Lūdzu, norādiet datumu, kad pievienojies darbiniekam {0}"
About your company,Par jūsu uzņēmumu
Fiscal Year {0} does not exist,Fiskālais gads {0} nepastāv
Leave Application,Atstājiet lietojumprogrammu
Maintenance Log,Apkopes žurnāls
Invalid Posting Time,Nederīgs publicēšanas laiks
Discount,Atlaide
Redeem Loyalty Points,Izmantot lojalitātes punktus
Quotation Series,Citātu sērija
Occupation,Nodarbošanās
Opening Stock,Atvēršanas krājums
Supplier Score,Piegādātāja rādītājs
Only show Items from these Item Groups,Rādīt tikai vienumus no šīm vienumu grupām
Time In Mins,Laiks min
Item {0} does not exist in the system or has expired,{0} vienums sistēmā nepastāv vai ir beidzies derīguma termiņš
Price Discount Scheme,Cenu atlaides shēma
Hyper,Hyper
What does it do?,Ko tas dara?
Sales Invoice Trends,Pārdošanas rēķinu tendences
Payment Entries,Maksājumu ieraksti
Class / Percentage,Klase / procentuālā daļa
Electronic Invoice Register,Elektronisko rēķinu reģistrs
Is Return (Credit Note),Vai atgriešanās (kredīta piezīme)
Lab Test Sample,Laboratorijas testa paraugs
status html,statuss html
"For e.g. 2012, 2012-13","Piemēram, 2012., 2012. – 2013"
disabled user,invalīds
ES,ES
Warehouse Type,Noliktavas veids
Quick Journal Entry,Ātrais žurnāla ieraksts
Consumed Amount,Patērētā summa
Already completed,Jau pabeigta
Pending Amount,Līdz gaidāmajai summai
Warn RFQs,Brīdināt RFQ
Lab Prescription,Lab Recepcija
