DocType: Accounting Period,Period Name,Nama Tempoh
DocType: Employee,Salary Mode,Mod Gaji
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Daftar
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Sebahagiannya Diterima
DocType: Patient,Divorced,Bercerai
DocType: Support Settings,Post Route Key,Kunci Laluan Pos
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Benarkan Perkara yang akan ditambah beberapa kali dalam urus niaga
DocType: Content Question,Content Question,Soalan Kandungan
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Batal Bahan Melawat {0} sebelum membatalkan Waranti Tuntutan
DocType: Customer Feedback Table,Qualitative Feedback,Maklum Balas Kualitatif
apps/erpnext/erpnext/config/education.py,Assessment Reports,Laporan Penilaian
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Akaun Diskaun Piutang Akaun
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Dibatalkan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Produk Pengguna
DocType: Supplier Scorecard,Notify Supplier,Maklumkan Pembekal
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Sila pilih Jenis Parti pertama
DocType: Item,Customer Items,Item Pelanggan
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Liabiliti
DocType: Project,Costing and Billing,Kos dan Billing
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Mata wang akaun terlebih dahulu harus sama dengan mata wang syarikat {0}
DocType: QuickBooks Migrator,Token Endpoint,Token Endpoint
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Akaun {0}: akaun Induk {1} tidak boleh merupakan satu lejar
