DocType: Accounting Period,Period Name,Jina la Kipindi
DocType: Employee,Salary Mode,Njia ya Mshahara
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Jisajili
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Imepokelewa kwa Sehemu
DocType: Patient,Divorced,Talaka
DocType: Support Settings,Post Route Key,Njia ya Njia ya Chapisho
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Ruhusu Item kuongezwa mara nyingi katika shughuli
DocType: Content Question,Content Question,Swali la Yaliyomo
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Futa Ziara ya Nyenzo {0} kabla ya kufuta madai ya Waranti
DocType: Customer Feedback Table,Qualitative Feedback,Majibu ya Sifa
apps/erpnext/erpnext/config/education.py,Assessment Reports,Ripoti za Tathmini
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Akaunti zinazopatikana Akaunti iliyopunguzwa
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Imefutwa
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Bidhaa za Watumiaji
DocType: Supplier Scorecard,Notify Supplier,Arifaza Wasambazaji
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Tafadhali chagua Aina ya Chama kwanza
DocType: Item,Customer Items,Vitu vya Wateja
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Madeni
DocType: Project,Costing and Billing,Gharama na Ulipaji
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Fedha ya awali ya akaunti lazima iwe sawa na sarafu ya kampuni {0}
DocType: QuickBooks Migrator,Token Endpoint,Mwisho wa Tokeni
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Akaunti {0}: Akaunti ya Mzazi {1} haiwezi kuwa kiongozi
DocType: Item,Publish Item to hub.erpnext.com,Chapisha Jumuiya ya hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Haiwezi kupata Kipindi cha Kuondoka
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Tathmini
DocType: Item,Default Unit of Measure,Kitengo cha Kupima chaguo-msingi
DocType: SMS Center,All Sales Partner Contact,Mawasiliano Yote ya Mshirika wa Mauzo
DocType: Department,Leave Approvers,Acha vibali
DocType: Employee,Bio / Cover Letter,Barua ya Bio / Jalada
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Vitu vya Kutafuta ...
