Pension Funds,ஓய்வூதிய நிதி
Rounding Adjustment (Company Currency,வட்டமான சரிசெய்தல் (நிறுவனத்தின் நாணய
Credit Account,கடன் கணக்கு
Submission Date,சமர்ப்பிக்கும் தேதி
Change Template Code,டெம்ப்ளேட் கோட் மாற்று
Total Sanctioned Amount,மொத்த ஒப்புதல் தொகை
New Expenses,புதிய செலவுகள்
Healthcare Practitioner not available on {0},ஹெல்த் பிராக்டிஷனர் {0}
Transport Receipt No,போக்குவரத்து ரசீது இல்லை
Administrative Officer,நிர்வாக அதிகாரி
Probability (%),நிகழ்தகவு (%)
Silty Clay Loam,மெல்லிய களிமண்
WooCommerce Products,WooCommerce தயாரிப்புகள்
Account Pay Only,கணக்கு பணம் மட்டுமே
Cess,செஸ்
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","நிறுவனம், நாணயம், தற்போதைய நிதியாண்டு ஆண்டு போன்ற முன்னிருப்பு மதிப்புகளை அமைக்கவும்."
Time Tracking,நேரம் கண்காணிப்பு
Under Graduate,பட்டப்படிப்பில்
Supplier Part No,சப்ளையர் பகுதி எண்
Party Balance,கட்சி இருப்பு
Source of Funds (Liabilities),நிதிகள் (பொறுப்புக்கள்)
Taxable Salary Slabs,வரிக்குரிய சம்பள அடுக்குகள்
Support Settings,ஆதரவு அமைப்புகள்
Please enter Production Item first,முதலில் தயாரிப்பு உருப்படியை உள்ளிடுக
Grading Basis,கிரேடிங் பேசஸ்
Basic Amount,அடிப்படை தொகை
Pay To / Recd From,கொடுங்கள் / பதிவு செய்யுங்கள்
Scrap Material Cost,ஸ்க்ராப் பொருள் செலவு
Received Quantity,அளவு கிடைத்தது
Sales Person-wise Transaction Summary,விற்பனை நபர் வாரியாக பரிவர்த்தனை சுருக்கம்
Actual Operating Cost,உண்மையான இயக்க செலவு
Mode of Payments,கொடுப்பனவு முறை
Send to Subcontractor,துணைக்குழுவிற்கு அனுப்பு
Select Shipping Address,கப்பல் முகவரி தேர்ந்தெடு
AB-,மோலின்
Project Summary for {0},{0} க்கான திட்ட சுருக்கம்
"{0} is mandatory for generating remittance payments, set the field and try again","{0} பணம் செலுத்துதல்களை உருவாக்குவதற்கு கட்டாயம், களத்தை அமைத்து மீண்டும் முயற்சிக்கவும்"
Some emails are invalid,சில மின்னஞ்சல்கள் தவறானவை
Calculate Depreciation,தேய்மானத்தை கணக்கிடுங்கள்
Term Name,காலப் பெயர்
Question,கேள்வி
Exemption Sub Category,விலக்கு துணை வகை
More Details,கூடுதல் தகவல்கள்
Earning,சம்பாதித்து
Click Enter To Add,சேர்க்கவும் சேர்க்கவும் சேர்க்கவும்
Employee Group,பணியாளர் குழு
Specify Exchange Rate to convert one currency into another,நாணயத்தை மற்றொரு நாணயமாக மாற்றுமாறு குறிப்பிடவும்
Ageing Range 4,வயது வரம்பு 4
Could not solve criteria score function for {0}. Make sure the formula is valid.,{0} க்கான அடிப்படை ஸ்கோர் செயல்பாட்டை தீர்க்க முடியவில்லை. சூத்திரம் செல்லுபடியாகும் என்பதை உறுதிப்படுத்தவும்.
Include Reconciled Entries,ரெகண்டில் செய்யப்பட்ட பதிவுகள் அடங்கும்
Allow Zero Valuation Rate,பூஜ்ய மதிப்பீட்டு விகிதம் அனுமதி
Nothing more to show.,காட்ட இன்னும் ஒன்றும் இல்லை.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",அனைத்து பொருட்கள் அல்லாத பங்கு பொருட்கள் ஏனெனில் வரி பகுப்பு &quot;மொத்த&quot; மாற்றப்பட்டுள்ளது
Tax on flexible benefit,நெகிழ்வான பயன் மீது வரி
This is based on the Time Sheets created against this project,இந்த திட்டத்திற்கு எதிராக உருவாக்கப்பட்ட டைம் ஷீட்களின் அடிப்படையில் இது அமைந்துள்ளது
Buying Rate,வாங்குதல் விகிதம்
Type of Sample,மாதிரி வகை
Budget Accounts,பட்ஜெட் கணக்குகள்
Serial No {0} quantity {1} cannot be a fraction,வரிசை எண் {0} அளவு {1} ஒரு பகுதியாக இருக்க முடியாது
Stock In Hand,கை பங்கு
Wages,ஊதியங்கள்
No leave record found for employee {0} for {1},{1} க்கான ஊழியர் {0}
Accounts Receivable Unpaid Account,செலுத்தப்படாத கணக்கு பெறத்தக்க கணக்குகள்
SGST Account,SGST கணக்கு
Half Day Date should be in between Work From Date and Work End Date,தேதி மற்றும் வேலை முடிவு தேதி ஆகியவற்றிற்கு இடையேயான அரை நாள் தேதி இருக்க வேண்டும்
Applicable in the case of Employee Onboarding,பணியாளர் ஆன்போர்டிங் வழக்கில் பொருந்தும்
Specified BOM {0} does not exist for Item {1},குறிப்பிட்ட BOM {0} பொருள் {1}
Company (not Customer or Supplier) master.,நிறுவனம் (வாடிக்கையாளர் அல்லது சப்ளையர் அல்ல) மாஸ்டர்.
Sales Invoice Series,விற்பனை விலைப்பட்டியல் தொடர்
Asset Movement record {0} created,சொத்து இயக்கம் பதிவு {0} உருவாக்கப்பட்டது
Test Created,சோதனை உருவாக்கப்பட்டது
Term Start Date,கால துவங்கும் தேதி
Appointment {0} and Sales Invoice {1} cancelled,நியமனம் {0} மற்றும் விற்பனை விலைப்பட்டியல் {1} ரத்துசெய்யப்பட்டது
Vehicle Number,வாகன எண்
Your email address...,உங்கள் மின்னஞ்சல் முகவரி...
Include Default Book Entries,இயல்புநிலை புத்தக பதிவுகள் அடங்கும்
Activity Type,செயல்பாட்டு வகை
Get Advances Paid,முன்னேற்றங்கள் பெறவும்
Gain/Loss Account on Asset Disposal,சொத்து நீக்கம் மீது ஆதாயம் / இழப்பு கணக்கு
Voucher No,வவுச்சர் இல்லை
Reorder level based on Warehouse,கிடங்கு அடிப்படையில் தளத்தை மறுவரிசைப்படுத்துக
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","நிறுத்தி பணி ஆணை ரத்து செய்ய முடியாது, ரத்து செய்ய முதலில் அதை நீக்கு"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} பொருள் {1} க்கு தேவையான சீரியல் எண்கள். நீங்கள் {2} வழங்கியுள்ளீர்கள்.
Customer Primary Contact,வாடிக்கையாளர் முதன்மை தொடர்பு
BOM Detail No,BOM விபரம் இல்லை
Cash In Hand,பணத்தில் பணம்
The holiday on {0} is not between From Date and To Date,தேதி மற்றும் தேதி வரையான தேதிக்கு {0} விடுமுறை
Lead must be set if Opportunity is made from Lead,முன்னணி வாய்ப்பில் இருந்து எடுக்கப்பட்டால் முன்னணி அமைக்க வேண்டும்
Account with existing transaction can not be converted to group.,ஏற்கனவே இருக்கும் பரிவர்த்தனை மூலம் கணக்கு குழுவை மாற்ற முடியாது.
Timesheet {0} is already completed or cancelled,Timesheet {0} ஏற்கனவே முடிக்கப்பட்டுள்ளது அல்லது ரத்து செய்யப்பட்டது
