Pension Funds,Пенсійні фонди
Rounding Adjustment (Company Currency,Коригування округлення (валюта компанії
Course is mandatory in row {0},Курс обов&#39;язковий у рядку {0}
Credit Account,Кредитний рахунок
Submission Date,Дата подання
Change Template Code,Змінити шаблонний код
Total Sanctioned Amount,Загальна санкціонована сума
New Expenses,Нові витрати
Healthcare Practitioner not available on {0},Практикуючий лікар не доступний на {0}
Transport Receipt No,Транспортна квитанція №
Administrative Officer,Адміністратор
Probability (%),Імовірність (%)
Silty Clay Loam,Силовий глинистий суглинок
WooCommerce Products,Продукти WooCommerce
Account Pay Only,Лише оплата рахунку
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Встановити значення за умовчанням, такі як компанія, валюта, поточний фінансовий рік і т.д."
Time Tracking,Відстеження часу
Under Graduate,Випускник
Supplier Part No,Номер частини постачальника
Party Balance,Баланс партії
Source of Funds (Liabilities),Джерело коштів (зобов&#39;язань)
Taxable Salary Slabs,Оподатковувані плити заробітної плати
Support Settings,Параметри підтримки
Please enter Production Item first,Спочатку введіть елемент виробництва
Grading Basis,Базисна оцінка
Basic Amount,Базова сума
Pay To / Recd From,Оплатити / Відкрити з
Scrap Material Cost,Вартість матеріалу брухту
Received Quantity,Отримане кількість
Sales Person-wise Transaction Summary,Зміст транзакцій персоналу з продажу
Actual Operating Cost,Фактичні операційні витрати
Mode of Payments,Режим оплати
Send to Subcontractor,Надіслати субпідряднику
Select Shipping Address,Виберіть Адреса доставки
AB-,AB-
Project Summary for {0},Підсумок проекту для {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} є обов&#39;язковим для генерації платежів з переказу коштів, встановлення поля та повторення"
Some emails are invalid,Деякі повідомлення електронної пошти недійсні
Calculate Depreciation,Розрахувати амортизацію
Term Name,Назва терміну
Question,Питання
Exemption Sub Category,Підкатегорія звільнення
More Details,Детальніше
Earning,Заробіток
Click Enter To Add,Натисніть &quot;Ввести додати&quot;
Employee Group,Група працівників
Specify Exchange Rate to convert one currency into another,"Вкажіть курс обміну, щоб конвертувати одну валюту в іншу"
Ageing Range 4,Діапазон старіння 4
Warehouse required for stock Item {0},"Склад, необхідний для наявності товару {0}"
Could not solve criteria score function for {0}. Make sure the formula is valid.,"Не вдалося вирішити функцію оцінки критеріїв для {0}. Переконайтеся, що формула дійсна."
Include Reconciled Entries,Включити узгоджені записи
Allow Zero Valuation Rate,Дозволити нульову оцінку
Nothing more to show.,Більше нічого не показувати.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Категорія податку була змінена на &quot;Всього&quot;, тому що всі елементи не є товарами зі складу"
Tax on flexible benefit,Податок на гнучку вигоду
This is based on the Time Sheets created against this project,"Це базується на Часових таблицях, створених для цього проекту"
Buying Rate,Купівля Rate
Type of Sample,Тип зразка
Budget Accounts,Рахунки бюджету
Serial No {0} quantity {1} cannot be a fraction,Послідовне число {0} {1} не може бути дробом
Stock In Hand,Запас в руці
Wages,Заробітна плата
No leave record found for employee {0} for {1},Не знайдено запису про залишок для співробітника {0} для {1}
Accounts Receivable Unpaid Account,Дебіторська заборгованість рахунку
SGST Account,Обліковий запис SGST
Half Day Date should be in between Work From Date and Work End Date,Половина дня повинна бути між робочою датою та датою завершення роботи
Applicable in the case of Employee Onboarding,Застосовується у випадку працівника Onboarding
Specified BOM {0} does not exist for Item {1},Зазначена BOM {0} не існує для елемента {1}
Company (not Customer or Supplier) master.,Компанія (не Замовник або Постачальник).
Sales Invoice Series,Серія рахунків-фактур
Asset Movement record {0} created,Запис руху активів {0} створено
Test Created,Тест створено
Term Start Date,Дата початку терміну
Appointment {0} and Sales Invoice {1} cancelled,Призначення {0} і рахунок-фактуру продажу {1} скасовано
Vehicle Number,Номер транспортного засобу
Your email address...,Ваша електронна адреса...
Include Default Book Entries,Включити записи про книгу за замовчуванням
Activity Type,Тип діяльності
Get Advances Paid,Отримати плату за досягнення
Gain/Loss Account on Asset Disposal,Рахунок прибутків / збитків щодо видалення активів
Voucher No,Ваучер №
Reorder level based on Warehouse,Зміна рівня на основі Warehouse
