Pension Funds,연금 기금
Rounding Adjustment (Company Currency,반올림 조정 (회사 통화
Course is mandatory in row {0},코스는 {0} 행에서 필수입니다.
Credit Account,신용 계좌
Submission Date,제출일
Change Template Code,템플릿 코드 변경
Total Sanctioned Amount,총 승인 금액
New Expenses,새로운 경비
Healthcare Practitioner not available on {0},{0}에서 사용할 수없는 의료 종사자
Transport Receipt No,운송 영수증 번호
Administrative Officer,관리 책임자
Probability (%),확률 (%)
Silty Clay Loam,미사 질 양토
WooCommerce Products,WooCommerce 제품
Account Pay Only,계정 지불 전용
Cess,운
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","회사, 통화, 현재 회계 연도 등의 기본값 설정"
Time Tracking,시간 추적
Under Graduate,졸업생
Supplier Part No,공급 업체 부품 번호
Party Balance,파티 균형
Source of Funds (Liabilities),기금 출처 (부채)
Taxable Salary Slabs,과세 대상 월급
Support Settings,지원 설정
Please enter Production Item first,먼저 생산 물품을 입력하십시오.
Grading Basis,채점 기준
Basic Amount,기본 금액
Pay To / Recd From,지불 / 받기
Scrap Material Cost,재료 비용 스크랩
Received Quantity,받은 수량
Sales Person-wise Transaction Summary,영업 담당자 별 거래 요약
Actual Operating Cost,실제 운영 비용
Mode of Payments,지불 방식
Send to Subcontractor,외주로 보내기
Select Shipping Address,배송 주소 선택
AB-,AB-
Project Summary for {0},{0}의 프로젝트 요약
"{0} is mandatory for generating remittance payments, set the field and try again","송금액을 생성하고, 필드를 설정하고 다시 시도하려면 {0}이 (가) 필수입니다."
Some emails are invalid,일부 이메일이 유효하지 않습니다.
Calculate Depreciation,감가 상각 계산
Term Name,학기 이름
Question,의문
Exemption Sub Category,면제 하위 카테고리
More Details,자세한 내용은
Earning,적립
Click Enter To Add,추가하려면 Enter를 클릭하십시오.
Employee Group,직원 그룹
Specify Exchange Rate to convert one currency into another,한 통화를 다른 통화로 변환 할 환율 지정
Ageing Range 4,에이징 범위 4
Warehouse required for stock Item {0},재고가 필요한 창고 {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,{0}에 대한 기준 점수 기능을 해결할 수 없습니다. 수식이 유효한지 확인하십시오.
Include Reconciled Entries,조정 된 항목 포함
Allow Zero Valuation Rate,평점 0 허용
Nothing more to show.,더 이상 보여줄 것이 없습니다.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",모든 품목이 비 재고 품목이므로 세금 범주가 &quot;합계&quot;로 변경되었습니다.
Tax on flexible benefit,탄력적 인 혜택에 대한 세금
This is based on the Time Sheets created against this project,이것은이 프로젝트에 대해 작성된 시간표를 기반으로합니다.
Buying Rate,구매율
Type of Sample,샘플 유형
Budget Accounts,예산 계정
Serial No {0} quantity {1} cannot be a fraction,일련 번호 {0} 수량 {1}은 (는) 분수가 될 수 없습니다.
Stock In Hand,손에 주식
Wages,임금
No leave record found for employee {0} for {1},{1}의 직원 {0}에 대한 휴가 레코드가 없습니다.
Accounts Receivable Unpaid Account,채권 미 지불 계정
SGST Account,SGST 계정
Half Day Date should be in between Work From Date and Work End Date,반나절 날짜는 업무 일과 업무 종료 날짜 사이 여야합니다.
Applicable in the case of Employee Onboarding,직원 온 보딩의 경우 적용 가능
Specified BOM {0} does not exist for Item {1},항목 {1}에 대해 지정된 BOM {0}이 (가) 없습니다.
Company (not Customer or Supplier) master.,회사 (고객 또는 공급 업체가 아님) 마스터.
Sales Invoice Series,판매 송장 시리즈
Asset Movement record {0} created,저작물 이동 기록 {0}이 생성되었습니다.
Test Created,테스트 생성됨
Term Start Date,학기 시작일
Appointment {0} and Sales Invoice {1} cancelled,약속 {0} 및 판매 송장 {1}이 취소되었습니다.
Vehicle Number,차량 번호
Your email address...,귀하의 이메일 주소 ...
