DocType: Accounting Period,Period Name,കാലാവധി നാമം
DocType: Employee,Salary Mode,ശമ്പളം മോഡ്
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,രജിസ്റ്റർ ചെയ്യുക
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,ഭാഗികമായി ലഭിച്ചു
DocType: Patient,Divorced,ആരുമില്ലെന്ന
DocType: Support Settings,Post Route Key,പോസ്റ്റ് റൂട്ട് കീ
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,ഇനം ഒരു ഇടപാട് ഒന്നിലധികം തവണ ചേർക്കാൻ അനുവദിക്കുക
DocType: Content Question,Content Question,ഉള്ളടക്ക ചോദ്യം
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,ഈ വാറന്റി ക്ലെയിം റദ്ദാക്കുന്നതിൽ മുമ്പ് മെറ്റീരിയൽ സന്ദർശനം {0} റദ്ദാക്കുക
DocType: Customer Feedback Table,Qualitative Feedback,ഗുണപരമായ ഫീഡ്‌ബാക്ക്
apps/erpnext/erpnext/config/education.py,Assessment Reports,വിലയിരുത്തൽ റിപ്പോർട്ടുകൾ
DocType: Invoice Discounting,Accounts Receivable Discounted Account,സ്വീകാര്യമായ ഡിസ്കൗണ്ട് അക്കൗണ്ടുകൾ
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,റദ്ദാക്കി
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,കൺസ്യൂമർ ഉൽപ്പന്നങ്ങൾ
DocType: Supplier Scorecard,Notify Supplier,വിതരണക്കാരൻ അറിയിക്കുക
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,പാർട്ടി ടൈപ്പ് ആദ്യം തിരഞ്ഞെടുക്കുക
DocType: Item,Customer Items,ഉപഭോക്തൃ ഇനങ്ങൾ
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,ബാധ്യതകൾ
DocType: Project,Costing and Billing,ആറെണ്ണവും ബില്ലിംഗ്
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},അഡ്വാൻസ് അക്കൗണ്ട് കറൻസി കമ്പനി കറൻസിക്ക് തുല്യമായിരിക്കണം {0}
DocType: QuickBooks Migrator,Token Endpoint,ടോക്കൺ അവസാനസ്ഥാനം
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,അക്കൗണ്ട് {0}: പാരന്റ് അക്കൌണ്ട് {1} അതെല്ലാം ഒരു ആകാൻ പാടില്ല
DocType: Item,Publish Item to hub.erpnext.com,Hub.erpnext.com വരെ ഇനം പ്രസിദ്ധീകരിക്കുക
