DocType: Accounting Period,Period Name,ឈ្មោះកំឡុងពេល
DocType: Employee,Salary Mode,របៀបប្រាក់បៀវត្ស
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,ចុះឈ្មោះ
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,ទទួលបានដោយផ្នែក។
DocType: Patient,Divorced,លែងលះគ្នា
DocType: Support Settings,Post Route Key,សោផ្លូវបង្ហោះ
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,អនុញ្ញាតឱ្យធាតុនឹងត្រូវបានបន្ថែមជាច្រើនដងនៅក្នុងប្រតិបត្តិការ
DocType: Content Question,Content Question,សំណួរមាតិកា។
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,បោះបង់ {0} ទស្សនកិច្ចនៅមុនពេលលុបចោលសំភារៈបណ្តឹងធានានេះ
DocType: Customer Feedback Table,Qualitative Feedback,ការឆ្លើយតបប្រកបដោយគុណភាព។
apps/erpnext/erpnext/config/education.py,Assessment Reports,របាយការណ៍វាយតម្លៃ
DocType: Invoice Discounting,Accounts Receivable Discounted Account,គណនីបញ្ចុះតំលៃដែលអាចទទួលបាន។
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,បោះបង់។
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,ផលិតផលទំនិញប្រើប្រាស់
DocType: Supplier Scorecard,Notify Supplier,ជូនដំណឹងដល់អ្នកផ្គត់ផ្គង់
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,សូមជ្រើសប្រភេទបក្សទីមួយ
DocType: Item,Customer Items,ធាតុអតិថិជន
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,បំណុល។
DocType: Project,Costing and Billing,និងវិក័យប័ត្រមានតម្លៃ
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},រូបិយប័ណ្ណគណនីមុនគួរតែដូចគ្នានឹងរូបិយប័ណ្ណរបស់ក្រុមហ៊ុន {0}
DocType: QuickBooks Migrator,Token Endpoint,ចំនុច Token
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,គណនី {0}: គណនីមាតាបិតា {1} មិនអាចជាសៀវភៅមួយ
DocType: Item,Publish Item to hub.erpnext.com,បោះពុម្ពផ្សាយធាតុទៅ hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,មិនអាចរកកំនត់ឈប់កំនត់សកម្ម
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,ការវាយតំលៃ
DocType: Item,Default Unit of Measure,អង្គភាពលំនាំដើមនៃវិធានការ
DocType: SMS Center,All Sales Partner Contact,ទាំងអស់ដៃគូទំនាក់ទំនងលក់
DocType: Department,Leave Approvers,ទុកឱ្យការអនុម័ត
DocType: Employee,Bio / Cover Letter,ជីវប្រវត្ដិ / លិខិតគម្រប
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,ស្វែងរកធាតុ ...
DocType: Patient Encounter,Investigations,ការស៊ើបអង្កេត
DocType: Restaurant Order Entry,Click Enter To Add,ចុចបញ្ចូលដើម្បីបន្ថែម
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL",បាត់តម្លៃសម្រាប់ពាក្យសម្ងាត់លេខកូដ API ឬលក់ URL
DocType: Employee,Rented,ជួល
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,គណនីទាំងអស់
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,មិនអាចផ្ទេរបុគ្គលិកជាមួយនឹងស្ថានភាពឆ្វេង
DocType: Vehicle Service,Mileage,mileage
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,តើអ្នកពិតជាចង់លុបចោលទ្រព្យសម្បត្តិនេះ?
DocType: Drug Prescription,Update Schedule,ធ្វើបច្ចុប្បន្នភាពកាលវិភាគ
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,ជ្រើសផ្គត់ផ្គង់លំនាំដើម
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,បង្ហាញនិយោជិក
DocType: Payroll Period,Standard Tax Exemption Amount,ចំនួនទឹកប្រាក់លើកលែងពន្ធស្តង់ដារ។
DocType: Exchange Rate Revaluation Account,New Exchange Rate,អត្រាប្តូរប្រាក់ថ្មី
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},រូបិយប័ណ្ណត្រូវបានទាមទារសម្រាប់តារាងតម្លៃ {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* នឹងត្រូវបានគណនាក្នុងប្រតិបត្តិការនេះ។
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT -YYYY.-
DocType: Purchase Order,Customer Contact,ទំនាក់ទំនងអតិថិជន
DocType: Shift Type,Enable Auto Attendance,បើកការចូលរួមដោយស្វ័យប្រវត្តិ។
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,សូមបញ្ចូលឃ្លាំងនិងកាលបរិច្ឆេទ
DocType: Lost Reason Detail,Opportunity Lost Reason,ឱកាសបាត់បង់ហេតុផល។
DocType: Patient Appointment,Check availability,ពិនិត្យភាពអាចរកបាន
DocType: Retention Bonus,Bonus Payment Date,ថ្ងៃបង់ប្រាក់រង្វាន់
DocType: Employee,Job Applicant,ការងារដែលអ្នកដាក់ពាក្យសុំ
DocType: Job Card,Total Time in Mins,ពេលវេលាសរុបនៅក្នុងមីន។
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,នេះផ្អែកលើប្រតិបត្តិការប្រឆាំងនឹងការផ្គត់ផ្គង់នេះ។ សូមមើលខាងក្រោមសម្រាប់សេចក្ដីលម្អិតកំណត់ពេលវេលា
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,ភាគរយលើសផលិតកម្មសម្រាប់ស្នាដៃការងារ
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-yYYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,ផ្នែកច្បាប់
DocType: Sales Invoice,Transport Receipt Date,កាលបរិច្ឆេទបង្កាន់ដៃដឹកជញ្ជូន
DocType: Shopify Settings,Sales Order Series,លំដាប់លក់
DocType: Vital Signs,Tongue,លៀនអណ្តាត
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},ពន្ធលើប្រភេទពិតប្រាកដមិនអាចត្រូវបានរួមបញ្ចូលនៅក្នុងអត្រាធាតុនៅក្នុងជួរដេក {0}
DocType: Allowed To Transact With,Allowed To Transact With,បានអនុញ្ញាតឱ្យធ្វើការជាមួយ
DocType: Bank Guarantee,Customer,អតិថិជន
DocType: Purchase Receipt Item,Required By,ដែលបានទាមទារដោយ
DocType: Delivery Note,Return Against Delivery Note,ការវិលត្រឡប់ពីការប្រឆាំងនឹងការផ្តល់ចំណាំ
DocType: Asset Category,Finance Book Detail,ពត៌មានសៀវភៅហិរញ្ញវត្ថុ
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,រាល់ការរំលោះត្រូវបានកក់។
DocType: Purchase Order,% Billed,% បានគិតលុយហើយ
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,លេខប្រាក់ឈ្នួល។
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),អត្រាប្តូរប្រាក់ត្រូវតែមានដូចគ្នា {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA ការលើកលែង
DocType: Sales Invoice,Customer Name,ឈ្មោះអតិថិជន
DocType: Vehicle,Natural Gas,ឧស្ម័នធម្មជាតិ
DocType: Project,Message will sent to users to get their status on the project,សារនឹងត្រូវបានផ្ញើទៅអ្នកប្រើប្រាស់ដើម្បីទទួលបានស្ថានភាពរបស់ពួកគេ។
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},គណនីធនាគារដែលមិនអាចត្រូវបានដាក់ឈ្មោះថាជា {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA តាមតំណាក់កាលប្រាក់ខែ
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,ក្បាល (ឬក្រុម) ប្រឆាំងនឹងធាតុគណនេយ្យនិងតុល្យភាពត្រូវបានធ្វើឡើងត្រូវបានរក្សា។
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),ឆ្នើមសម្រាប់ {0} មិនអាចតិចជាងសូន្យ ({1})
