Pension Funds,Пенсионные фонды
Rounding Adjustment (Company Currency,Корректировка округления (валюта компании
Course is mandatory in row {0},Курс обязателен в строке {0}
Credit Account,Кредитный счет
Submission Date,Дата подачи
Change Template Code,Изменить код шаблона
Total Sanctioned Amount,Общая утвержденная сумма
New Expenses,Новые расходы
Healthcare Practitioner not available on {0},Практикующий врач недоступен {0}
Transport Receipt No,Транспортная квитанция №
Administrative Officer,Администратор
Probability (%),Вероятность (%)
Silty Clay Loam,Суглинистый суглинок
WooCommerce Products,Продукты WooCommerce
Account Pay Only,Оплата только аккаунта
Cess,налог
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Установите значения по умолчанию, такие как компания, валюта, текущий финансовый год и т. Д."
Time Tracking,Отслеживание времени
Under Graduate,До выпускника
Supplier Part No,Номер детали поставщика
Party Balance,Партийный баланс
Source of Funds (Liabilities),Источник средств (пассивы)
Taxable Salary Slabs,Налогооблагаемая зарплата плиты
Support Settings,Настройки поддержки
Please enter Production Item first,"Пожалуйста, введите элемент производства первым"
Grading Basis,Оценка основ
Basic Amount,Основная сумма
Pay To / Recd From,Pay To / Recd From
Scrap Material Cost,Стоимость лома
Received Quantity,Полученное количество
Sales Person-wise Transaction Summary,Сводная информация о продажах
Actual Operating Cost,Фактические эксплуатационные расходы
Mode of Payments,Режим платежей
Send to Subcontractor,Отправить субподрядчику
Select Shipping Address,Выберите адрес доставки
AB-,AB-
Project Summary for {0},Краткое описание проекта для {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} является обязательным для генерации денежных переводов, установите поле и попробуйте снова"
Some emails are invalid,Некоторые электронные письма являются недействительными
Calculate Depreciation,Рассчитать амортизацию
Term Name,Название срока
Question,Вопрос
Exemption Sub Category,Исключительная подкатегория
More Details,Подробнее
Earning,Начисление
Click Enter To Add,"Нажмите Enter, чтобы добавить"
Employee Group,Группа сотрудников
Specify Exchange Rate to convert one currency into another,"Укажите курс обмена, чтобы конвертировать одну валюту в другую"
Ageing Range 4,Диапазон старения 4
Warehouse required for stock Item {0},Требуется склад для склада. Товар {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,"Не удалось решить функцию оценки критерия для {0}. Убедитесь, что формула верна."
Include Reconciled Entries,Включить согласованные записи
Allow Zero Valuation Rate,Разрешить нулевую оценку
Nothing more to show.,Больше нечего показать.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Налоговая категория была изменена на «Итого», потому что все товары нет на складе"
Tax on flexible benefit,Налог на гибкое пособие
This is based on the Time Sheets created against this project,"Это основано на табелях, созданных против этого проекта"
Buying Rate,Скорость покупки
Type of Sample,Тип образца
Budget Accounts,Бюджетные счета
Serial No {0} quantity {1} cannot be a fraction,"Серийный номер {0}, количество {1} не может быть дробью"
Stock In Hand,Фондовый в руке
Wages,заработная плата
No leave record found for employee {0} for {1},Не найдена запись о выходе сотрудника {0} для {1}
Accounts Receivable Unpaid Account,Неоплаченный счет к получению
SGST Account,Счет SGST
Half Day Date should be in between Work From Date and Work End Date,Дата полдня должна быть между работой от даты и датой окончания работы
Applicable in the case of Employee Onboarding,Применимо в случае адаптации сотрудника
Specified BOM {0} does not exist for Item {1},Указанная спецификация {0} не существует для элемента {1}
Company (not Customer or Supplier) master.,Мастер компании (не Заказчик или Поставщик).
Sales Invoice Series,Серия счетов на продажу
Asset Movement record {0} created,Запись движения актива {0} создана
Test Created,Тест создан
Term Start Date,Дата начала срока
Appointment {0} and Sales Invoice {1} cancelled,Встреча {0} и счет-фактура {1} отменены
Vehicle Number,Номер автомобиля
Your email address...,Ваш адрес электронной почты...
Include Default Book Entries,Включить записи в книгу по умолчанию
Activity Type,Тип деятельности
Get Advances Paid,Получите авансовый платеж
Gain/Loss Account on Asset Disposal,Счет прибылей / убытков при выбытии активов
Voucher No,Ваучер №
Reorder level based on Warehouse,Уровень повторного заказа на основе склада
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Остановленный рабочий заказ не может быть отменен, сначала отмените его, чтобы отменить"
{0} Serial Numbers required for Item {1}. You have provided {2}.,"{0} Серийные номера, необходимые для позиции {1}. Вы предоставили {2}."
Customer Primary Contact,Основной контакт с клиентом
BOM Detail No,Спецификация №
Cash In Hand,Деньги в руки
The holiday on {0} is not between From Date and To Date,Праздник {0} не находится между датой и датой
Lead must be set if Opportunity is made from Lead,"Свинец должен быть установлен, если возможность сделана из свинца"
Account with existing transaction can not be converted to group.,Аккаунт с существующей транзакцией не может быть преобразован в группу.
Timesheet {0} is already completed or cancelled,Расписание {0} уже заполнено или отменено
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Стандартные положения и условия, которые можно добавить в раздел «Продажи и покупки». Примеры: 1. Срок действия предложения. 1. Условия оплаты (заранее, в кредит, частичный аванс и т. Д.). 1. Что является дополнительным (или оплачивается Заказчиком). 1. Предупреждение о безопасности / использовании. 1. Гарантия, если таковая имеется. 1. Возвращает политику. 1. Условия доставки, если применимо. 1. Способы разрешения споров, возмещения убытков, ответственности и т. Д. 1. Адрес и контакт вашей компании."
Leave Status Notification,Оставить уведомление о статусе
Designation Skill,Обозначение навыка
Quantity required for Item {0} in row {1},"Количество, необходимое для позиции {0} в строке {1}"
"To filter based on Party, select Party Type first","Чтобы выполнить фильтрацию по партии, сначала выберите тип партии"
No Salary Structure assigned for Employee {0} on given date {1},Структура сотрудника {0} на указанную дату {1} не назначена
Number,Число
Separate course based Group for every Batch,Отдельная группа на основе курса для каждой партии
Require Lab Test Approval,Требовать одобрения лабораторных испытаний
Update Clearance Date,Обновить дату оформления
Import Chart of Accounts from a csv file,Импортировать план счетов из CSV-файла
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Поддержка публичного приложения устарела. Пожалуйста, настройте частное приложение, для более подробной информации обратитесь к руководству пользователя"
Signed,подписанный
Terms and Conditions1,Условия использования1
Please select Employee Record first.,"Пожалуйста, сначала выберите Запись сотрудника."
Password policy for Salary Slips is not set,Политика паролей для Salary Slips не установлена
Result HTML,Результат HTML
Ignore holidays,Игнорировать праздники
Linked Soil Texture,Текстура почвы
This is based on logs against this Vehicle. See timeline below for details,Это основано на журналах против этого транспортного средства. Смотрите график ниже для деталей
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Экстренный контакт
Authorization URL,URL авторизации
On Leave,В отпуске
Show a slideshow at the top of the page,Показать слайд-шоу в верхней части страницы
Payer Settings,Настройки плательщика
Set Tax Rule for shopping cart,Установить налоговое правило для корзины
In Production,В производстве
Payment References,Оплата Отзывы
Valid Till,Годен до
{0}: From {0} of type {1},{0}: из {0} типа {1}
Project Name,название проекта
Stock Qty,Кол-во
Child Item should not be a Product Bundle. Please remove item `{0}` and save,"Детский предмет не должен быть товарным комплектом. Пожалуйста, удалите элемент `{0}` и сохраните"
Response Result Key Path,Путь к ключу результата ответа
Fully Sponsored,Полностью спонсор
Not permitted. Please disable the Service Unit Type,"Не разрешено Пожалуйста, отключите тип сервисного блока"
Offline POS Settings,Настройки POS офлайн
Calculations,вычисления
Material Requested,Запрошенный материал
Reference Row,Ссылочный ряд
Annual Allocation,Ежегодное распределение
Subcontract,субподряд
Valuation type charges can not marked as Inclusive,Тип оценки расходов не может быть помечен как включительно
Account {0}: Parent account {1} does not belong to company: {2},Учетная запись {0}: родительская учетная запись {1} не принадлежит компании: {2}
Failed to login,Не удалось войти
Items and Pricing,Предметы и цены
Payment Terms Template,Шаблон условий оплаты
Previous Work Experience,Предыдущий опыт работы
Program,программа
Healthcare,Здравоохранение
Complaint,жалоба
Restrict to Countries,Ограничить странами
Item Manager,Менеджер товаров
Currency of the Closing Account must be {0},Валюта закрытия счета должна быть {0}
Opening Invoice Item,Открытие счета
Plan material for sub-assemblies,План материала для сборочных узлов
Hardware,аппаратные средства
Action if Annual Budget Exceeded on MR,Действие при превышении годового бюджета по МР
Advance Amount,Сумма аванса
Against Sales Invoice Item,Против позиции счета-фактуры
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Включить товар в производство
Check in (group),Регистрация в (группа)
Do not show any symbol like $ etc next to currencies.,"Не показывать символы, такие как $ и т. Д. Рядом с валютами."
Salary Component Type,Тип зарплаты
The shareholder does not belong to this company,Акционер не принадлежит этой компании
Day(s) after the end of the invoice month,Дни после окончания месяца счета
Vehicle Type,тип машины
Healthcare Administrator,Администратор здравоохранения
Single Transaction Threshold,Порог одной транзакции
Broadcasting,вещания
Post Title Key,Заголовок сообщения
Customer Primary Address,Основной адрес клиента
Please select batches for batched item ,"Пожалуйста, выберите партии для партии товара"
Min Qty,Мин Кол-во
Payment Deductions or Loss,Платежные вычеты или потери
On Item Quantity,На количество товара
Replace BOM and update latest price in all BOMs,Заменить спецификацию и обновить последнюю цену во всех спецификациях
Both Trial Period Start Date and Trial Period End Date must be set,Должна быть установлена дата начала пробного периода и дата окончания пробного периода
No time sheets,Нет расписаний
Statement Header Mapping,Отображение заголовка оператора
Mark Half Day,Марк полдня
Material Transfer for Manufacture,Передача материала для производства
Block Supplier,Поставщик блоков
Please enter Woocommerce Server URL,"Пожалуйста, введите URL сервера Woocommerce"
From Place,С места
No contacts with email IDs found.,Контакты с идентификаторами электронной почты не найдены.
Consumption Invoiced,Расход по фактуре
Requested Quantity,Запрашиваемое количество
Exit,Выход
Dispatch Information,Информация о доставке
Basic Amount (Company Currency),Основная сумма (валюта компании)
Selling Settings,Настройки продажи
A question must have more than one options,Вопрос должен иметь более одного варианта
Please set the Date Of Joining for employee {0},"Пожалуйста, установите дату вступления для сотрудника {0}"
About your company,О вашей компании
Fiscal Year {0} does not exist,Финансовый год {0} не существует
Leave Application,Оставить заявку
Maintenance Log,Журнал обслуживания
