DocType: Accounting Period,Period Name,সময়কালের নাম
DocType: Employee,Salary Mode,বেতন মোড
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,নিবন্ধন
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,আংশিকভাবে প্রাপ্ত
DocType: Patient,Divorced,তালাকপ্রাপ্ত
DocType: Support Settings,Post Route Key,পোস্ট রুট কী
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,আইটেম একটি লেনদেনের মধ্যে একাধিক বার যুক্ত করা সম্ভব
DocType: Content Question,Content Question,বিষয়বস্তু প্রশ্ন
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,উপাদান যান {0} এই পাটা দাবি বাতিল আগে বাতিল
DocType: Customer Feedback Table,Qualitative Feedback,গুণগত প্রতিক্রিয়া
apps/erpnext/erpnext/config/education.py,Assessment Reports,মূল্যায়ন প্রতিবেদনগুলি
DocType: Invoice Discounting,Accounts Receivable Discounted Account,অ্যাকাউন্টগুলি গ্রহণযোগ্য ছাড়যোগ্য অ্যাকাউন্ট
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,বাতিল করা হয়েছে
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,ভোগ্যপণ্য
DocType: Supplier Scorecard,Notify Supplier,সরবরাহকারীকে সূচিত করুন
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,প্রথম পক্ষের ধরন নির্বাচন করুন
DocType: Item,Customer Items,গ্রাহক চলছে
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,দায়
DocType: Project,Costing and Billing,খোয়াতে এবং বিলিং
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},অগ্রিম অ্যাকাউন্ট মুদ্রা কোম্পানির মুদ্রার সমান হওয়া উচিত {0}
DocType: QuickBooks Migrator,Token Endpoint,টোকেন এন্ডপয়েন্ট
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,অ্যাকাউন্ট {0}: মূল অ্যাকাউন্ট তথ্য {1} একটি খতিয়ান হতে পারবেন না
DocType: Item,Publish Item to hub.erpnext.com,Hub.erpnext.com আইটেমটি প্রকাশ করুন
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,সক্রিয় ছাড়ের সময়কাল খুঁজে পাওয়া যাবে না
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,মূল্যায়ন
DocType: Item,Default Unit of Measure,মেজার ডিফল্ট ইউনিট
DocType: SMS Center,All Sales Partner Contact,সমস্ত বিক্রয় সঙ্গী সাথে যোগাযোগ
DocType: Department,Leave Approvers,Approvers ত্যাগ
DocType: Employee,Bio / Cover Letter,জৈব / কভার লেটার
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,আইটেমগুলি অনুসন্ধান করুন ...
DocType: Patient Encounter,Investigations,তদন্ত
DocType: Restaurant Order Entry,Click Enter To Add,যোগ করতে এন্টার ক্লিক করুন
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","পাসওয়ার্ড, API কী বা Shopify URL এর জন্য অনুপস্থিত মান"
DocType: Employee,Rented,ভাড়াটে
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,সব অ্যাকাউন্ট
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,কর্মচারী বদলাতে পারবে না অবস্থা বাম
DocType: Vehicle Service,Mileage,যত মাইল দীর্ঘ
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,আপনি কি সত্যিই এই সম্পদ স্ক্র্যাপ করতে চান?
DocType: Drug Prescription,Update Schedule,আপডেট সূচি
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,নির্বাচন ডিফল্ট সরবরাহকারী
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,কর্মচারী দেখান
DocType: Payroll Period,Standard Tax Exemption Amount,স্ট্যান্ডার্ড ট্যাক্স ছাড়ের পরিমাণ
DocType: Exchange Rate Revaluation Account,New Exchange Rate,নতুন এক্সচেঞ্জ রেট
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},মুদ্রাটির মূল্য তালিকা জন্য প্রয়োজন {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* লেনদেনে গণনা করা হবে.
DocType: Delivery Trip,MAT-DT-.YYYY.-,Mat-মোর্চা-.YYYY.-
DocType: Purchase Order,Customer Contact,গ্রাহকের পরিচিতি
DocType: Shift Type,Enable Auto Attendance,স্বয়ংক্রিয় উপস্থিতি সক্ষম করুন
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,গুদাম এবং তারিখ প্রবেশ করুন
DocType: Lost Reason Detail,Opportunity Lost Reason,সুযোগ হারানো কারণ
