Pension Funds,Pensionsmidler
Rounding Adjustment (Company Currency,Afrundingsjustering (Virksomhedsvaluta
Course is mandatory in row {0},Kurset er obligatorisk i række {0}
Credit Account,Kreditkonto
Submission Date,Indsendelsesdato
Change Template Code,Skift skabelonkode
Total Sanctioned Amount,Samlet sanktioneret beløb
New Expenses,Nye udgifter
Healthcare Practitioner not available on {0},Sundhedspleje er ikke tilgængelig på {0}
Transport Receipt No,Transport kvittering nr
Administrative Officer,Kontorfuldmægtig
Probability (%),Sandsynlighed (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce produkter
Account Pay Only,Kun betalingskonto
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Angiv standardværdier som firma, valuta, nuværende regnskabsår mv."
Time Tracking,Tidsporing
Under Graduate,Under Graduate
Supplier Part No,Leverandørens varenr
Party Balance,Party Balance
Source of Funds (Liabilities),Fondens kilde (forpligtelser)
Taxable Salary Slabs,Skattepligtige lønplader
Support Settings,Supportindstillinger
Please enter Production Item first,Indtast venligst produktprodukt først
Grading Basis,Graderingsgrundlag
Basic Amount,Grundbeløb
Pay To / Recd From,Betal til / indtast fra
Scrap Material Cost,Skrot Materiale omkostninger
Received Quantity,Modtaget mængde
Sales Person-wise Transaction Summary,Salg Personlig Transaktionsoversigt
Actual Operating Cost,Faktisk driftsomkostninger
Mode of Payments,Betalingsmåde
Send to Subcontractor,Send til underleverandør
Select Shipping Address,Vælg Forsendelsesadresse
AB-,AB-
Project Summary for {0},Projektoversigt for {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} er obligatorisk for at generere pengeudbetalinger, indstil feltet og prøv igen"
Some emails are invalid,Nogle e-mails er ugyldige
Calculate Depreciation,Beregn afskrivninger
Term Name,Termnavn
Question,Spørgsmål
Exemption Sub Category,Fritagelse underkategori
More Details,Flere detaljer
Earning,Optjening
Click Enter To Add,Klik på Enter for at tilføje
Employee Group,Medarbejdergruppe
Specify Exchange Rate to convert one currency into another,Angiv valutakurs for at konvertere en valuta til en anden
Ageing Range 4,Aging Range 4
Warehouse required for stock Item {0},Lager nødvendig for lager vare {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,"Kunne ikke løse kriteriernes scoringsfunktion for {0}. Sørg for, at formlen er gyldig."
Include Reconciled Entries,Inkluder afstemte poster
Allow Zero Valuation Rate,Tillad nulværdi
Nothing more to show.,Intet mere at vise.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Skatkategori er blevet ændret til &quot;Total&quot;, fordi alle artiklerne er ikke-børsnoterede"
Tax on flexible benefit,Skat på fleksibel fordel
This is based on the Time Sheets created against this project,Dette er baseret på Time Sheets oprettet mod dette projekt
Buying Rate,Købspris
Type of Sample,Type prøve
Budget Accounts,Budgetregnskaber
Serial No {0} quantity {1} cannot be a fraction,Serienummer {0} mængde {1} kan ikke være en brøkdel
Stock In Hand,Stock i hånden
Wages,Løn
No leave record found for employee {0} for {1},Ingen permitteringsoversigt fundet for medarbejder {0} for {1}
Accounts Receivable Unpaid Account,Kundefordringer Ubetalte Konti
SGST Account,SGST-konto
Half Day Date should be in between Work From Date and Work End Date,Halvdagsdato skal være mellem arbejde fra dato og arbejdsdato
Applicable in the case of Employee Onboarding,Gælder for medarbejder ombordstigning
Specified BOM {0} does not exist for Item {1},Den angivne BOM {0} eksisterer ikke for Item {1}
Company (not Customer or Supplier) master.,Firma (ikke kunde eller leverandør) mester.
Sales Invoice Series,Salgsfaktura-serien
Asset Movement record {0} created,Asset Movement record {0} oprettet
Test Created,Test oprettet
Term Start Date,Termens startdato
Appointment {0} and Sales Invoice {1} cancelled,Udnævnelse {0} og salgsfaktura {1} annulleret
Vehicle Number,Køretøjsnummer
Your email address...,Din email adresse...
Include Default Book Entries,Inkluder standard bogindlæg
Activity Type,Aktivitetstype
Get Advances Paid,Få forskud betalt
Gain/Loss Account on Asset Disposal,Gain / Loss konto på bortskaffelse af aktiver
Voucher No,Voucher nr
Reorder level based on Warehouse,Omordnet niveau baseret på lager
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Stoppet Arbejdsordre kan ikke annulleres, Unstop det først for at annullere"
{0} Serial Numbers required for Item {1}. You have provided {2}.,"{0} serienumre, der kræves for punkt {1}. Du har angivet {2}."
Customer Primary Contact,Kunde primær kontakt
BOM Detail No,BOM Detalje nr
Cash In Hand,Cash in Hand
The holiday on {0} is not between From Date and To Date,Ferieen på {0} er ikke mellem Fra dato og til dato
Lead must be set if Opportunity is made from Lead,"Bly skal indstilles, hvis Muligheden er lavet af bly"
Account with existing transaction can not be converted to group.,Konto med eksisterende transaktion kan ikke konverteres til gruppe.
Timesheet {0} is already completed or cancelled,Tidsskema {0} er allerede afsluttet eller annulleret
