DocType: Accounting Period,Period Name,Periode Naam
DocType: Employee,Salary Mode,Salaris Modus
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Registreren
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Gedeeltelijk ontvangen
DocType: Patient,Divorced,Gescheiden
DocType: Support Settings,Post Route Key,Post Routesleutel
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Toestaan Item om meerdere keren in een transactie worden toegevoegd
DocType: Content Question,Content Question,Inhoudsvraag
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Annuleren Materiaal Bezoek {0} voor het annuleren van deze Garantie Claim
DocType: Customer Feedback Table,Qualitative Feedback,Kwalitatieve feedback
apps/erpnext/erpnext/config/education.py,Assessment Reports,Beoordelingsrapporten
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Accounts Debiteuren met korting
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Geannuleerd
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Consumentenproducten
DocType: Supplier Scorecard,Notify Supplier,Meld Leverancier in
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Selecteer Party Type eerste
DocType: Item,Customer Items,Klant Items
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Passiva
DocType: Project,Costing and Billing,Kostenberekening en facturering
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Vooraf ingestelde accountvaluta moet hetzelfde zijn als bedrijfsvaluta {0}
DocType: QuickBooks Migrator,Token Endpoint,Token-eindpunt
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Rekening {0}: Bovenliggende rekening {1} kan geen grootboek zijn
DocType: Item,Publish Item to hub.erpnext.com,Publiceer Item om hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Actieve verlofperiode niet te vinden
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,evaluatie
DocType: Item,Default Unit of Measure,Standaard Eenheid
DocType: SMS Center,All Sales Partner Contact,Alle Sales Partner Contact
DocType: Department,Leave Approvers,Verlof goedkeurders
DocType: Employee,Bio / Cover Letter,Bio / sollicitatiebrief
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Zoek items ...
DocType: Patient Encounter,Investigations,onderzoeken
DocType: Restaurant Order Entry,Click Enter To Add,Klik op Enter om toe te voegen
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Ontbrekende waarde voor wachtwoord, API-sleutel of Shopify-URL"
DocType: Employee,Rented,Verhuurd
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Alle accounts
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Kan werknemer niet overnemen met status links
DocType: Vehicle Service,Mileage,Mileage
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Wilt u dit actief echt schrappen?
DocType: Drug Prescription,Update Schedule,Update Schema
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Selecteer Standaard Leverancier
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Werknemer tonen
DocType: Payroll Period,Standard Tax Exemption Amount,Standaard belastingvrijstellingsbedrag
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nieuwe wisselkoers
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Munt is nodig voor prijslijst {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Zal worden berekend in de transactie.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Contactpersoon Klant
DocType: Shift Type,Enable Auto Attendance,Automatische aanwezigheid inschakelen
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Voer Magazijn en datum in
DocType: Lost Reason Detail,Opportunity Lost Reason,Gelegenheid verloren reden
DocType: Patient Appointment,Check availability,Beschikbaarheid controleren
DocType: Retention Bonus,Bonus Payment Date,Bonus Betalingsdatum
DocType: Employee,Job Applicant,Sollicitant
DocType: Job Card,Total Time in Mins,Totale tijd in minuten
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Dit is gebaseerd op transacties tegen deze leverancier. Zie tijdlijn hieronder voor meer informatie
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Overproductiepercentage voor werkorder
