DocType: Accounting Period,Period Name,Periode Navn
DocType: Employee,Salary Mode,Lønn Mode
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Registrere
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Delvis mottatt
DocType: Patient,Divorced,Skilt
DocType: Support Settings,Post Route Key,Legg inn rute nøkkel
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Tillat Element som skal legges flere ganger i en transaksjon
DocType: Content Question,Content Question,Innholdsspørsmål
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Avbryt Material Besøk {0} før den avbryter denne garantikrav
DocType: Customer Feedback Table,Qualitative Feedback,Kvalitativ tilbakemelding
apps/erpnext/erpnext/config/education.py,Assessment Reports,Evalueringsrapporter
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Kundefordringer Rabattert konto
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,avbrutt
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Forbrukerprodukter
DocType: Supplier Scorecard,Notify Supplier,Informer Leverandør
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Vennligst velg Partiet Type først
DocType: Item,Customer Items,Kunde Items
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,gjeld
DocType: Project,Costing and Billing,Kalkulasjon og fakturering
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Forhåndskonto valuta må være den samme som selskapets valuta {0}
DocType: QuickBooks Migrator,Token Endpoint,Token Endpoint
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Konto {0}: Parent konto {1} kan ikke være en hovedbok
DocType: Item,Publish Item to hub.erpnext.com,Publiser varen til hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Kan ikke finne aktiv permisjonstid
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,evaluering
DocType: Item,Default Unit of Measure,Standard måleenhet
DocType: SMS Center,All Sales Partner Contact,All Sales Partner Kontakt
DocType: Department,Leave Approvers,La godkjennere
DocType: Employee,Bio / Cover Letter,Bio / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Søk etter artikler ...
DocType: Patient Encounter,Investigations,undersøkelser
DocType: Restaurant Order Entry,Click Enter To Add,Klikk på Enter for å legge til
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Manglende verdi for Password, API Key eller Shopify URL"
DocType: Employee,Rented,Leide
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Alle kontoer
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Kan ikke overføre medarbeider med status til venstre
DocType: Vehicle Service,Mileage,Kilometer
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Har du virkelig ønsker å hugge denne eiendelen?
DocType: Drug Prescription,Update Schedule,Oppdater plan
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Velg Standard Leverandør
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Vis medarbeider
DocType: Payroll Period,Standard Tax Exemption Amount,Standard skattefritak beløp
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Ny valutakurs
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Valuta er nødvendig for Prisliste {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Vil bli beregnet i transaksjonen.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Kundekontakt
DocType: Shift Type,Enable Auto Attendance,Aktiver automatisk deltakelse
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Vennligst skriv inn lager og dato
DocType: Lost Reason Detail,Opportunity Lost Reason,Mulighet tapt grunn
DocType: Patient Appointment,Check availability,Sjekk tilgjengelighet
DocType: Retention Bonus,Bonus Payment Date,Bonus Betalingsdato
