Pension Funds,Lífeyrissjóðir
Rounding Adjustment (Company Currency,Afrennslisbreyting (Fyrirtæki Gjaldmiðill
Course is mandatory in row {0},Námskeið er skylt í röð {0}
Credit Account,Credit Account
Submission Date,Skiladagur
Change Template Code,Breyta Sniðmát
Total Sanctioned Amount,Heildarfjárhæð
New Expenses,Ný útgjöld
Healthcare Practitioner not available on {0},Heilbrigðisstarfsmaður er ekki í boði á {0}
Transport Receipt No,Flutningsskírteini nr
Administrative Officer,Stjórnandi
Probability (%),Líkur (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce vörur
Account Pay Only,Aðeins greiðsla
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Stilltu sjálfgefin gildi eins og fyrirtæki, gjaldeyri, núverandi reikningsár osfrv."
Time Tracking,Tími mælingar
Under Graduate,Námsmaður
Supplier Part No,Birgir nr
Party Balance,Samstæðan
Source of Funds (Liabilities),Uppspretta sjóðanna (Skuldir)
Taxable Salary Slabs,Skattskyld launakostnaður
Support Settings,Stuðningsstillingar
Please enter Production Item first,Vinsamlegast sláðu inn framleiðslu atriði fyrst
Grading Basis,Flokkunargrunnur
Basic Amount,Grunngildi
Pay To / Recd From,Borga til / Recd From
Scrap Material Cost,Úrgangur Efni Kostnaður
Received Quantity,Móttekið magn
Sales Person-wise Transaction Summary,Sala einstaklingsbundið viðskiptasamantekt
Actual Operating Cost,Raunverulegur rekstrarkostnaður
Mode of Payments,Greiðslumáti
Send to Subcontractor,Senda til undirverktaka
Select Shipping Address,Veldu sendingar heimilisfang
AB-,AB-
Project Summary for {0},Verkefnisyfirlit fyrir {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} er skylt að búa til endurgreiðslur, setja reitinn og reyna aftur"
Some emails are invalid,Sumir tölvupóstar eru ógildar
Calculate Depreciation,Reikna afskriftir
Term Name,Nafn heiti
Question,Spurning
Exemption Sub Category,Undanþága undirflokkur
More Details,Nánari upplýsingar
Earning,Earnings
Click Enter To Add,Smelltu á Enter til að bæta við
Employee Group,Starfshópur
Specify Exchange Rate to convert one currency into another,Tilgreindu gengi til að umbreyta einum gjaldmiðli í annan
Ageing Range 4,Aldursbil 4
Warehouse required for stock Item {0},Vöruhús krafist fyrir lager Item {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,Gat ekki leyst forsendur skora virka fyrir {0}. Gakktu úr skugga um að formúlan sé í gildi.
Include Reconciled Entries,Hafa samhæfðar færslur
Allow Zero Valuation Rate,Leyfa núgildandi verðmæti
Nothing more to show.,Ekkert meira að sýna.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",Skattflokki hefur verið breytt í &quot;Samtals&quot; vegna þess að allar atriðin eru hlutir sem ekki eru hlutir
Tax on flexible benefit,Skattur á sveigjanlegum ávinningi
This is based on the Time Sheets created against this project,Þetta byggist á tímaáætlunum sem skapast gegn þessu verkefni
Buying Rate,Kaupgengi
Type of Sample,Tegund sýni
Budget Accounts,Fjárhagsreikninga
Serial No {0} quantity {1} cannot be a fraction,Raðnúmer {0} magn {1} getur ekki verið brot
Stock In Hand,Lager í hendi
Wages,Laun
No leave record found for employee {0} for {1},Engin leyfi skrá fannst fyrir starfsmann {0} fyrir {1}
Accounts Receivable Unpaid Account,Viðskiptareikningur Ógreiddur reikningur
SGST Account,SGST reikningur
Half Day Date should be in between Work From Date and Work End Date,Hálft dags Dagsetning ætti að vera á milli vinnu frá dagsetningu og vinnslutíma
Applicable in the case of Employee Onboarding,Gildandi ef um er að ræða Starfsmaður um borð
Specified BOM {0} does not exist for Item {1},Tilgreint BOM {0} er ekki til fyrir lið {1}
Company (not Customer or Supplier) master.,Fyrirtæki (ekki viðskiptavinur eða birgir) meistari.
Sales Invoice Series,Sala Reikningur Series
Asset Movement record {0} created,Breytingaskrá eigna {0} búið til
Test Created,Próf búin til
Term Start Date,Upphafsdagur upphafs
Appointment {0} and Sales Invoice {1} cancelled,Skipun {0} og sölureikningur {1} fellur niður
Vehicle Number,Ökutækisnúmer
Your email address...,Netfangið þitt...
Include Default Book Entries,Innihalda sjálfgefnar bókfærslur
Activity Type,Tegund ferðar
Get Advances Paid,Fá framlag greitt
Gain/Loss Account on Asset Disposal,Hagnaður / Tap reikningur um eignar ráðstöfun
Voucher No,Voucher nr
Reorder level based on Warehouse,Endurskipuleggja stig byggt á vöruhúsi
"Stopped Work Order cannot be cancelled, Unstop it first to cancel",Stöðvuð vinnuskilyrði er ekki hægt að hætta við. Stöðva það fyrst til að hætta við
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Raðnúmer sem krafist er fyrir lið {1}. Þú hefur veitt {2}.
Customer Primary Contact,Tengiliður viðskiptavina
BOM Detail No,BOM-nr
Cash In Hand,Handbært fé
The holiday on {0} is not between From Date and To Date,Frídagur á {0} er ekki á milli dagsetningar og dagsetningar
