DocType: Accounting Period,Period Name,Numele perioadei
DocType: Employee,Salary Mode,Mod de salariu
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Înregistrare
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Parțial primite
DocType: Patient,Divorced,Divorțat/a
DocType: Support Settings,Post Route Key,Introduceți cheia de rutare
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Permiteți Element care trebuie adăugate mai multe ori într-o tranzacție
DocType: Content Question,Content Question,Întrebare de conținut
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Anulează Stivuitoare Vizitați {0} înainte de a anula acest revendicarea Garanție
DocType: Customer Feedback Table,Qualitative Feedback,Feedback calitativ
apps/erpnext/erpnext/config/education.py,Assessment Reports,Rapoarte de evaluare
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Conturi de primit cu reducere
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Anulat
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Produse consumator
DocType: Supplier Scorecard,Notify Supplier,Notificați Furnizor
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Vă rugăm să selectați Party Type primul
DocType: Item,Customer Items,Articole clientului
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,pasive
DocType: Project,Costing and Billing,Calculație a cheltuielilor și veniturilor
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Advance valuta contului ar trebui să fie aceeași ca moneda companiei {0}
DocType: QuickBooks Migrator,Token Endpoint,Token Endpoint
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Contul {0}: cont Părinte {1} nu poate fi un registru
DocType: Item,Publish Item to hub.erpnext.com,Publica Postul de hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Nu se poate găsi perioada activă de plecare
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Evaluare
DocType: Item,Default Unit of Measure,Unitatea de Măsură Implicita
DocType: SMS Center,All Sales Partner Contact,Toate contactele partenerului de vânzări
DocType: Department,Leave Approvers,Aprobatori Concediu
DocType: Employee,Bio / Cover Letter,Bio / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Caută articole ...
DocType: Patient Encounter,Investigations,Investigații
DocType: Restaurant Order Entry,Click Enter To Add,Faceți clic pe Enter to Add
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Valoare lipsă pentru parola, cheia API sau adresa URL pentru cumpărături"
DocType: Employee,Rented,Închiriate
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Toate conturile
