Pension Funds,Emeklilik fonları
Rounding Adjustment (Company Currency,Yuvarlama Düzeltme (Şirket Para Birimi)
Course is mandatory in row {0},{0} satırında ders zorunludur
Credit Account,Kredi hesabı
Submission Date,Teslim tarihi
Change Template Code,Şablon Kodunu Değiştir
Total Sanctioned Amount,Uygulanan Toplam Tutar
New Expenses,Yeni Giderler
Healthcare Practitioner not available on {0},Sağlık Uygulayıcısı {0} tarihinde mevcut değil
Transport Receipt No,Taşıma Fişi No
Administrative Officer,İdari Memur
Probability (%),Olasılık (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce Ürünleri
Account Pay Only,Sadece Hesap Ödeme
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Şirket, Para Birimi, Cari Mali Yıl, vb. Varsayılan Değerleri Ayarla"
Time Tracking,Zaman Takibi
Under Graduate,Lisans
Supplier Part No,Tedarikçi Parça No
Party Balance,Parti dengesi
Source of Funds (Liabilities),Fon Kaynağı (Borçlar)
Taxable Salary Slabs,Vergilendirilebilir Maaş Levhaları
Support Settings,Destek ayarları
Please enter Production Item first,Lütfen önce Üretim Öğesini girin
Grading Basis,Derecelendirme Tabanı
Basic Amount,Temel Tutar
Pay To / Recd From,Ödenen / Alınan
Scrap Material Cost,Hurda Malzeme Maliyeti
Received Quantity,Alınan Miktar
Sales Person-wise Transaction Summary,Satış Temsilcisi Satış İşlem Özeti
Actual Operating Cost,Gerçek İşletme Maliyeti
Mode of Payments,Ödeme şekli
Send to Subcontractor,Taşeron&#39;a Gönder
Select Shipping Address,Gönderi Adresini Seçin
AB-,AB-
Project Summary for {0},{0} için Proje Özeti
"{0} is mandatory for generating remittance payments, set the field and try again","{0}, havale ödemeleri oluşturmak, alanı ayarlamak ve yeniden denemek için zorunludur"
Some emails are invalid,Bazı e-postalar geçersiz
Calculate Depreciation,Amortismanı hesapla
Term Name,Terim Adı
Question,Soru
Exemption Sub Category,Muafiyet Alt Kategorisi
More Details,Daha fazla detay
Earning,Kazanç
Click Enter To Add,Eklemek için Enter tuşuna basın
Employee Group,Çalışan Grubu
Specify Exchange Rate to convert one currency into another,Bir para birimini diğerine dönüştürmek için Döviz Kurunu belirtin
Ageing Range 4,4 Yaşlanma Aralığı
Warehouse required for stock Item {0},Hisse senedi için gereken depo Öğe {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,{0} için ölçüt puan işlevi çözülemedi. Formülün geçerli olduğundan emin olun.
Include Reconciled Entries,Mutabakata Girdileri Dahil Et
Allow Zero Valuation Rate,Sıfır Değerleme Oranına İzin Ver
Nothing more to show.,Gösterecek başka bir şey yok.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Vergi Kategorisi &quot;Toplam&quot; olarak değiştirildi, çünkü tüm Kalemler stokta olmayan ürünlerdir"
Tax on flexible benefit,Esnek fayda vergisi
This is based on the Time Sheets created against this project,"Bu, bu projeye karşı oluşturulan zaman çizelgelerine dayanmaktadır."
Buying Rate,Alış oranı
Type of Sample,Numune türü
Budget Accounts,Bütçe Hesapları
Serial No {0} quantity {1} cannot be a fraction,Seri No {0} miktar {1} kesir olamaz
Stock In Hand,Elinde Stok
Wages,ücret
No leave record found for employee {0} for {1},{1} çalışanı için {0} çalışanı için kayıt bulunamadı.
Accounts Receivable Unpaid Account,Alacaksız Alacak Hesabı
SGST Account,SGST Hesabı
Half Day Date should be in between Work From Date and Work End Date,Yarım Gün Tarih İş Başlama Tarihi ile İş Bitiş Tarihi arasında olmalıdır.
Applicable in the case of Employee Onboarding,Çalışan Yerinde Çalışması Halinde Uygulanabilir
Specified BOM {0} does not exist for Item {1},"Belirtilen ürün listesi {0}, {1} maddesi için mevcut değil"
Company (not Customer or Supplier) master.,Şirket (Müşteri veya Tedarikçi değil) ana.
Sales Invoice Series,Satış faturası serisi
Asset Movement record {0} created,{0} Varlık Hareketi kaydı oluşturuldu
Test Created,Test Oluşturuldu
Term Start Date,Dönem Başlama Tarihi
Appointment {0} and Sales Invoice {1} cancelled,{0} randevusu ve {1} satış faturası iptal edildi
Vehicle Number,Araç numarası
Your email address...,E...
Include Default Book Entries,Varsayılan Kitap Girişlerini Dahil Et
Activity Type,Aktivite türü
Get Advances Paid,Ödenen Avansları Alın
Gain/Loss Account on Asset Disposal,Varlığın Elden Çıkarılmasında Kazanç / Zarar Hesabı
Voucher No,Fiş numarası
Reorder level based on Warehouse,Depo bazında yeniden sipariş seviyesi
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Durdurulmuş İş Emri iptal edilemez, ilk önce iptal etmek için Durdur"
