'Opening','Åbning'
Lead,Bly,
Default settings for selling transactions.,Standardindstillinger for at sælge transaktioner.
% Amount Billed,% Beløb Billed,
% Billed,% Billed,
Lead Id,Bly Id,
{0} {1} created,{0} {1} creado,
'Total','Total'
Selling Settings,Salg af indstillinger,
Selling Amount,Selling Beløb,
Lead must be set if Opportunity is made from Lead,"Bly skal indstilles, hvis Opportunity er lavet af Lead"
Default Selling Cost Center,Standard Selling Cost center,
90-Above,90-Above,
Selling,Selling,
%  Delivered,% Leveres,
Lead Owner,Bly Owner,
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Udgiftområde er obligatorisk for varen {2}
Tax template for selling transactions.,Skat skabelon til at sælge transaktioner.
 or ,o,
% of materials billed against this Sales Order,% Af materialer faktureret mod denne Sales Order,
All Lead (Open),Alle Bly (Open)
Get Updates,Hent opdateringer,
'Update Stock' can not be checked because items are not delivered via {0},"'Opdater lager' kan ikke markeres, varerne ikke leveres via {0}"
Standard Selling,Standard Selling,
Lead Details,Bly Detaljer,
Settings for Selling Module,Indstillinger for Selling modul,
Lead Name,Bly navn,
Half Yearly,Halvdelen Årlig,
"Attach .csv file with two columns, one for the old name and one for the new name","Vedhæfte .csv fil med to kolonner, en for det gamle navn og et til det nye navn"
