DocType: Accounting Period,Period Name,Názov obdobia
DocType: Employee,Salary Mode,Mode Plat
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Registrovať
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Čiastočne prijaté
DocType: Patient,Divorced,Rozvedený
DocType: Support Settings,Post Route Key,Pridať kľúč trasy
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,"Povoliť položky, ktoré sa pridávajú viackrát v transakcii"
DocType: Content Question,Content Question,Otázka obsahu
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Materiál Navštivte {0} před zrušením této záruční reklamaci Zrušit
DocType: Customer Feedback Table,Qualitative Feedback,Kvalitatívna spätná väzba
apps/erpnext/erpnext/config/education.py,Assessment Reports,Hodnotiace správy
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Zľavový účet pohľadávok
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,zrušený
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Zákaznícke produkty
DocType: Supplier Scorecard,Notify Supplier,Informujte dodávateľa
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,"Prosím, vyberte typ Party prvý"
DocType: Item,Customer Items,Zákaznícke položky
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,záväzky
DocType: Project,Costing and Billing,Kalkulácia a fakturácia
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Advance mena účtu by mala byť rovnaká ako mena spoločnosti {0}
DocType: QuickBooks Migrator,Token Endpoint,Koncový bod tokenu
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Účet {0}: Nadřazený účet {1} nemůže být hlavní kniha
DocType: Item,Publish Item to hub.erpnext.com,Publikování položku do hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Nedá sa nájsť aktívne obdobie neprítomnosti
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,ohodnotenie
DocType: Item,Default Unit of Measure,Predvolená merná jednotka
DocType: SMS Center,All Sales Partner Contact,Všechny Partneři Kontakt
DocType: Department,Leave Approvers,Schvaľovatelia priepustiek
DocType: Employee,Bio / Cover Letter,Bio / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Hľadať položky ...
DocType: Patient Encounter,Investigations,vyšetrovania
DocType: Restaurant Order Entry,Click Enter To Add,Kliknite na položku Zadat &#39;na pridanie
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Chýba hodnota hesla, kľúč API alebo URL predaja"
DocType: Employee,Rented,Pronajato
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Všetky účty
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Nie je možné previesť zamestnanca so stavom doľava
DocType: Vehicle Service,Mileage,Najazdené
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Naozaj chcete zrušiť túto pohľadávku?
DocType: Drug Prescription,Update Schedule,Aktualizovať plán
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Vybrať Predvolené Dodávateľ
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Zobraziť zamestnanca
DocType: Payroll Period,Standard Tax Exemption Amount,Suma štandardného oslobodenia od dane
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nový kurz
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Mena je vyžadovaná pre Cenník {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Bude vypočítané v transakcii.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Zákaznícky kontakt
DocType: Shift Type,Enable Auto Attendance,Povoliť automatickú účasť
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Zadajte sklad a dátum
DocType: Lost Reason Detail,Opportunity Lost Reason,Príležitosť stratila dôvod
DocType: Patient Appointment,Check availability,Skontrolovať dostupnosť
DocType: Retention Bonus,Bonus Payment Date,Dátum výplaty bonusu
DocType: Employee,Job Applicant,Job Žadatel
DocType: Job Card,Total Time in Mins,Celkový čas v minútach
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,To je založené na transakciách proti tomuto dodávateľovi. Pozri časovú os nižšie podrobnosti
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Percento nadprodukcie pre pracovnú objednávku
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Právne
DocType: Sales Invoice,Transport Receipt Date,Dátum príjmu dopravy
DocType: Shopify Settings,Sales Order Series,Séria objednávok
DocType: Vital Signs,Tongue,jazyk
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Aktuálny typ daň nemôže byť zahrnutý v cene Položka v riadku {0}
DocType: Allowed To Transact With,Allowed To Transact With,Povolené na transakciu s
DocType: Bank Guarantee,Customer,Zákazník
DocType: Purchase Receipt Item,Required By,Vyžadováno
DocType: Delivery Note,Return Against Delivery Note,Návrat Proti dodací list
DocType: Asset Category,Finance Book Detail,Detail knihy financií
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Všetky odpisy boli zaúčtované
DocType: Purchase Order,% Billed,% Fakturovaných
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Mzdové číslo
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Exchange Rate musí byť rovnaká ako {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Výnimka HRA
DocType: Sales Invoice,Customer Name,Meno zákazníka
DocType: Vehicle,Natural Gas,Zemný plyn
DocType: Project,Message will sent to users to get their status on the project,Správa sa odošle používateľom s cieľom získať ich stav v projekte
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Bankový účet nemôže byť pomenovaný {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA podľa platovej štruktúry
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Heads (nebo skupiny), proti nimž účetní zápisy jsou vyrobeny a stav je veden."
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Vynikající pro {0} nemůže být nižší než nula ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Dátum ukončenia servisu nemôže byť pred dátumom začiatku servisu
DocType: Manufacturing Settings,Default 10 mins,Predvolené 10 min
DocType: Leave Type,Leave Type Name,Nechte Typ Jméno
apps/erpnext/erpnext/templates/pages/projects.js,Show open,ukázať otvorené
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Řada Aktualizováno Úspěšně
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Odhlásiť sa
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} v riadku {1}
DocType: Asset Finance Book,Depreciation Start Date,Dátum začiatku odpisovania
DocType: Pricing Rule,Apply On,Aplikujte na
DocType: Item Price,Multiple Item prices.,Více ceny položku.
,Purchase Order Items To Be Received,Neprijaté položky odoslanej objednávky
DocType: SMS Center,All Supplier Contact,Vše Dodavatel Kontakt
DocType: Support Settings,Support Settings,nastavenie podporných
