DocType: Accounting Period,Period Name,Periodo pavadinimas
DocType: Employee,Salary Mode,Pajamos režimas
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Registruotis
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Iš dalies gauta
DocType: Patient,Divorced,išsiskyręs
DocType: Support Settings,Post Route Key,Paskelbti maršruto raktą
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Leisti punktas turi būti pridėtas kelis kartus iš sandorio
DocType: Content Question,Content Question,Turinio klausimas
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Atšaukti medžiaga Apsilankymas {0} prieš panaikinant šį garantinės pretenzijos
DocType: Customer Feedback Table,Qualitative Feedback,Kokybiniai atsiliepimai
apps/erpnext/erpnext/config/education.py,Assessment Reports,Vertinimo ataskaitos
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Gautinos sąskaitos su nuolaida
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Atšauktas
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Vartotojų gaminiai
DocType: Supplier Scorecard,Notify Supplier,Pranešti tiekėjui
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Prašome pasirinkti šalies tipo pirmas
DocType: Item,Customer Items,klientų daiktai
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Įsipareigojimai
DocType: Project,Costing and Billing,Sąnaudų ir atsiskaitymas
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Išankstinio sąskaitos valiuta turi būti tokia pati kaip ir įmonės valiuta {0}
DocType: QuickBooks Migrator,Token Endpoint,Tokeno galutinis taškas
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Sąskaita {0}: Tėvų sąskaitą {1} negali būti knygos
DocType: Item,Publish Item to hub.erpnext.com,Paskelbti Prekę hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Nepavyko rasti aktyvios palikimo laikotarpio
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,vertinimas
DocType: Item,Default Unit of Measure,Numatytasis matavimo vienetas
DocType: SMS Center,All Sales Partner Contact,Visos pardavimo partnerė Susisiekite
DocType: Department,Leave Approvers,Palikite Approvers
DocType: Employee,Bio / Cover Letter,Bio / motyvacinis laiškas
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Ieškoti elementų ...
DocType: Patient Encounter,Investigations,Tyrimai
DocType: Restaurant Order Entry,Click Enter To Add,Spustelėkite &quot;Įtraukti&quot;
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Trūksta slaptažodžio, API klavišo arba Shopify URL vertės"
DocType: Employee,Rented,nuomojamos
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Visos sąskaitos
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Negalima perkelti Darbuotojo statuso į kairę
DocType: Vehicle Service,Mileage,Rida
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Ar tikrai norite atsisakyti šios turtą?
DocType: Drug Prescription,Update Schedule,Atnaujinti tvarkaraštį
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Pasirinkti Default Tiekėjas
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Rodyti darbuotoją
DocType: Payroll Period,Standard Tax Exemption Amount,Standartinė neapmokestinimo suma
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Naujas kursas
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Valiutų reikia kainoraščio {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Bus apskaičiuojama sandorį.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Klientų Susisiekite
DocType: Shift Type,Enable Auto Attendance,Įgalinti automatinį lankymą
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Įveskite Sandėlį ir datą
DocType: Lost Reason Detail,Opportunity Lost Reason,Galimybė prarasti priežastį
DocType: Patient Appointment,Check availability,Patikrinkite užimtumą
DocType: Retention Bonus,Bonus Payment Date,Premijos mokėjimo data
DocType: Employee,Job Applicant,Darbas Pareiškėjas
DocType: Job Card,Total Time in Mins,Bendras laikas minutėmis
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Tai grindžiama sandorių atžvilgiu šis tiekėjas. Žiūrėti grafikas žemiau detales
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Perprodukcijos procentas už darbo tvarką
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,juridinis
DocType: Sales Invoice,Transport Receipt Date,Transporto gavimo data
DocType: Shopify Settings,Sales Order Series,Pardavimo užsakymų serija
DocType: Vital Signs,Tongue,Liežuvis
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Tikrasis tipas mokestis negali būti įtrauktos prekės lygis eilės {0}
DocType: Allowed To Transact With,Allowed To Transact With,Leidžiama sudaryti sandorius su
DocType: Bank Guarantee,Customer,klientas
DocType: Purchase Receipt Item,Required By,reikalaujama pagal
DocType: Delivery Note,Return Against Delivery Note,Grįžti Prieš važtaraštyje
DocType: Asset Category,Finance Book Detail,Finansų knygos detalės
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Visi nusidėvėjimai buvo užregistruoti
DocType: Purchase Order,% Billed,% Sąskaitos pateiktos
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Darbo užmokesčio numeris
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),"Valiutų kursai turi būti toks pat, kaip {0} {1} ({2})"
DocType: Employee Tax Exemption Declaration,HRA Exemption,Atleidimas nuo HRA
DocType: Sales Invoice,Customer Name,Klientas
DocType: Vehicle,Natural Gas,Gamtinių dujų
DocType: Project,Message will sent to users to get their status on the project,"Vartotojams bus išsiųstas pranešimas, kad jie gautų savo statusą projekte"
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Banko sąskaita negali būti vadinamas {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA pagal darbo užmokesčio struktūrą
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Vadovai (ar jų grupės), pagal kurį apskaitos įrašai yra pagaminti ir likučiai išlieka."
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Neįvykdyti {0} negali būti mažesnė už nulį ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Paslaugų sustojimo data negali būti prieš Paslaugų pradžios datą
DocType: Manufacturing Settings,Default 10 mins,Numatytasis 10 min
DocType: Leave Type,Leave Type Name,Palikite Modelio pavadinimas
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Rodyti atvira
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Serija Atnaujinta sėkmingai
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Užsakymas
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} eilutėje {1}
DocType: Asset Finance Book,Depreciation Start Date,Nusidėvėjimo pradžios data
DocType: Pricing Rule,Apply On,taikyti ant
DocType: Item Price,Multiple Item prices.,Keli punktas kainos.
,Purchase Order Items To Be Received,Pirkimui užsakyti prekes bus gauta
DocType: SMS Center,All Supplier Contact,Visi tiekėju Kontaktai Reklama
DocType: Support Settings,Support Settings,paramos Nustatymai
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Paskyra {0} pridedama vaikų įmonėje {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Netinkami kredencialai
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC yra prieinamas (ar visa jo dalis)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazonės MWS nustatymai
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Apmokėjimo kvitai
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,"Eilutės # {0}: dydis turi būti toks pat, kaip {1} {2} ({3} / {4})"
,Batch Item Expiry Status,Serija punktas Galiojimo Būsena
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,bankas projektas
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Iš viso vėlyvų įrašų
DocType: Mode of Payment Account,Mode of Payment Account,mokėjimo sąskaitos režimas
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konsultacijos
DocType: Accounts Settings,Show Payment Schedule in Print,Rodyti mokėjimo grafiką Spausdinti
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Prekės variantai atnaujinti
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Pardavimai ir grąžinimai
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Rodyti Variantai
DocType: Academic Term,Academic Term,Akademinė semestras
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Darbuotojų atleidimo nuo mokesčio sub kategorija
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Prašome nustatyti adresą įmonėje „% s“
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,medžiaga
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Maksimali išmoka darbuotojui {0} viršija {1} iš išmokos paraiškos proporcingo komponento sumos {2} sumos ir ankstesnio reikalaujamo dydžio sumos
DocType: Opening Invoice Creation Tool Item,Quantity,kiekis
,Customers Without Any Sales Transactions,"Klientai, neturintys jokių pardavimo sandorių"
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Sąskaitos lentelė gali būti tuščias.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,"Norėdami apskaičiuoti numatomą atvykimo laiką, naudokite „Google Maps“ krypties API"
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Paskolos (įsipareigojimai)
DocType: Patient Encounter,Encounter Time,Susitikimo laikas
DocType: Staffing Plan Detail,Total Estimated Cost,Bendra numatoma kaina
DocType: Employee Education,Year of Passing,Metus artimųjų
DocType: Routing,Routing Name,Maršruto pavadinimas
DocType: Item,Country of Origin,Kilmės šalis
DocType: Soil Texture,Soil Texture Criteria,Dirvožemio tekstūros kriterijai
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Prekyboje
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Pagrindinė kontaktinė informacija
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Atviri klausimai
DocType: Production Plan Item,Production Plan Item,Gamybos planas punktas
DocType: Leave Ledger Entry,Leave Ledger Entry,Palikite knygos įrašą
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Vartotojas {0} jau priskirtas Darbuotojo {1}
DocType: Lab Test Groups,Add new line,Pridėti naują eilutę
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Sukurti šviną
DocType: Production Plan,Projected Qty Formula,Numatoma „Qty“ formulė
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Sveikatos apsauga
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Delsimas mokėjimo (dienomis)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Apmokėjimo sąlygos Šablono detalės
DocType: Hotel Room Reservation,Guest Name,Svečio vardas
DocType: Delivery Note,Issue Credit Note,Kredito pastaba
DocType: Lab Prescription,Lab Prescription,Lab receptas
,Delay Days,Vėlavimo dienos
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Paslaugų išlaidų
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Serijos numeris: {0} jau yra nuorodos į pardavimo sąskaita-faktūra: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,faktūra
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Didžiausia neapmokestinama suma
DocType: Purchase Invoice Item,Item Weight Details,Prekės svarumo duomenys
DocType: Asset Maintenance Log,Periodicity,periodiškumas
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Finansiniai metai {0} reikalingas
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Grynasis pelnas / nuostolis
DocType: Employee Group Table,ERPNext User ID,„ERPNext“ vartotojo ID
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Mažiausias atstumas tarp augalų eilučių siekiant optimalaus augimo
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,"Pasirinkite „Patient“, kad gautumėte paskirtą procedūrą"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,apsauga
DocType: Salary Component,Abbr,Santr.
DocType: Appraisal Goal,Score (0-5),Rezultatas (0-5)
DocType: Tally Migration,Tally Creditors Account,Tally kreditorių sąskaita
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Eilutės {0}: {1} {2} nesutampa su {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Eilutės # {0}:
DocType: Timesheet,Total Costing Amount,Iš viso Sąnaudų suma
DocType: Sales Invoice,Vehicle No,Automobilio Nėra
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Prašome pasirinkti Kainoraštis
DocType: Accounts Settings,Currency Exchange Settings,Valiutos keitimo nustatymai
DocType: Work Order Operation,Work In Progress,Darbas vyksta
DocType: Leave Control Panel,Branch (optional),Filialas (neprivaloma)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Eilutė {0}: vartotojas dar taikoma taisyklė <b>{1}</b> ant elemento <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Prašome pasirinkti datą
DocType: Item Price,Minimum Qty ,Minimalus kiekis
DocType: Finance Book,Finance Book,Finansų knyga
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Atostogų sąrašas
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Apžvalga ir veiksmas
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Šis darbuotojas jau turi žurnalą su ta pačia laiko žyma. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,buhalteris
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Pardavimo kainoraštis
DocType: Patient,Tobacco Current Use,Tabako vartojimas
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Pardavimo norma
DocType: Cost Center,Stock User,akcijų Vartotojas
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Kontaktinė informacija
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Ieškok nieko ...
DocType: Company,Phone No,Telefonas Nėra
DocType: Delivery Trip,Initial Email Notification Sent,Išsiunčiamas pradinis el. Pašto pranešimas
DocType: Bank Statement Settings,Statement Header Mapping,Pareiškimų antraštės žemėlapiai
,Sales Partners Commission,Pardavimų Partneriai Komisija
DocType: Soil Texture,Sandy Clay Loam,Smėlio molio nuosėdos
DocType: Purchase Invoice,Rounding Adjustment,Apvalinimo reguliavimas
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Santrumpa negali būti ilgesnė už 5 simbolius
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,mokėjimo prašymas
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Norėdami peržiūrėti Klientui priskirtus lojalumo taškų žurnalus.
DocType: Asset,Value After Depreciation,Vertė po nusidėvėjimo
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Darbo užsakyme {1} nerastas perduotas {0} daiktas, prekė nepridėta sandėlyje"
DocType: Student,O+,O+
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Susijęs
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,"Lankomumas data negali būti mažesnė nei darbuotojo, jungiančia datos"
DocType: Grading Scale,Grading Scale Name,Vertinimo skalė Vardas
DocType: Employee Training,Training Date,Mokymo data
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Pridėkite vartotojų prie &quot;Marketplace&quot;
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Tai šaknys sąskaita ir negali būti redaguojami.
DocType: POS Profile,Company Address,Kompanijos adresas
DocType: BOM,Operations,operacijos
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Negalima nustatyti leidimo pagrindu Nuolaida {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,„e-Way Bill JSON“ negali būti sugeneruotas pardavimo grąžai
DocType: Subscription,Subscription Start Date,Prenumeratos pradžios data
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Numatytos gautinos sąskaitos, kurios bus naudojamos, jei nenustatytos Pacientui, kad galėtumėte užsisakyti paskyrimo mokesčius."
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Prisegti .csv failą su dviem stulpeliais, po vieną seną pavadinimą ir vieną naują vardą"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Nuo adreso 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Gaukite išsamią informaciją iš deklaracijos
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} jokiu aktyviu finansinius metus.
DocType: Packed Item,Parent Detail docname,Tėvų Išsamiau DOCNAME
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Nuoroda: {0}, Prekės kodas: {1} ir klientų: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} nėra patronuojančioje įmonėje
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Bandymo pabaigos data negali būti prieš bandomojo laikotarpio pradžios datą
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kilogramas
DocType: Tax Withholding Category,Tax Withholding Category,Mokestinių pajamų kategorija
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Pirmiausia atšaukite žurnalo įrašą {0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM nėra nurodyta subrangos elementui {0} eilutėje {1}
DocType: Vital Signs,Reflexes,Refleksai
