Pension Funds,Mirovinski fondovi
Rounding Adjustment (Company Currency,Prilagodba zaokruživanja (valuta tvrtke
Course is mandatory in row {0},Tečaj je obavezan u retku {0}
Credit Account,Kreditni račun
Submission Date,Datum podnošenja
Change Template Code,Promijeni kôd predloška
Total Sanctioned Amount,Ukupni sankcionirani iznos
New Expenses,Novi troškovi
Healthcare Practitioner not available on {0},Zdravstveni radnik nije dostupan na {0}
Transport Receipt No,Zapisnik o prijevozu br
Administrative Officer,Upravni službenik
Probability (%),Vjerojatnost (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce proizvodi
Account Pay Only,Samo plaćanje računa
Cess,Uspjeh
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Postavi zadane vrijednosti poput tvrtke, valute, tekuće fiskalne godine itd."
Time Tracking,Praćenje vremena
Under Graduate,Pod diplomom
Supplier Part No,Broj dijela dobavljača
Party Balance,Balans stranke
Source of Funds (Liabilities),Izvor sredstava (obveza)
Taxable Salary Slabs,Oporezive plaće za plaće
Support Settings,Postavke podrške
Please enter Production Item first,Najprije unesite proizvodnu stavku
Grading Basis,Osnova ocjenjivanja
Basic Amount,Osnovni iznos
Pay To / Recd From,Plaćanje / povrat od
Scrap Material Cost,Trošak materijala za otpad
Received Quantity,Primljena količina
Sales Person-wise Transaction Summary,Sažetak transakcija s prodajnim osobama
Actual Operating Cost,Stvarni operativni troškovi
Mode of Payments,Način plaćanja
Send to Subcontractor,Pošalji podizvođaču
Select Shipping Address,Odaberite Adresa dostave
AB-,AB
Project Summary for {0},Sažetak projekta za {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} je obavezan za generiranje uplata doznake, postavite polje i pokušajte ponovno"
Some emails are invalid,Neke poruke e-pošte nisu važeće
Calculate Depreciation,Izračunaj amortizaciju
Term Name,Naziv naziva
Question,Pitanje
Exemption Sub Category,Podkategorija izuzeća
More Details,Više detalja
Earning,zarađivanje
Click Enter To Add,Kliknite Unos za dodavanje
Employee Group,Grupa zaposlenika
Specify Exchange Rate to convert one currency into another,Navedite tečaj za pretvorbu jedne valute u drugu
Ageing Range 4,Raspon starenja 4
Warehouse required for stock Item {0},Potrebna skladišta za zalihe Stavka {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,Nije moguće riješiti funkciju ocjene kriterija za {0}. Provjerite je li formula valjana.
Include Reconciled Entries,Uključi usklađene unose
Allow Zero Valuation Rate,Dopusti brzinu nulte vrijednosti
Nothing more to show.,Ništa više za pokazati.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",Porezna kategorija je promijenjena u &quot;Ukupno&quot; jer su sve stavke stavke koje nisu u zalihama
Tax on flexible benefit,Porez na fleksibilnu naknadu
This is based on the Time Sheets created against this project,To se temelji na vremenskim tablicama kreiranim za ovaj projekt
Buying Rate,Stopa kupnje
Type of Sample,Vrsta uzorka
Budget Accounts,Računi proračuna
Serial No {0} quantity {1} cannot be a fraction,Serijska brojka {0} {1} ne može biti dio
Stock In Hand,Stock in Hand
Wages,plaće
No leave record found for employee {0} for {1},Nije pronađen zapis za zaposlenika {0} za {1}
Accounts Receivable Unpaid Account,Neplaćeni račun potraživanja
SGST Account,SGST račun
Half Day Date should be in between Work From Date and Work End Date,Datum polu-dana trebao bi biti između radnog datuma i datuma završetka posla
Applicable in the case of Employee Onboarding,Primjenjivo u slučaju zaposlenika
Specified BOM {0} does not exist for Item {1},Navedena sastavnica {0} ne postoji za stavku {1}
Company (not Customer or Supplier) master.,Tvrtka (ne kupac ili dobavljač).
Sales Invoice Series,Serija dostavnica za prodaju
Asset Movement record {0} created,Zapis pokreta snimljenog materijala {0} je izrađen
Test Created,Test je izrađen
Term Start Date,Datum početka razdoblja
Appointment {0} and Sales Invoice {1} cancelled,Sastanak {0} i dostavnica-faktura {1} otkazana
Vehicle Number,Broj vozila
Your email address...,Vaša email adresa...
Include Default Book Entries,Uključi zadane unose u knjigu
Activity Type,Vrsta aktivnosti
Get Advances Paid,Plaćeni predujmi
Gain/Loss Account on Asset Disposal,Račun dobiti / gubitka na raspolaganju
Voucher No,Kupon br
Reorder level based on Warehouse,Promjena razine na temelju skladišta
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Zaustavljeni radni nalog ne može se poništiti, prvo ga poništite kako biste otkazali"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Serijski brojevi potrebni za stavku {1}. Dali ste {2}.
Customer Primary Contact,Primarni kontakt klijenta
BOM Detail No,Pojedinosti o sastavnici
Cash In Hand,Novac u ruci
The holiday on {0} is not between From Date and To Date,Odmor na {0} nije između datuma i datuma
Lead must be set if Opportunity is made from Lead,Olovo mora biti postavljeno ako je mogućnost izrađena od olova
Account with existing transaction can not be converted to group.,Račun s postojećom transakcijom ne može se pretvoriti u skupinu.
Timesheet {0} is already completed or cancelled,Timesheet {0} je već dovršen ili otkazan
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Standardni uvjeti i odredbe koji se mogu dodati prodaji i kupnji. Primjeri: 1. Valjanost ponude. 1. Uvjeti plaćanja (unaprijed, na kredit, dio unaprijed itd.). 1. Što je dodatno (ili plaća Kupac). 1. Upozorenje o sigurnosti / uporabi. 1. Jamstvo ako postoji. 1. Politika povrata sredstava. 1. Uvjeti dostave, ako je primjenjivo. 1. Načini rješavanja sporova, odšteta, odgovornosti itd. 1. Adresa i kontakt vaše tvrtke."
Leave Status Notification,Ostavite obavijest o statusu
Designation Skill,Oznaka Vještina
Quantity required for Item {0} in row {1},Količina potrebna za stavku {0} u retku {1}
"To filter based on Party, select Party Type first","Da biste filtrirali na temelju Stranke, najprije odaberite Vrsta stranke"
No Salary Structure assigned for Employee {0} on given date {1},Struktura plaće nije dodijeljena zaposleniku {0} na navedeni datum {1}
Number,Broj
Separate course based Group for every Batch,Za svaku seriju zasebna grupa koja se temelji na tečaju
Require Lab Test Approval,Potrebno je odobrenje laboratorijskog ispitivanja
Update Clearance Date,Datum ažuriranja ažuriranja
Import Chart of Accounts from a csv file,Uvezite grafikon računa iz CSV datoteke
"Support for public app is deprecated. Please setup private app, for more details refer user manual","Podrška za javnu aplikaciju je zastarjela. Postavite privatnu aplikaciju, a više pojedinosti potražite u korisničkom priručniku"
Signed,Potpisan
Terms and Conditions1,Uvjeti i odredbe1
Please select Employee Record first.,Najprije odaberite Zapis zaposlenika.
Password policy for Salary Slips is not set,Pravila za zaporke za isplate plaća nisu postavljena
Result HTML,Rezultat HTML
Ignore holidays,Zanemari praznike
Linked Soil Texture,Povezana tekstura tla
This is based on logs against this Vehicle. See timeline below for details,To se temelji na zapisnicima o ovom vozilu. Detalje potražite u donjoj crti
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
Emergency Contact,Kontakt za hitne slučajeve
Authorization URL,URL autorizacije
On Leave,Na odlasku
Show a slideshow at the top of the page,Prikaži dijaprojekciju na vrhu stranice
Payer Settings,Postavke platitelja
Set Tax Rule for shopping cart,Postavite porezno pravilo za košaricu
In Production,U proizvodnji
Payment References,Reference plaćanja
Valid Till,Valjan do
{0}: From {0} of type {1},{0}: Iz {0} vrste {1}
Project Name,naziv projekta
Stock Qty,Količina zaliha
Child Item should not be a Product Bundle. Please remove item `{0}` and save,Child Item ne bi trebao biti skup proizvoda. Uklonite stavku `{0}` i spremite
Response Result Key Path,Ključna staza rezultata rezultata
Fully Sponsored,Potpuno sponzoriran
Not permitted. Please disable the Service Unit Type,Nije dopušteno. Isključite vrstu jedinice usluge
Offline POS Settings,Offline POS postavke
Calculations,izračuni
Material Requested,Traženi materijal
Reference Row,Referentni redak
Annual Allocation,Godišnja dodjela
Subcontract,Podugovor
Valuation type charges can not marked as Inclusive,Naknade za vrstu vrednovanja ne mogu biti označene kao inkluzivne
Account {0}: Parent account {1} does not belong to company: {2},Račun {0}: nadređeni račun {1} ne pripada tvrtki: {2}
Failed to login,Prijava nije uspjela
Items and Pricing,Stavke i cijene
Payment Terms Template,Predložak uvjeta plaćanja
Previous Work Experience,Prethodno radno iskustvo
Program,Program
Healthcare,Zdravstvo
Complaint,prigovor
Restrict to Countries,Ograničite na zemlje
Item Manager,Upravitelj stavki
Currency of the Closing Account must be {0},Valuta završnog računa mora biti {0}
Opening Invoice Item,Otvaranje stavke dostavnice
Plan material for sub-assemblies,Planirajte materijal za podsklopove
Hardware,Hardver
Action if Annual Budget Exceeded on MR,Akcija ako je godišnji proračun premašen na MR
Advance Amount,Iznos unaprijed
Against Sales Invoice Item,Protiv stavke dostavnice
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Include Item In Manufacturing,Uključi stavku u proizvodnji
Check in (group),Prijava (grupa)
Do not show any symbol like $ etc next to currencies.,Nemojte prikazivati znakove poput $ etc pored valuta.
Salary Component Type,Vrsta komponente plaća
The shareholder does not belong to this company,Dioničar ne pripada ovom društvu
Day(s) after the end of the invoice month,Dan (a) nakon završetka mjeseca računa
Vehicle Type,tip vozila
Healthcare Administrator,Zdravstveni administrator
Single Transaction Threshold,Prag pojedinačne transakcije
Broadcasting,radiodifuzija
Post Title Key,Ključ naslova posta
Customer Primary Address,Primarna adresa klijenta
Please select batches for batched item ,Odaberite serije za isporučenu stavku
Min Qty,Min. Kom
Payment Deductions or Loss,Odbitak plaćanja ili gubitak
On Item Quantity,Na stavci količina
Replace BOM and update latest price in all BOMs,Zamijenite BOM i ažurirajte najnoviju cijenu u svim sastavnicama
Both Trial Period Start Date and Trial Period End Date must be set,Moraju se postaviti i početni datum probnog razdoblja i datum probnog razdoblja
No time sheets,Nema vremenskih listova
Statement Header Mapping,Mapiranje zaglavlja izjave
Mark Half Day,Označi pola dana
Material Transfer for Manufacture,Prijenos materijala za proizvodnju
Block Supplier,Dobavljač bloka
Please enter Woocommerce Server URL,Unesite URL poslužitelja Woocommerce
From Place,S mjesta
No contacts with email IDs found.,Nisu pronađeni kontakti s ID-ovima e-pošte.
Consumption Invoiced,Fakturirana potrošnja
Requested Quantity,Tražena količina
Exit,Izlaz
Dispatch Information,Informacije o otpremi
Basic Amount (Company Currency),Osnovni iznos (valuta tvrtke)
Selling Settings,Postavke prodaje
A question must have more than one options,Pitanje mora imati više od jedne opcije
Please set the Date Of Joining for employee {0},Postavite datum pridruživanja za zaposlenika {0}
About your company,O vašoj tvrtki
Fiscal Year {0} does not exist,Fiskalna godina {0} ne postoji
Leave Application,Napusti aplikaciju
Maintenance Log,Dnevnik održavanja
Invalid Posting Time,Nevažeće vrijeme slanja
Discount,Popust
Redeem Loyalty Points,Iskupite bodove lojalnosti
Quotation Series,Serija ponuda
Occupation,Okupacija
Opening Stock,Otvaranje dionice
Supplier Score,Ocjena dobavljača
Only show Items from these Item Groups,Prikaži samo stavke iz ovih grupa stavki
Time In Mins,Vrijeme u min
Item {0} does not exist in the system or has expired,Stavka {0} ne postoji u sustavu ili je istekla
Price Discount Scheme,Shema popusta na cijene
Hyper,Hiper
What does it do?,Što to radi?
Sales Invoice Trends,Trendovi dostavnice
Payment Entries,Unosi za plaćanje
Class / Percentage,Klasa / postotak
Electronic Invoice Register,Elektronički registar računa
Is Return (Credit Note),Je li povrat (kreditna napomena)
Lab Test Sample,Uzorak laboratorijskog ispitivanja
status html,status html
"For e.g. 2012, 2012-13","Za npr. 2012, 2012-13"
disabled user,onemogućen korisnik
ES,ES
Warehouse Type,Vrsta skladišta
Quick Journal Entry,Brzi unos u dnevnik
Consumed Amount,Potrošeni iznos
Already completed,Već je dovršeno
Pending Amount,Iznos na čekanju
Warn RFQs,Upozorenje RFQ
Lab Prescription,Lab recept
Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Redoslijed amortizacije {0}: Sljedeći datum amortizacije ne može biti prije datuma dostupnog za uporabu
USD,USD
"Asset {0} cannot be scrapped, as it is already {1}",Svojstvo {0} ne može biti ukinuto jer je već {1}
Departure Time,Vrijeme polaska
Donor Type,Vrsta donora
Monthly Sales Target,Mjesečni cilj prodaje
Redemption Date,Datum otkupa
Approving User cannot be same as user the rule is Applicable To,Odobravanje korisnika ne može biti isto kao što je pravilo koje se primjenjuje na
Fee Schedule Student Group,Raspored naknada Studentska grupa
 From Date can not be greater than To Date,Datum ne može biti veći od datuma
Please specify a {0},Navedite {0}
To GSTIN,Za GSTIN
The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.,Datum završetka termina ne može biti ranije od datuma početka termina. Ispravite datume i pokušajte ponovno.
No Employee Found,Nije pronađen nijedan zaposlenik
Exemption Category,Kategorija izuzeća
Create Disbursement Entry,Stvorite unos isplate
Purpose must be one of {0},Svrha mora biti jedna od {0}
Last Activity ,Zadnja aktivnost
A link to all the Locations in which the Crop is growing,Veza sa svim mjestima na kojima raste usjeva
Course Enrollment {0} does not exists,Upis u tečaj {0} ne postoji
Maximum leave allowed in the leave type {0} is {1},Maksimalni dopušteni dopust u vrsti odsustva {0} je {1}
Qty to Transfer,Količina za prijenos
Please identify/create Account (Group) for type - {0},Prepoznajte / stvorite račun (grupu) za vrstu - {0}
Please set default customer group and territory in Selling Settings,Postavite zadanu grupu korisnika i teritorij u postavkama prodaje
There isn't any item variant for the selected item,Za odabranu stavku ne postoji varijanta stavke
Contract Details,Detalji ugovora
"Select, to make the customer searchable with these fields","Odaberite, kako bi korisnik mogao pretraživati s tim poljima"
Total Actual,Ukupna stvarna
