DocType: Accounting Period,Period Name,Όνομα περιόδου
DocType: Employee,Salary Mode,Λειτουργία Μισθός
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Κανω ΕΓΓΡΑΦΗ
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Εν μέρει παραλήφθηκε
DocType: Patient,Divorced,Διαζευγμένος
DocType: Support Settings,Post Route Key,Κλειδί διαδρομής μετά
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Επιτρέψτε στοιχείου να προστεθούν πολλές φορές σε μια συναλλαγή
DocType: Content Question,Content Question,Ερώτηση περιεχομένου
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Ακύρωση επίσκεψης {0} πριν από την ακύρωση αυτής της αίτησης εγγύησης
DocType: Customer Feedback Table,Qualitative Feedback,Ποιοτική ανάδραση
apps/erpnext/erpnext/config/education.py,Assessment Reports,Εκθέσεις αξιολόγησης
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Απαιτούμενος Λογαριασμός Εισπρακτέων Λογαριασμών
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Ακυρώθηκε
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Καταναλωτικά προϊόντα
DocType: Supplier Scorecard,Notify Supplier,Ειδοποιήστε τον προμηθευτή
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Επιλέξτε Τύπος Πάρτυ πρώτη
DocType: Item,Customer Items,Είδη πελάτη
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Υποχρεώσεις
DocType: Project,Costing and Billing,Κοστολόγηση και Τιμολόγηση
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Το νόμισμα προπληρωμένου λογαριασμού θα πρέπει να είναι ίδιο με το νόμισμα της εταιρείας {0}
DocType: QuickBooks Migrator,Token Endpoint,Σημείο τελικού σημείου
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Ο λογαριασμός {0}: γονικός λογαριασμός {1} δεν μπορεί να είναι καθολικός
DocType: Item,Publish Item to hub.erpnext.com,Δημοσίευση είδους στο hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Δεν είναι δυνατή η εύρεση ενεργής περιόδου άδειας
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Αξιολόγηση
DocType: Item,Default Unit of Measure,Προεπιλεγμένη μονάδα μέτρησης
DocType: SMS Center,All Sales Partner Contact,Όλες οι επαφές συνεργάτη πωλήσεων
DocType: Department,Leave Approvers,Υπεύθυνοι έγκρισης άδειας
DocType: Employee,Bio / Cover Letter,Βιογραφικό / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Στοιχεία αναζήτησης ...
DocType: Patient Encounter,Investigations,Διερευνήσεις
DocType: Restaurant Order Entry,Click Enter To Add,Κάντε κλικ στο Enter to Add
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Λείπει τιμή για τον κωδικό πρόσβασης, το κλειδί API ή τη διεύθυνση URL του Shopify"
DocType: Employee,Rented,Νοικιασμένο
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Όλοι οι λογαριασμοί
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Δεν είναι δυνατή η μεταφορά υπαλλήλου με κατάσταση αριστερά
