DocType: Accounting Period,Period Name,Název období
DocType: Employee,Salary Mode,Mode Plat
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Registrovat
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Částečně přijato
DocType: Patient,Divorced,Rozvedený
DocType: Support Settings,Post Route Key,Zadejte klíč trasy
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,"Povolit položky, které se přidávají vícekrát v transakci"
DocType: Content Question,Content Question,Obsahová otázka
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Materiál Navštivte {0} před zrušením této záruční reklamaci Zrušit
DocType: Customer Feedback Table,Qualitative Feedback,Kvalitativní zpětná vazba
apps/erpnext/erpnext/config/education.py,Assessment Reports,Zprávy o hodnocení
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Účty pohledávek se slevou
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Zrušeno
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Spotřební zboží
DocType: Supplier Scorecard,Notify Supplier,Informujte dodavatele
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,"Prosím, vyberte typ Party první"
DocType: Item,Customer Items,Zákazník položky
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Pasiva
DocType: Project,Costing and Billing,Kalkulace a fakturace
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Advance měna účtu by měla být stejná jako měna společnosti {0}
DocType: QuickBooks Migrator,Token Endpoint,Koncový bod tokenu
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Účet {0}: Nadřazený účet {1} nemůže být hlavní kniha
DocType: Item,Publish Item to hub.erpnext.com,Publikování položku do hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Nelze najít aktivní období dovolené
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,ohodnocení
DocType: Item,Default Unit of Measure,Výchozí Měrná jednotka
DocType: SMS Center,All Sales Partner Contact,Všechny Partneři Kontakt
DocType: Department,Leave Approvers,Schvalovatelé dovolených
DocType: Employee,Bio / Cover Letter,Bio / krycí dopis
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Prohledat položky ...
DocType: Patient Encounter,Investigations,Vyšetřování
DocType: Restaurant Order Entry,Click Enter To Add,Klepněte na tlačítko Zadat pro přidání
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Chybějící hodnota pro heslo, klíč API nebo URL obchodu"
DocType: Employee,Rented,Pronajato
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Všechny účty
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Nelze přenést zaměstnance se stavem doleva
DocType: Vehicle Service,Mileage,Najeto
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Opravdu chcete zrušit tuto pohledávku?
DocType: Drug Prescription,Update Schedule,Aktualizovat plán
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Vybrat Výchozí Dodavatel
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Zobrazit zaměstnance
DocType: Payroll Period,Standard Tax Exemption Amount,Standardní částka osvobození od daně
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nový směnný kurz
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Měna je vyžadováno pro Ceníku {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Bude se vypočítá v transakci.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Kontakt se zákazníky
DocType: Shift Type,Enable Auto Attendance,Povolit automatickou účast
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Zadejte prosím sklad a datum
DocType: Lost Reason Detail,Opportunity Lost Reason,Příležitost Ztracený důvod
DocType: Patient Appointment,Check availability,Zkontrolujte dostupnost
DocType: Retention Bonus,Bonus Payment Date,Bonus Datum platby
DocType: Employee,Job Applicant,Job Žadatel
DocType: Job Card,Total Time in Mins,Celkový čas v minách
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,To je založeno na transakcích proti tomuto dodavateli. Viz časovou osu níže podrobnosti
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Procento nadvýroby pro pracovní pořadí
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Právní
DocType: Sales Invoice,Transport Receipt Date,Datum přijetí dopravy
DocType: Shopify Settings,Sales Order Series,Série objednávek
DocType: Vital Signs,Tongue,Jazyk
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Aktuální typ daň nemůže být zahrnutý v ceně Položka v řádku {0}
DocType: Allowed To Transact With,Allowed To Transact With,Povoleno k transakci s
DocType: Bank Guarantee,Customer,Zákazník
DocType: Purchase Receipt Item,Required By,Vyžadováno
DocType: Delivery Note,Return Against Delivery Note,Návrat Proti dodací list
DocType: Asset Category,Finance Book Detail,Detail knihy financí
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Všechny odpisy byly zaúčtovány
DocType: Purchase Order,% Billed,% Fakturováno
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Mzdové číslo
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Exchange Rate musí být stejná jako {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA výjimka
DocType: Sales Invoice,Customer Name,Jméno zákazníka
DocType: Vehicle,Natural Gas,Zemní plyn
DocType: Project,Message will sent to users to get their status on the project,Uživatelům bude zaslána zpráva o stavu jejich projektu
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Bankovní účet nemůže být jmenován jako {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA podle platové struktury
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Heads (nebo skupiny), proti nimž účetní zápisy jsou vyrobeny a stav je veden."
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Vynikající pro {0} nemůže být nižší než nula ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Datum ukončení servisu nemůže být před datem zahájení servisu
DocType: Manufacturing Settings,Default 10 mins,Výchozí 10 min
DocType: Leave Type,Leave Type Name,Jméno typu absence
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Ukázat otevřené
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Řada Aktualizováno Úspěšně
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Odhlásit se
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} v řádku {1}
DocType: Asset Finance Book,Depreciation Start Date,Datum zahájení odpisování
DocType: Pricing Rule,Apply On,Naneste na
DocType: Item Price,Multiple Item prices.,Více ceny položku.
,Purchase Order Items To Be Received,Položky vydané objednávky k přijetí
DocType: SMS Center,All Supplier Contact,Vše Dodavatel Kontakt
DocType: Support Settings,Support Settings,Nastavení podpůrných
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Účet {0} je přidán do podřízené společnosti {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Neplatné přihlašovací údaje
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC k dispozici (ať už v plné op části)
DocType: Amazon MWS Settings,Amazon MWS Settings,Amazon MWS Nastavení
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Zpracování poukázek
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,"Řádek # {0}: Cena musí být stejné, jako {1}: {2} ({3} / {4})"
,Batch Item Expiry Status,Batch položky vypršení platnosti Stav
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank Návrh
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Celkem pozdních záznamů
DocType: Mode of Payment Account,Mode of Payment Account,Způsob platby účtu
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konzultace
DocType: Accounts Settings,Show Payment Schedule in Print,Zobrazit plán placení v tisku
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Varianty položek byly aktualizovány
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Prodej a výnosy
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Zobrazit Varianty
DocType: Academic Term,Academic Term,Akademický Term
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Osvobození od daně z příjmů zaměstnanců
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Zadejte prosím adresu společnosti &#39;% s&#39;
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Materiál
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Maximální užitek zaměstnance {0} přesahuje {1} součtem {2} částky pro-rata složky žádosti o dávku \ částka a předchozí nárokovaná částka
DocType: Opening Invoice Creation Tool Item,Quantity,Množství
,Customers Without Any Sales Transactions,Zákazníci bez jakýchkoli prodejních transakcí
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Účty tabulka nemůže být prázdné.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Pro výpočet odhadovaných časů příjezdu použijte rozhraní Google Maps Direction API
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Úvěry (závazky)
DocType: Patient Encounter,Encounter Time,Čas setkání
DocType: Staffing Plan Detail,Total Estimated Cost,Celkové odhadované náklady
DocType: Employee Education,Year of Passing,Rok Passing
DocType: Routing,Routing Name,Název směrování
DocType: Item,Country of Origin,Země původu
DocType: Soil Texture,Soil Texture Criteria,Kritéria textury půdy
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Na skladě
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Primární kontaktní údaje
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,otevřené problémy
DocType: Production Plan Item,Production Plan Item,Výrobní program Item
DocType: Leave Ledger Entry,Leave Ledger Entry,Opusťte zápis do knihy
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Uživatel {0} je již přiřazena k Employee {1}
DocType: Lab Test Groups,Add new line,Přidat nový řádek
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Vytvořit potenciálního zákazníka
DocType: Production Plan,Projected Qty Formula,Předpokládané množství vzorce
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Péče o zdraví
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Zpoždění s platbou (dny)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Platební podmínky
DocType: Hotel Room Reservation,Guest Name,Jméno hosta
DocType: Delivery Note,Issue Credit Note,Vystavení kreditní poznámky
DocType: Lab Prescription,Lab Prescription,Lab Předpis
,Delay Days,Delay Dny
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Service Expense
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Sériové číslo: {0} je již uvedeno v prodejní faktuře: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Faktura
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Maximální osvobozená částka
DocType: Purchase Invoice Item,Item Weight Details,Položka podrobnosti o hmotnosti
DocType: Asset Maintenance Log,Periodicity,Periodicita
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Fiskální rok {0} je vyžadována
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Čistý zisk / ztráta
DocType: Employee Group Table,ERPNext User ID,ERPDalší ID uživatele
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Minimální vzdálenost mezi řadami rostlin pro optimální růst
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,"Chcete-li získat předepsaný postup, vyberte možnost Pacient"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Obrana
DocType: Salary Component,Abbr,Zkr
DocType: Appraisal Goal,Score (0-5),Score (0-5)
DocType: Tally Migration,Tally Creditors Account,Účet věřitelů
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Řádek {0}: {1} {2} se neshoduje s {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Řádek č. {0}:
DocType: Timesheet,Total Costing Amount,Celková kalkulace Částka
DocType: Sales Invoice,Vehicle No,Vozidle
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,"Prosím, vyberte Ceník"
DocType: Accounts Settings,Currency Exchange Settings,Nastavení směnného kurzu
DocType: Work Order Operation,Work In Progress,Na cestě
DocType: Leave Control Panel,Branch (optional),Větev (volitelné)
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,"Prosím, vyberte datum"
DocType: Item Price,Minimum Qty ,Minimální počet
DocType: Finance Book,Finance Book,Finanční kniha
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Seznam dovolené
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Přezkum a akce
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Tento zaměstnanec již má záznam se stejným časovým razítkem. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Účetní
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Prodejní ceník
DocType: Patient,Tobacco Current Use,Aktuální tabákové použití
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Prodejní sazba
DocType: Cost Center,Stock User,Sklad Uživatel
DocType: Soil Analysis,(Ca+Mg)/K,(Ca + Mg) / K
DocType: Delivery Stop,Contact Information,Kontaktní informace
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Hledat cokoli ...
DocType: Company,Phone No,Telefon
DocType: Delivery Trip,Initial Email Notification Sent,Původní e-mailové oznámení bylo odesláno
DocType: Bank Statement Settings,Statement Header Mapping,Mapování hlaviček výpisu
,Sales Partners Commission,Obchodní partneři Komise
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Nastavení zaoblení
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Zkratka nesmí mít více než 5 znaků
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Platba Poptávka
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Zobrazení logů věrnostních bodů přidělených zákazníkovi.
DocType: Asset,Value After Depreciation,Hodnota po odpisech
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Nenašli jste převedenou položku {0} v objednávce {1}, položka nebyla přidána do položky zásob"
DocType: Student,O+,O +
