Pension Funds,年金基金
Rounding Adjustment (Company Currency,丸め調整（会社通貨）
Course is mandatory in row {0},コースは行{0}では必須です
Credit Account,クレジット口座
Submission Date,提出日
Change Template Code,テンプレートコードを変更
Total Sanctioned Amount,認可総額
New Expenses,新しい費用
Healthcare Practitioner not available on {0},ヘルスケア開業医は{0}で利用できません
Transport Receipt No,トランスポートレシート
Administrative Officer,執行役員
Probability (%),確率（％）
Silty Clay Loam,シルト質粘土ローム
WooCommerce Products,WooCommerce製品
Account Pay Only,アカウント支払いのみ
Cess,セス
"Set Default Values like Company, Currency, Current Fiscal Year, etc.",会社、通貨、現在の会計年度などのデフォルト値を設定します。
Time Tracking,時間追跡
Under Graduate,卒業後
Supplier Part No,サプライヤ部品番号
Party Balance,パーティーの残高
Source of Funds (Liabilities),資金源（負債）
Taxable Salary Slabs,課税対象給与スラブ
Support Settings,サポート設定
Please enter Production Item first,最初に製造品目を入力してください
Grading Basis,採点基準
Basic Amount,基本金額
Pay To / Recd From,支払い元/記録元
Scrap Material Cost,不良品目原価
Received Quantity,受領数量
Sales Person-wise Transaction Summary,営業担当者別取引サマリー
Actual Operating Cost,実際の運用コスト
Mode of Payments,支払い方法
Send to Subcontractor,外注先に送る
Select Shipping Address,配送先住所を選択
AB-,AB-
Project Summary for {0},{0}のプロジェクト概要
"{0} is mandatory for generating remittance payments, set the field and try again",{0}は送金の支払いを生成するために必須であり、フィールドを設定してやり直してください
Some emails are invalid,一部のメールが無効です
Calculate Depreciation,減価償却計算
Term Name,用語名
Question,質問
Exemption Sub Category,免除サブカテゴリ
More Details,もっと詳しく
Earning,収益
Click Enter To Add,追加をクリックしてください
Employee Group,従業員グループ
Specify Exchange Rate to convert one currency into another,ある通貨を別の通貨に変換するための為替レートの指定
Ageing Range 4,エイジングレンジ4
Warehouse required for stock Item {0},在庫に必要な倉庫品目{0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,{0}の基準スコア関数を解決できませんでした。式が有効であることを確認してください。
Include Reconciled Entries,調整済みエントリを含める
Allow Zero Valuation Rate,ゼロ評価率を許可
Nothing more to show.,これ以上表示するものはありません。
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",すべての品目が非在庫品目であるため、税カテゴリーは「合計」に変更されました。
Tax on flexible benefit,柔軟な給付に対する課税
This is based on the Time Sheets created against this project,これは、このプロジェクトに対して作成されたタイムシートに基づいています
Buying Rate,購入レート
Type of Sample,サンプルの種類
Budget Accounts,予算アカウント
Serial No {0} quantity {1} cannot be a fraction,シリアル番号{0}、数量{1}は端数にできません
Stock In Hand,在庫あり
Wages,賃金
No leave record found for employee {0} for {1},{1}の従業員{0}の休暇レコードが見つかりませんでした
Accounts Receivable Unpaid Account,売掛金未払いアカウント
SGST Account,SGSTアカウント
Half Day Date should be in between Work From Date and Work End Date,半日の日付は、作業開始日と作業終了日の間になければなりません。
Applicable in the case of Employee Onboarding,従業員オンボーディングの場合に適用可能
Specified BOM {0} does not exist for Item {1},指定されたBOM {0}は品目{1}に存在しません
Company (not Customer or Supplier) master.,会社（顧客またはサプライヤではない）のマスター。
Sales Invoice Series,販売請求書シリーズ
Asset Movement record {0} created,資産移動レコード{0}が作成されました
Test Created,テスト作成
Term Start Date,期間開始日
Appointment {0} and Sales Invoice {1} cancelled,予定{0}と販売請求書{1}がキャンセルされました
Vehicle Number,車両番号
Your email address...,メールアドレス...
Include Default Book Entries,デフォルトのブックエントリを含める
Activity Type,活動タイプ
Get Advances Paid,前払い金を受け取る
Gain/Loss Account on Asset Disposal,資産処分時の損益勘定
Voucher No,バウチャー番号
Reorder level based on Warehouse,倉庫に基づく発注レベル
"Stopped Work Order cannot be cancelled, Unstop it first to cancel",停止した作業指示はキャンセルできません。最初にキャンセルしてキャンセルしてください
{0} Serial Numbers required for Item {1}. You have provided {2}.,品目{1}には{0}のシリアル番号が必要です。 {2}を提供しました。
Customer Primary Contact,顧客の主な連絡先
BOM Detail No,BOM詳細いいえ
Cash In Hand,手持ちの現金
