Pension Funds,Fundusze emerytalne
Rounding Adjustment (Company Currency,Korekta zaokrąglania (waluta firmy
Course is mandatory in row {0},Kurs jest obowiązkowy w rzędzie {0}
Credit Account,Konto kredytowe
Submission Date,Termin składania
Change Template Code,Zmień kod szablonu
Total Sanctioned Amount,Całkowita kwota sankcji
New Expenses,Nowe wydatki
Healthcare Practitioner not available on {0},Pracownik służby zdrowia nie jest dostępny w {0}
Transport Receipt No,Potwierdzenie transportu nr
Administrative Officer,Urzędnik administracyjny
Probability (%),Prawdopodobieństwo (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,Produkty WooCommerce
Account Pay Only,Zapłać tylko za konto
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Ustaw wartości domyślne, takie jak Firma, Waluta, bieżący rok podatkowy itp."
Time Tracking,Śledzenie czasu
Under Graduate,Pod dyplomem
Supplier Part No,Nr części dostawcy
Party Balance,Balans imprezowy
Source of Funds (Liabilities),Źródło funduszy (zobowiązania)
Taxable Salary Slabs,Opodatkowane płyty płacowe
Support Settings,Ustawienia wsparcia
Please enter Production Item first,Najpierw wprowadź pozycję produkcyjną
Grading Basis,Podstawa klasyfikacji
Basic Amount,Kwota podstawowa
Pay To / Recd From,Pay To / Recd From
Scrap Material Cost,Koszt materiału złomowego
Received Quantity,Otrzymana ilość
Sales Person-wise Transaction Summary,Sprzedaż Osobiste podsumowanie transakcji
Actual Operating Cost,Rzeczywisty koszt operacyjny
Mode of Payments,Tryb płatności
Send to Subcontractor,Wyślij do Podwykonawcy
Select Shipping Address,Wybierz adres wysyłki
AB-,AB-
Project Summary for {0},Podsumowanie projektu dla {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} jest obowiązkowe do generowania płatności przelewem, ustaw pole i spróbuj ponownie"
Some emails are invalid,Niektóre wiadomości e-mail są nieprawidłowe
Calculate Depreciation,Oblicz amortyzację
Term Name,Nazwa terminu
Question,Pytanie
Exemption Sub Category,Podkategoria zwolnienia
More Details,Więcej szczegółów
Earning,Zarobkowy
Click Enter To Add,Kliknij Enter To Add
Employee Group,Grupa pracowników
Specify Exchange Rate to convert one currency into another,"Określ kurs wymiany, aby przeliczyć jedną walutę na inną"
Ageing Range 4,Zakres starzenia się 4
Warehouse required for stock Item {0},Wymagany magazyn na magazynie Pozycja {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,"Nie można rozwiązać funkcji oceny kryteriów dla {0}. Upewnij się, że formuła jest prawidłowa."
Include Reconciled Entries,Dołącz Uzgodnione wpisy
Allow Zero Valuation Rate,Zezwalaj na zerową stawkę wyceny
Nothing more to show.,Nic więcej do pokazania.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Kategoria podatku została zmieniona na „Razem”, ponieważ wszystkie elementy są towarami innymi niż towar"
Tax on flexible benefit,Podatek od elastycznych świadczeń
This is based on the Time Sheets created against this project,Opiera się to na Arkuszach czasu stworzonych dla tego projektu
Buying Rate,Cena zakupu
Type of Sample,Rodzaj próbki
Budget Accounts,Konta budżetowe
Serial No {0} quantity {1} cannot be a fraction,Numer seryjny {0} ilość {1} nie może być ułamkiem
Stock In Hand,Zapas W Ręce
Wages,Wynagrodzenie
No leave record found for employee {0} for {1},Nie znaleziono rekordu urlopu dla pracownika {0} dla {1}
Accounts Receivable Unpaid Account,Niezapłacone konto należności
SGST Account,Konto SGST
Half Day Date should be in between Work From Date and Work End Date,Data pół dnia powinna być pomiędzy datą pracy od daty zakończenia pracy
Applicable in the case of Employee Onboarding,Ma zastosowanie w przypadku zatrudniania pracowników
Specified BOM {0} does not exist for Item {1},Określona LM {0} nie istnieje dla elementu {1}
Company (not Customer or Supplier) master.,Firma (nie Klient lub Dostawca).
Sales Invoice Series,Seria faktur sprzedaży
Asset Movement record {0} created,Utworzono rekord ruchu zasobów {0}
Test Created,Test utworzony
Term Start Date,Termin rozpoczęcia
Appointment {0} and Sales Invoice {1} cancelled,Anulowane spotkanie {0} i faktura sprzedaży {1}
Vehicle Number,Numer pojazdu
Your email address...,Twój adres email...
Include Default Book Entries,Dołącz domyślne wpisy książki
Activity Type,Rodzaj aktywności
Get Advances Paid,Uzyskaj zaliczki wypłacone
Gain/Loss Account on Asset Disposal,Rachunek zysków / strat na zbyciu aktywów
Voucher No,Kupon nr
Reorder level based on Warehouse,Zmień kolejność poziomów na podstawie magazynu
"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Zatrzymane zlecenie nie może zostać anulowane, należy je najpierw odblokować, aby anulować"
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Numery seryjne wymagane dla pozycji {1}. Podałeś {2}.
Customer Primary Contact,Główny kontakt klienta
BOM Detail No,Szczegóły BOM Nie
