Period Name,期間名稱
Salary Mode,薪酬模式
Divorced,離婚
Post Route Key,郵政路線密鑰
Allow Item to be added multiple times in a transaction,允許項目在一個交易中被多次新增
Cancel Material Visit {0} before cancelling this Warranty Claim,材質訪問{0}之前取消此保修索賠取消
Assessment Reports,評估報告
Consumer Products,消費類產品
Notify Supplier,通知供應商
Please select Party Type first,請選擇黨第一型
Customer Items,客戶項目
Costing and Billing,成本核算和計費
Advance account currency should be same as company currency {0},預付科目貨幣應與公司貨幣{0}相同
Token Endpoint,令牌端點
Account {0}: Parent account {1} can not be a ledger,科目{0}：上層科目{1}不能是總帳
Publish Item to hub.erpnext.com,發布項目hub.erpnext.com,
Default Unit of Measure,預設的計量單位
All Sales Partner Contact,所有的銷售合作夥伴聯絡
Leave Approvers,休假審批人
Bio / Cover Letter,自傳/求職信
Investigations,調查
Click Enter To Add,點擊輸入要添加
"Missing value for Password, API Key or Shopify URL",缺少密碼，API密鑰或Shopify網址的值
All Accounts,所有科目
Cannot transfer Employee with status Left,無法轉移狀態為左的員工
"Stopped Production Order cannot be cancelled, Unstop it first to cancel",停止生產訂單無法取消，首先Unstop它取消
Do you really want to scrap this asset?,難道你真的想放棄這項資產？
Update Schedule,更新時間表
Select Default Supplier,選擇默認供應商
New Exchange Rate,新匯率
Currency is required for Price List {0},價格表{0}需填入貨幣種類
* Will be calculated in the transaction.,*將被計算在該交易。
Customer Contact,客戶聯絡
Check availability,檢查可用性
Job Applicant,求職者
This is based on transactions against this Supplier. See timeline below for details,這是基於對這種供應商的交易。詳情請參閱以下時間表
Overproduction Percentage For Work Order,工作訂單的生產率過高百分比
Transport Receipt Date,運輸收貨日期
Sales Order Series,銷售訂單系列
"More than one selection for {0} not \
			allowed",對{0}的多個選擇不是\允許的
Actual type tax cannot be included in Item rate in row {0},實際類型稅不能被包含在商品率排{0}
Allowed To Transact With,允許與
Customer,客戶
Required By,需求來自
Return Against Delivery Note,射向送貨單
Finance Book Detail,財務帳簿細節
% Billed,％已開立帳單
Exchange Rate must be same as {0} {1} ({2}),匯率必須一致{0} {1}（{2}）
Customer Name,客戶名稱
Natural Gas,天然氣
Bank account cannot be named as {0},銀行科目不能命名為{0}
Heads (or groups) against which Accounting Entries are made and balances are maintained.,頭（或組）針對其會計分錄是由和平衡得以維持。
Outstanding for {0} cannot be less than zero ({1}),傑出的{0}不能小於零（ {1} ）
Service Stop Date cannot be before Service Start Date,服務停止日期不能早於服務開始日期
Default 10 mins,預設為10分鐘
Show open,公開顯示
Checkout,查看
Depreciation Start Date,折舊開始日期
Apply On,適用於
Multiple Item prices.,多個項目的價格。
Purchase Order Items To Be Received,未到貨的採購訂單項目
All Supplier Contact,所有供應商聯絡
Support Settings,支持設置
Expected End Date can not be less than Expected Start Date,預計結束日期不能小於預期開始日期
Amazon MWS Settings,亞馬遜MWS設置
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,行＃{0}：速率必須與{1}：{2}（{3} / {4}）
Batch Item Expiry Status,批處理項到期狀態
Bank Draft,銀行匯票
Mode of Payment Account,支付帳戶模式
Consultation,會診
Show Payment Schedule in Print,在打印中顯示付款時間表
Sales and Returns,銷售和退貨
Show Variants,顯示變體
Academic Term,學期
"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",員工{0}的最高福利超過{1}，福利應用程序按比例分量\金額和上次索賠金額的總和{2}
Quantity,數量
Customers Without Any Sales Transactions,沒有任何銷售交易的客戶
Accounts table cannot be blank.,賬表不能為空。
Loans (Liabilities),借款（負債）
Encounter Time,遇到時間
Year of Passing,路過的一年
Routing Name,路由名稱
Country of Origin,出生國家
Soil Texture Criteria,土壤質地標準
In Stock,庫存
Primary Contact Details,主要聯繫方式
Open Issues,開放式問題
Production Plan Item,生產計劃項目
User {0} is already assigned to Employee {1},用戶{0}已經被分配給員工{1}
Health Care,保健
Delay in payment (Days),延遲支付（天）
Payment Terms Template Detail,付款條款模板細節
Issue Credit Note,發行信用票據
Lab Prescription,實驗室處方
Delay Days,延遲天數
Serial Number: {0} is already referenced in Sales Invoice: {1},序號：{0}已在銷售發票中引用：{1}
Invoice,發票
Item Weight Details,項目重量細節
Periodicity,週期性
Fiscal Year {0} is required,會計年度{0}是必需的
The minimum distance between rows of plants for optimum growth,植株之間的最小距離，以獲得最佳生長
Defense,防禦
Abbr,縮寫
Total Costing Amount,總成本計算金額
Vehicle No,車輛牌照號碼
Please select Price List,請選擇價格表
Currency Exchange Settings,貨幣兌換設置
Row #{0}: Payment document is required to complete the trasaction,列＃{0}：付款單據才能完成trasaction,
Work In Progress,在製品
Please select date,請選擇日期
Minimum Qty ,最低數量
Finance Book,金融書
Holiday List,假日列表
Accountant,會計人員
Selling Price List,賣價格表
Tobacco Current Use,煙草當前使用
Selling Rate,賣出率
Stock User,庫存用戶
(Ca+Mg)/K,（鈣+鎂）/ K,
Contact Information,聯繫信息
Phone No,電話號碼
Initial Email Notification Sent,初始電子郵件通知已發送
Statement Header Mapping,聲明標題映射
Sales Partners Commission,銷售合作夥伴佣金
Rounding Adjustment,舍入調整
Abbreviation cannot have more than 5 characters,縮寫不能有超過5個字符
Payment Request,付錢請求
To view logs of Loyalty Points assigned to a Customer.,查看分配給客戶的忠誠度積分的日誌。
Value After Depreciation,折舊後
Related,有關
Attendance date can not be less than employee's joining date,考勤日期不得少於員工的加盟日期
Grading Scale Name,分級標準名稱
Add Users to Marketplace,將用戶添加到市場
This is a root account and cannot be edited.,這是一個 root 科目，不能被編輯。
Operations,操作
Cannot set authorization on basis of Discount for {0},不能在折扣的基礎上設置授權{0}
Subscription Start Date,訂閱開始日期
Default receivable accounts to be used if not set in Patient to book Appointment charges.,如果未在患者中設置預約費用，則使用默認應收科目。
"Attach .csv file with two columns, one for the old name and one for the new name",附加.csv文件有兩列，一為舊名稱，一個用於新名稱
From Address 2,來自地址2,
{0} {1} not in any active Fiscal Year.,{0} {1} 不在任何有效的會計年度
Parent Detail docname,家長可採用DocName細節
"Reference: {0}, Item Code: {1} and Customer: {2}",參考：{0}，商品編號：{1}和顧客：{2}
{0} {1} is not present in the parent company,在母公司中不存在{0} {1}
