DocType: Accounting Period,Period Name,Nama Periode
DocType: Employee,Salary Mode,Mode Gaji
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Daftar
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Diterima sebagian
DocType: Patient,Divorced,Bercerai
DocType: Support Settings,Post Route Key,Posting Kunci Rute
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Izinkan Stok Barang yang sama untuk ditambahkan beberapa kali dalam suatu transaksi
DocType: Content Question,Content Question,Pertanyaan Konten
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Batal Bahan Kunjungan {0} sebelum membatalkan Garansi Klaim ini
DocType: Customer Feedback Table,Qualitative Feedback,Umpan Balik kualitatif
apps/erpnext/erpnext/config/education.py,Assessment Reports,Laporan Penilaian
DocType: Invoice Discounting,Accounts Receivable Discounted Account,"Rekening yang Dapat Diterima, Akun yang Didiskon"
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Dibatalkan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Produk Pelanggan
DocType: Supplier Scorecard,Notify Supplier,Beritahu Pemasok
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Silakan pilih jenis pihak terlebih dahulu
DocType: Item,Customer Items,Produk Pelanggan
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Kewajiban
DocType: Project,Costing and Billing,Biaya dan Penagihan
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Mata uang akun muka harus sama dengan mata uang perusahaan {0}
DocType: QuickBooks Migrator,Token Endpoint,Token Endpoint
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Akun {0}: akun Induk {1} tidak dapat berupa buku besar
DocType: Item,Publish Item to hub.erpnext.com,Publikasikan Item untuk hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Tidak dapat menemukan Periode Keluar aktif
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Evaluasi
DocType: Item,Default Unit of Measure,Standar Satuan Ukur
DocType: SMS Center,All Sales Partner Contact,Semua Kontak Mitra Penjualan
DocType: Department,Leave Approvers,Approval Cuti
DocType: Employee,Bio / Cover Letter,Bio / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Cari Item ...
DocType: Patient Encounter,Investigations,Investigasi
DocType: Restaurant Order Entry,Click Enter To Add,Klik Enter To Add
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Nilai yang hilang untuk Kata Sandi, Kunci API, atau URL Shopify"
DocType: Employee,Rented,Sewaan
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Semua Akun
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Tidak dapat mentransfer Karyawan dengan status Kiri
DocType: Vehicle Service,Mileage,Jarak tempuh
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Apakah Anda benar-benar ingin membatalkan aset ini?
DocType: Drug Prescription,Update Schedule,Perbarui Jadwal
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Pilih Default Pemasok
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Tampilkan Karyawan
DocType: Payroll Period,Standard Tax Exemption Amount,Jumlah Bebas Pajak Standar
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nilai Tukar Baru
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Mata Uang diperlukan untuk Daftar Harga {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Akan dihitung dalam transaksi.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Kontak Pelanggan
DocType: Shift Type,Enable Auto Attendance,Aktifkan Kehadiran Otomatis
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Silakan masukkan Gudang dan Tanggal
DocType: Lost Reason Detail,Opportunity Lost Reason,Peluang Hilang Alasan
DocType: Patient Appointment,Check availability,Cek ketersediaan
DocType: Retention Bonus,Bonus Payment Date,Tanggal Pembayaran Bonus
DocType: Employee,Job Applicant,Pemohon Kerja
DocType: Job Card,Total Time in Mins,Total Waktu dalam Menit
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Hal ini didasarkan pada transaksi terhadap Pemasok ini. Lihat timeline di bawah untuk rincian
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Overproduction Persentase Untuk Pesanan Pekerjaan
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Hukum
DocType: Sales Invoice,Transport Receipt Date,Tanggal Penerimaan Transport
DocType: Shopify Settings,Sales Order Series,Seri Pesanan Penjualan
DocType: Vital Signs,Tongue,Lidah
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Jenis pajak aktual tidak dapat dimasukkan dalam tarif di baris {0}
DocType: Allowed To Transact With,Allowed To Transact With,Diizinkan Untuk Bertransaksi Dengan
DocType: Bank Guarantee,Customer,Pelanggan
DocType: Purchase Receipt Item,Required By,Diperlukan Oleh
DocType: Delivery Note,Return Against Delivery Note,Retur Terhadap Nota Pengiriman
DocType: Asset Category,Finance Book Detail,Detail Buku Keuangan
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Semua penyusutan telah dipesan
DocType: Purchase Order,% Billed,Ditagih %
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Nomor Penggajian
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Kurs harus sama dengan {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Pembebasan HRA
DocType: Sales Invoice,Customer Name,Nama Pelanggan
DocType: Vehicle,Natural Gas,Gas alam
DocType: Project,Message will sent to users to get their status on the project,Pesan akan dikirim ke pengguna untuk mendapatkan status mereka di proyek
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Rekening bank tidak dapat namakan sebagai {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA sesuai Struktur Gaji
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Kepala (atau kelompok) terhadap yang Entri Akuntansi dibuat dan saldo dipertahankan.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Posisi untuk {0} tidak bisa kurang dari nol ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Tanggal Penghentian Layanan tidak boleh sebelum Tanggal Mulai Layanan
DocType: Manufacturing Settings,Default 10 mins,Standar 10 menit
DocType: Leave Type,Leave Type Name,Nama Tipe Cuti
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Tampilkan terbuka
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Nomor Seri Berhasil Diperbarui
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Periksa
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} di baris {1}
DocType: Asset Finance Book,Depreciation Start Date,Tanggal Mulai Depresiasi
DocType: Pricing Rule,Apply On,Terapkan Pada
DocType: Item Price,Multiple Item prices.,Multiple Item harga.
,Purchase Order Items To Be Received,Order Pembelian Stok Barang Akan Diterima
DocType: SMS Center,All Supplier Contact,Kontak semua Supplier
DocType: Support Settings,Support Settings,Pengaturan dukungan
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Akun {0} ditambahkan di perusahaan anak {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Kredensial tidak valid
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC Tersedia (baik dalam bagian op penuh)
DocType: Amazon MWS Settings,Amazon MWS Settings,Pengaturan MWS Amazon
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Memproses Voucher
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Tingkat harus sama dengan {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Status Kadaluarsa Persediaan Batch
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank Draft
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Total Entri Terlambat
DocType: Mode of Payment Account,Mode of Payment Account,Mode Akun Pembayaran Rekening
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konsultasi
DocType: Accounts Settings,Show Payment Schedule in Print,Tampilkan Jadwal Pembayaran di Cetak
