DocType: Accounting Period,Period Name,ຊື່ໄລຍະເວລາ
DocType: Employee,Salary Mode,Mode ເງິນເດືອນ
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,ລົງທະບຽນ
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,ໄດ້ຮັບບາງສ່ວນ
DocType: Patient,Divorced,ການຢ່າຮ້າງ
DocType: Support Settings,Post Route Key,Post Route Key
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,ອະນຸຍາດໃຫ້ສິນຄ້າທີ່ຈະເພີ່ມເວລາຫຼາຍໃນການເປັນ
DocType: Content Question,Content Question,ຄຳ ຖາມກ່ຽວກັບເນື້ອຫາ
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,ຍົກເລີກການວັດສະດຸເຂົ້າ {0} ກ່ອນການຍົກເລີກການຮຽກຮ້ອງຮັບປະກັນນີ້
DocType: Customer Feedback Table,Qualitative Feedback,ຄຳ ຕິຊົມທີ່ມີຄຸນນະພາບ
apps/erpnext/erpnext/config/education.py,Assessment Reports,ບົດລາຍງານການປະເມີນຜົນ
DocType: Invoice Discounting,Accounts Receivable Discounted Account,ບັນຊີຫຼຸດລາຄາທີ່ໄດ້ຮັບ
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,ຍົກເລີກ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,ຜະລິດຕະພັນຜູ້ບໍລິໂພກ
DocType: Supplier Scorecard,Notify Supplier,ແຈ້ງ Supplier
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,ກະລຸນາເລືອກພັກປະເພດທໍາອິດ
DocType: Item,Customer Items,ລາຍການລູກຄ້າ
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,ຄວາມຮັບຜິດຊອບ
DocType: Project,Costing and Billing,ການໃຊ້ຈ່າຍແລະການເອີ້ນເກັບເງິນ
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},ເງິນສະກຸນເງິນທີ່ລ່ວງຫນ້າຄວນຈະເປັນເງິນສະກຸນເງິນຂອງບໍລິສັດ {0}
