Pension Funds,የጡረታ ፈንዶች
Rounding Adjustment (Company Currency,የሬጅ ማስተካከያ (የኩባንያው የገንዘብ ምንዛሪ
Course is mandatory in row {0},ኮርስ በረድፍ {0} ውስጥ ግዴታ ነው
Credit Account,የብድር መለያ
Submission Date,የማስረከብያ ቀን
Change Template Code,የአብነት ኮድ ለውጥ
Total Sanctioned Amount,አጠቃላይ የታገደ የገንዘብ መጠን
New Expenses,አዳዲስ ወጪዎች
Healthcare Practitioner not available on {0},Healthcare Practitioner በ {0} ላይ አይገኝም
Transport Receipt No,የመጓጓዣ ደረሰኝ ቁጥር
Administrative Officer,የአስተዳደር ሹም
Probability (%),ፕሮባቢሊቲ (%)
Silty Clay Loam,ሽሊ ክሊይ ሎማን
WooCommerce Products,WooCommerce Products
Account Pay Only,የመለያ ሂሳብ ብቻ
Cess,Cess
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","እንደ ኩባንያ, ምንዛሬ, የአሁኑ የፋይናንስ ዓመት ወዘተ ያሉ ነባሪ እሴቶችን ያዘጋጁ."
Time Tracking,የጊዜ መከታተል
Under Graduate,በመመረቅ ላይ
Supplier Part No,የአቅራቢው ክፍል ቁጥር
Party Balance,የፓርቲው ሚዛን
Source of Funds (Liabilities),የገንዘብ ምንጮች (ሃላፊነቶች)
Taxable Salary Slabs,ታክስ ሰጭ ደመወዝ ቀበቶዎች
Support Settings,የድጋፍ ቅንብሮች
Please enter Production Item first,እባክዎ መጀመሪያ የምርት ንጥል ያስገቡ
Grading Basis,ማርክ መሰረታዊ
Basic Amount,መሰረታዊ መጠን
Pay To / Recd From,ወደ / ከኩኪ ተቀበል
Scrap Material Cost,የስምሪት ቁሳዊ ወጪ
Received Quantity,የተቀበሉት ብዛት
Sales Person-wise Transaction Summary,ሽያጭ በግለሰብ ደረጃ ማስተላለፍ ማጠቃለያ
Actual Operating Cost,ትክክለኛ የክወና ወጪ
Mode of Payments,የክፍያ ዘዴዎች
Send to Subcontractor,ለ Subcontractor ይላኩ
Select Shipping Address,የሚላክበት አድራሻ ይምረጡ
AB-,AB-
Project Summary for {0},የ {0} የፕሮጀክት ማጠቃለያ
"{0} is mandatory for generating remittance payments, set the field and try again","{0} የመላኪያ ክፍያን ለማመንጨት ግዴታ ነው, መስኩን ያስቀምጣል እና እንደገና ይሞክሩ"
Some emails are invalid,አንዳንድ ኢሜሎች ልክ አይደሉም
Calculate Depreciation,የቅናሽ ዋጋን ያስሉ
Term Name,የ Term ስም
Question,ጥያቄ
Exemption Sub Category,የተፈለገው ንዑስ ምድብ
More Details,ተጨማሪ ዝርዝሮች
Earning,ማግኘት
Click Enter To Add,ለማከል አስገባን ጠቅ ያድርጉ
Employee Group,የሰራተኛ ቡድን
Specify Exchange Rate to convert one currency into another,አንድ ምንዛሬ ወደ ሌላ ለመለወጥ የልውውጥ መለኪያ ለይ ይበሉ
Ageing Range 4,የዕድሜ መግፋት 4
Could not solve criteria score function for {0}. Make sure the formula is valid.,ለ {0} የፍልስፍና ውጤት ተግባር መፍታት አልተቻለም. ቀመሩ በትክክል መሆኑን ያረጋግጡ.
Include Reconciled Entries,የተመሳሰሉ ግቤቶችን አካትት
Allow Zero Valuation Rate,የዞን ግምገማ ደረጃ ፍቀድ
Nothing more to show.,ምንም የሚታይ ነገር የለም.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",የግብር ምድብ ወደ «ጠቅላላ» ተቀይሯል ምክንያቱም ሁሉም ንጥሎች እቃ ያልሆኑ ምርቶች ናቸው
Tax on flexible benefit,በተመጣጣኝ ጥቅማ ጥቅም ላይ ግብር ይቀጣል
This is based on the Time Sheets created against this project,ይህ ከፕሮጀክቱ ጋር በተፈጠረ በጊዜ የተቀመጠው የጊዜ ሠሌዳ ላይ የተመሠረተ ነው
Buying Rate,የግዢ ዋጋ
Type of Sample,የናሙና ዓይነት
Budget Accounts,የበጀት መለያዎች
Serial No {0} quantity {1} cannot be a fraction,Serial No {0} መጠን {1} ክፍልፋይ ሊሆን አይችልም
Stock In Hand,በእጅ ክምችት
Wages,ደሞዝ
No leave record found for employee {0} for {1},ለሠራተኛው {0} ለ {1} ምንም የደረጃ መዝገብ አልተገኘም
Accounts Receivable Unpaid Account,ሂሳብ የሚከፈል የማይከፈል የባንክ ሂሳብ
SGST Account,የ SGST መለያ
Half Day Date should be in between Work From Date and Work End Date,የግማሽ ቀን ቀን ከሥራ ቀን እና የስራ መጨረሻ ቀን መካከል ባለው ጊዜ ውስጥ መሆን አለበት
